run_id,harderLASSO ANN,LASSO ANN,baseline error
25,"([16, 17, 18, 19, 20, 22], 0.8662004662004662)","([0, 2, 4, 5, 6, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 30, 32, 34], 0.8624708624708625)",0.23776223776223776
26,"([14, 16, 17, 19, 20, 22], 0.8503496503496504)","([0, 4, 5, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28], 0.8578088578088578)",0.24102564102564103
27,"([16, 17, 19, 20], 0.8442890442890443)","([0, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 31, 32, 34], 0.8657342657342657)",0.22424242424242424
28,"([14, 16, 17, 19, 20, 23], 0.8708022388059702)","([0, 2, 4, 5, 6, 7, 10, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 32, 34], 0.8619402985074627)",0.23227611940298507
29,"([16, 17, 19], 0.8428904428904429)","([2, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 26, 28, 29, 30, 32, 34], 0.8438228438228438)",0.22657342657342658
30,"([12, 17, 19, 20, 22], 0.8587412587412587)","([0, 2, 3, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 32, 34], 0.8648018648018648)",0.2261072261072261
31,"([15, 16, 17, 18, 19, 20], 0.8572761194029851)","([2, 4, 5, 6, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32], 0.8647388059701493)",0.23367537313432835
32,"([14, 16, 17, 19, 22], 0.8601398601398601)","([0, 2, 5, 6, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 28, 32, 34], 0.8564102564102564)",0.22564102564102564
33,"([16, 17, 19, 20, 23], 0.8619402985074627)","([0, 2, 4, 5, 7, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32, 34], 0.8680037313432836)",0.2537313432835821
34,"([15, 16, 17, 19, 23], 0.862004662004662)","([0, 2, 4, 5, 6, 7, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 32, 34], 0.8671328671328671)",0.22004662004662004
35,"([14, 16, 17, 18, 19], 0.855011655011655)","([0, 2, 4, 5, 6, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32], 0.8624708624708625)",0.23123543123543125
36,"([16, 17, 18, 19, 22], 0.8494172494172494)","([0, 4, 5, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 28, 32], 0.8582750582750582)",0.2400932400932401
37,"([16, 17, 18, 19, 20], 0.8475524475524475)","([0, 2, 6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 32, 34], 0.8592074592074592)",0.23822843822843823
38,"([16, 17, 18, 19, 20], 0.8545454545454545)","([0, 2, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 32, 34], 0.8671328671328671)",0.23962703962703963
39,"([16, 17, 18], 0.8424242424242424)","([0, 2, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 32, 34], 0.8643356643356643)",0.23822843822843823
40,"([10, 16, 17, 18, 19, 20], 0.862937062937063)","([0, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 32, 34], 0.8536130536130536)",0.24195804195804196
41,"([14, 16, 17, 23], 0.8596082089552238)","([0, 2, 6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32, 34], 0.8563432835820896)",0.2392723880597015
42,"([16, 17, 18, 19, 20], 0.8662004662004662)","([2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 29, 30, 34], 0.8680652680652681)",0.23776223776223776
43,"([16, 17, 18, 19, 20, 22], 0.8596082089552238)","([0, 4, 5, 6, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 34], 0.8568097014925373)",0.23180970149253732
44,"([16, 17, 18, 19], 0.8502798507462687)","([0, 2, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 32, 34], 0.8563432835820896)",0.228544776119403
45,"([14, 16, 17, 19, 20, 22], 0.8652052238805971)","([0, 2, 4, 5, 6, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 34], 0.8619402985074627)",0.2355410447761194
46,"([16, 17, 18, 19, 20], 0.8592074592074592)","([2, 4, 5, 7, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 32, 34], 0.8699300699300699)",0.23543123543123542
47,"([15, 16, 17, 19, 23], 0.8592074592074592)","([0, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 32, 34], 0.8657342657342657)",0.23636363636363636
48,"([14, 16, 17, 18, 19, 20, 22], 0.8713286713286713)","([0, 2, 4, 6, 7, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 28, 29, 32, 34], 0.868997668997669)",0.23030303030303031
49,"([16, 17, 18, 19, 20], 0.8521455223880597)","([0, 2, 4, 5, 6, 7, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 28, 29, 30, 32], 0.8577425373134329)",0.24113805970149255
