run_id,harderLASSO ANN,LASSO ANN
0,"([9, 12, 15, 20], np.float64(0.027791718132592024))","([], np.float64(141.3264474699951))"
1,"([20, 30, 36, 44], np.float64(0.07044708278375865))","([], np.float64(155.14177408997475))"
2,"([2, 12, 24, 38], np.float64(0.03366248288032744))","([2, 24], np.float64(71.45047873478528))"
3,"([15, 23, 32, 46], np.float64(0.05062559717507227))","([32, 46], np.float64(79.11399532830855))"
4,"([1, 4, 35, 39], np.float64(6.775613001385081))","([], np.float64(142.20245385925793))"
5,"([3, 5, 16, 35], np.float64(0.06680427498702725))","([3, 5, 16, 35], np.float64(0.0682249381001433))"
6,"([10, 16, 31, 35], np.float64(0.05983488925100588))","([], np.float64(141.32037242590584))"
7,"([0, 2, 15, 35], np.float64(0.05210023389980904))","([], np.float64(152.81424228024994))"
8,"([1, 7, 29, 33], np.float64(6.744268009648706))","([], np.float64(151.78748423948215))"
9,"([21, 40, 45, 47], np.float64(0.08211354237368872))","([40, 45], np.float64(70.81385242153836))"
10,"([3, 24, 29, 45], np.float64(0.034716829182457505))","([], np.float64(153.2234595789279))"
11,"([14, 28, 35, 42], np.float64(0.03240718279405542))","([], np.float64(140.84798071201797))"
12,"([6, 25, 31, 39], np.float64(0.03032087694940704))","([], np.float64(149.02567198223164))"
13,"([2, 16, 39, 45], np.float64(0.045194969056471))","([], np.float64(154.8167609218706))"
14,"([5, 6, 24, 33], np.float64(0.01700875054837977))","([6, 24], np.float64(69.47444950603132))"
15,"([7, 20, 41, 45], np.float64(0.05081457480897275))","([7, 20], np.float64(120.7100341914503))"
16,"([11, 32, 38, 43], np.float64(0.05077780573066579))","([38, 43], np.float64(115.13361339348826))"
17,"([13, 36, 40, 44], np.float64(0.025810036521980394))","([13, 44], np.float64(116.16788643585359))"
18,"([11, 18, 26, 29], np.float64(0.04213721731944915))","([], np.float64(140.79219329544006))"
19,"([16, 17, 42, 48], np.float64(0.03311124259167932))","([], np.float64(153.4845265021065))"
20,"([13, 15, 21, 36], np.float64(0.052083621766293484))","([13, 36], np.float64(129.75096459834427))"
21,"([2, 7, 19, 43], np.float64(0.0320468409528448))","([], np.float64(144.39619850317564))"
22,"([7, 19, 26, 29], np.float64(0.05170316592837436))","([26, 29], np.float64(115.07767990947781))"
23,"([12, 14, 23, 25], np.float64(0.03240579307021608))","([], np.float64(148.7735796923669))"
24,"([21, 32, 35, 43], np.float64(0.030714456723329505))","([], np.float64(147.35068090700003))"
25,"([0, 16, 40, 47], np.float64(5.908133575399112))","([], np.float64(130.30113626981154))"
26,"([11, 16, 17, 19], np.float64(5.905472002751016))","([], np.float64(139.63847394299944))"
27,"([0, 12, 25, 43], np.float64(0.07349455899178187))","([], np.float64(138.9598650804952))"
28,"([1, 3, 9, 21], np.float64(0.019571151935624597))","([1, 3], np.float64(68.05947365890047))"
29,"([3, 5, 12, 13], np.float64(6.191648403368718))","([], np.float64(137.3026929511276))"
30,"([0, 21, 34, 41], np.float64(6.603205422400656))","([], np.float64(143.82248113261107))"
31,"([21, 26, 29, 39], np.float64(74.6345662269647))","([], np.float64(141.8952133221318))"
32,"([0, 24, 36, 44], np.float64(6.199704682703132))","([], np.float64(131.6223574210555))"
