run_id,harderLASSO ANN,LASSO ANN
79,"([], np.float64(1.0589368228911206e-05))","([], np.float64(1.581230883998378e-05))"
80,"([], np.float64(0.0006123605899550391))","([], np.float64(0.0006159143287466675))"
81,"([], np.float64(0.01052489962452463))","([], np.float64(0.010510821729431408))"
82,"([32], np.float64(0.02267562672312843))","([32], np.float64(0.023385673563435665))"
83,"([], np.float64(0.0020924145293982487))","([], np.float64(0.002021155699463373))"
84,"([], np.float64(0.0026790508593999562))","([], np.float64(0.002762435115130982))"
85,"([], np.float64(3.342052648628094e-05))","([], np.float64(3.345945890839025e-05))"
86,"([], np.float64(0.0021919278521293083))","([], np.float64(0.0021919704085587998))"
87,"([], np.float64(2.195048210904015e-05))","([], np.float64(1.5312321496722438e-05))"
88,"([], np.float64(0.00029407872885398376))","([], np.float64(0.0003248018445975754))"
89,"([], np.float64(0.0008843372133627292))","([], np.float64(0.0008906541635345655))"
90,"([], np.float64(0.0027230707764219907))","([], np.float64(0.002718752210800216))"
91,"([], np.float64(0.0068376300274387005))","([], np.float64(0.006840442143223379))"
92,"([], np.float64(0.0034270935931319945))","([], np.float64(0.0033647850390856747))"
93,"([], np.float64(8.155460995354363e-07))","([], np.float64(7.05375856621145e-08))"
94,"([], np.float64(0.0023051939565199575))","([], np.float64(0.002311659990203566))"
95,"([24], np.float64(0.030539035922356076))","([24], np.float64(0.030493543478607055))"
96,"([], np.float64(0.003558769192903155))","([], np.float64(0.0035295186907016163))"
97,"([], np.float64(0.0005232005124456013))","([], np.float64(0.0005594287513413823))"
98,"([], np.float64(0.0006973762618953661))","([], np.float64(0.0007432657177541963))"
99,"([], np.float64(7.906084321734072e-06))","([], np.float64(4.540757819909235e-06))"
