run_id,harderLASSO ANN,LASSO ANN
0,"([16, 30], np.float64(0.0345454072632453))","([16, 30], np.float64(0.036739915833116366))"
1,"([18, 39], np.float64(0.019841814902039717))","([18, 39], np.float64(0.019933100751929993))"
2,"([20, 43], np.float64(0.0434499070469141))","([20, 43], np.float64(0.038357881260092666))"
3,"([12, 36], np.float64(0.018832129179995185))","([12, 36], np.float64(0.016188274657678862))"
4,"([11, 21], np.float64(0.017848302849842835))","([11, 21], np.float64(0.019382580262101483))"
5,"([0, 46], np.float64(0.015207215025229625))","([0, 46], np.float64(0.013786479411877155))"
6,"([35, 49], np.float64(0.016995254087557227))","([35, 49], np.float64(0.012256675823455753))"
7,"([42, 48], np.float64(0.01169328661175976))","([42, 48], np.float64(0.011081666593271948))"
8,"([16, 32], np.float64(0.010286336365626354))","([16, 32], np.float64(0.0059287594300827745))"
9,"([12, 29], np.float64(0.017737238688889184))","([12, 29], np.float64(0.011144735689781677))"
10,"([6, 10], np.float64(0.007002248632523344))","([6, 10], np.float64(0.008293371706895675))"
11,"([37, 44], np.float64(0.026355112092492923))","([37, 44], np.float64(0.027347325421089665))"
12,"([12, 33], np.float64(0.008875706806413294))","([12, 33], np.float64(0.007727181650480814))"
13,"([7, 27], np.float64(0.006673987848822424))","([7, 27], np.float64(0.007367439345047625))"
14,"([26, 41], np.float64(0.025007796563716198))","([26, 41], np.float64(0.02259146041173601))"
15,"([46, 47], np.float64(0.022517175222530883))","([46, 47], np.float64(0.02091429138763517))"
16,"([20, 26], np.float64(0.019385117031537044))","([20, 26], np.float64(0.013399285513600322))"
17,"([42, 43], np.float64(0.02237671324342326))","([42, 43], np.float64(0.018996042001913963))"
18,"([32, 36], np.float64(0.01925540801838259))","([32, 36], np.float64(0.021527641835362557))"
19,"([11, 41], np.float64(0.020304634370216144))","([11, 41], np.float64(0.020460806637581163))"
20,"([9, 34], np.float64(0.030414250134160162))","([9, 34], np.float64(0.03127873202372311))"
21,"([4, 48], np.float64(0.013110430116448135))","([4, 48], np.float64(41.71585805602014))"
22,"([14, 49], np.float64(0.02199254557521629))","([14, 49], np.float64(0.015938592997940672))"
23,"([20, 24], np.float64(0.017873487795531252))","([20, 24], np.float64(0.018696054092490304))"
24,"([16, 34], np.float64(0.009475068642232383))","([16, 34], np.float64(0.00922574437755231))"
25,"([17, 21], np.float64(0.02163049415970271))","([17, 21], np.float64(0.01990273238879687))"
26,"([3, 38], np.float64(0.0157840545761295))","([3, 38], np.float64(0.014912735646550606))"
27,"([0, 12], np.float64(0.020788623175213145))","([0, 12], np.float64(0.011964507058052047))"
28,"([7, 13], np.float64(0.012457491191946985))","([7, 13], np.float64(0.00952995998458234))"
29,"([11, 34], np.float64(0.01735694793155819))","([11, 34], np.float64(0.016999356077231624))"
30,"([14, 49], np.float64(0.0201009262761383))","([14, 49], np.float64(0.02065378763253234))"
31,"([26, 28], np.float64(0.011248142337736607))","([26, 28], np.float64(0.011550760470167497))"
32,"([9, 45], np.float64(0.013680598395890808))","([9, 45], np.float64(0.017518649685385725))"
33,"([11, 22], np.float64(0.02229184931087857))","([11, 22], np.float64(0.022740501939593646))"
34,"([18, 26], np.float64(0.010585949877748371))","([18, 26], np.float64(0.011308168306038134))"
35,"([4, 29], np.float64(0.02248666936095724))","([4, 29], np.float64(0.02340308080647429))"
