run_id,harderLASSO ANN,LASSO ANN
0,"([5, 10, 16, 21, 22, 24, 31, 33], np.float64(251.15840989069977))","([], np.float64(485.05808498989836))"
1,"([4, 5, 8, 9, 22, 24, 35, 48], np.float64(293.67098246632213))","([], np.float64(533.83966713342))"
2,"([4, 9, 12, 13, 16, 24, 27, 30, 34, 41, 43], np.float64(277.4358005077244))","([], np.float64(466.77004899868285))"
3,"([7, 16, 17, 22, 29, 30, 35, 41, 42, 44], np.float64(179.38345266921328))","([], np.float64(488.0103601949414))"
4,"([4, 6, 7, 10, 11, 13, 19, 26, 30, 34], np.float64(272.5306101733069))","([], np.float64(527.2151445586653))"
5,"([0, 3, 16, 19, 37, 45, 48, 49], np.float64(325.89475283570613))","([], np.float64(510.89586677005593))"
6,"([3, 27, 32, 33, 35, 36, 41, 45], np.float64(292.34528430754796))","([], np.float64(454.4979949606315))"
7,"([2, 3, 4, 12, 13, 14, 15, 26, 46], np.float64(258.3786686775315))","([], np.float64(503.2005387059533))"
8,"([0, 6, 13, 33, 41, 47], np.float64(335.1359749763333))","([], np.float64(516.0578664743558))"
9,"([6, 8, 14, 17, 26, 27, 49], np.float64(328.2962081030546))","([], np.float64(502.5183451881318))"
10,"([0, 3, 16, 23], np.float64(377.21142684864543))","([], np.float64(518.0520208811596))"
11,"([3, 9, 11, 12, 14, 18, 26, 32], np.float64(251.18691898802368))","([], np.float64(493.5208073603994))"
12,"([2, 6, 16, 18, 30, 33, 34, 39, 43, 49], np.float64(253.23501734197555))","([34, 43], np.float64(455.80266182688626))"
13,"([1, 4, 8, 14, 23, 30, 31, 35, 36, 38, 43, 46, 48], np.float64(193.35520532607657))","([14, 43], np.float64(461.77916804420505))"
14,"([12, 21, 27, 29, 31, 32, 39, 40, 44], np.float64(269.15923530334146))","([], np.float64(534.0697422753883))"
15,"([0, 2, 4, 6, 7, 9, 18, 28, 31, 37, 39, 41, 42, 45], np.float64(123.34324966781057))","([], np.float64(544.6000146246374))"
16,"([3, 16, 22, 28, 43, 48, 49], np.float64(321.75311322761615))","([], np.float64(550.9277090032103))"
17,"([0, 9, 10, 23, 35, 36, 47], np.float64(301.82552273573623))","([], np.float64(514.1472798837154))"
18,"([1, 5, 6, 10, 17, 28, 30, 36, 39, 41], np.float64(191.57288645892513))","([], np.float64(518.4471129634373))"
19,"([1, 3, 5, 10, 15, 46], np.float64(437.336061489227))","([], np.float64(513.4828409095887))"
20,"([3, 8, 13, 14, 15, 19, 22, 30, 36, 37, 44, 46], np.float64(201.6487609095382))","([], np.float64(512.6455676004213))"
21,"([0, 7, 9, 31, 41, 43], np.float64(315.53915554421775))","([], np.float64(480.29136179887655))"
22,"([3, 10, 13, 18, 24, 25, 26, 27, 30, 44, 45], np.float64(262.87411180949954))","([], np.float64(514.3140574606996))"
23,"([2, 5, 10, 11, 13, 14, 16, 17, 22, 27, 28, 45], np.float64(263.9815348766755))","([], np.float64(513.3589908435654))"
24,"([4, 5, 8, 10, 17, 21, 25, 26, 29, 32, 39], np.float64(179.95102363263763))","([], np.float64(508.1963816122163))"
25,"([20, 24, 25, 26, 27, 32, 33, 42, 44, 45, 48], np.float64(285.24891489139264))","([], np.float64(482.7679665032962))"
26,"([0, 4, 24, 27, 28, 36, 42, 44, 45, 49], np.float64(201.1037364675709))","([], np.float64(482.35378418206795))"
27,"([1, 4, 8, 12, 25, 32, 33, 38, 45], np.float64(279.5346288789533))","([], np.float64(517.1598356612029))"
28,"([13, 27, 37, 39], np.float64(402.18217136700906))","([], np.float64(516.017680009282))"
29,"([5, 11, 18, 19, 23, 25, 33, 34, 44], np.float64(265.92725153868076))","([], np.float64(512.1365257693201))"
30,"([6, 9, 13, 15, 16, 31, 33, 34, 36, 40, 46], np.float64(281.3286352026148))","([], np.float64(519.559663458129))"
