run_id,harderLASSO ANN,LASSO ANN
0,"([0, 4, 11, 15, 18, 19, 24, 26], np.float64(81.93213416327438))","([], np.float64(354.35391181395426))"
1,"([0, 1, 8, 10, 16, 37, 40, 41], np.float64(87.72235982242259))","([], np.float64(372.83206083464415))"
2,"([4, 8, 14, 21, 28, 37, 44, 47], np.float64(254.94896121979295))","([], np.float64(365.24081508902))"
3,"([2, 11, 24, 37, 39, 49], np.float64(171.75188154562852))","([2, 11], np.float64(329.31566550884105))"
4,"([2, 10, 29, 34, 36, 39, 40, 49], np.float64(96.4348441276819))","([], np.float64(363.55148682669886))"
5,"([0, 1, 5, 15, 25, 26, 46, 49], np.float64(83.81316830156614))","([], np.float64(325.9069697128455))"
6,"([7, 8, 11, 16, 28, 34, 36, 38, 40, 49], np.float64(98.23223746158858))","([], np.float64(373.94711563495014))"
7,"([12, 19, 21, 23, 31, 34, 41], np.float64(231.8166752437661))","([], np.float64(355.898058325748))"
8,"([31, 33, 35, 40, 44, 45], np.float64(161.4858509573748))","([], np.float64(347.23570358991844))"
9,"([3, 6, 15, 17, 22, 27, 38, 40, 47, 49], np.float64(12.521677023971108))","([], np.float64(383.72641334537514))"
10,"([10, 15, 17, 22, 38], np.float64(256.1546982927059))","([], np.float64(374.5485572745339))"
11,"([2, 5, 8, 13, 22, 26, 33, 36, 41, 45], np.float64(22.254496636720297))","([], np.float64(392.07002778683903))"
12,"([1, 16, 17, 21, 30, 31, 33, 35, 37, 39], np.float64(19.69450688134632))","([], np.float64(349.3417020062475))"
13,"([11, 19, 21, 27, 32, 33, 38, 41], np.float64(166.5050177894843))","([], np.float64(340.3676847752863))"
14,"([9, 15, 17, 21, 26, 27, 31, 35, 38, 48], np.float64(15.27287852186845))","([], np.float64(364.8270495310276))"
15,"([7, 9, 19, 23, 25, 39, 46, 49], np.float64(92.98130051176997))","([], np.float64(360.83998812220153))"
16,"([2, 8, 10, 22, 30, 32, 41, 43, 46], np.float64(245.0923798445307))","([], np.float64(352.44025510360524))"
17,"([9, 14, 15, 19, 23, 26, 32, 33, 36], np.float64(82.70730550535797))","([], np.float64(381.83793609486963))"
18,"([1, 11, 15, 29, 41, 42], np.float64(150.3707207393544))","([], np.float64(388.7883135058015))"
19,"([3, 13, 19, 25, 38, 43, 46, 48], np.float64(113.50505503457893))","([0], np.float64(371.01248222582444))"
20,"([1, 9, 18, 23, 26, 29, 31, 34, 40, 43], np.float64(104.45904798387087))","([], np.float64(345.315478151605))"
21,"([0, 1, 6, 10, 18, 24, 34, 41], np.float64(164.06324425795307))","([], np.float64(330.50823962762206))"
22,"([1, 7, 16, 17, 29, 43], np.float64(145.09543022431765))","([], np.float64(350.6769353534775))"
23,"([6, 7, 14, 27, 39, 47], np.float64(155.80293178136245))","([], np.float64(351.78527652698324))"
24,"([1, 7, 13, 19, 25, 29, 31, 33, 34, 41], np.float64(196.0816788857195))","([], np.float64(357.82386862168795))"
25,"([0, 2, 5, 8, 23, 34, 36, 37, 41, 46], np.float64(14.255810530362087))","([], np.float64(390.22943241569317))"
26,"([0, 3, 16, 18, 37, 44, 47], np.float64(167.08253823915678))","([], np.float64(357.7125276820484))"
27,"([10, 12, 14, 17, 21, 23, 31, 40, 42], np.float64(90.25969183717646))","([], np.float64(356.07977809729067))"
28,"([8, 11, 35, 39, 42, 44, 46, 48], np.float64(90.78330568004766))","([], np.float64(348.8916350523388))"
29,"([4, 8, 19, 25, 31, 37, 38, 42], np.float64(96.77552559064604))","([], np.float64(387.01378480943583))"
30,"([6, 21, 29, 32, 37, 44, 49], np.float64(157.05507884216547))","([], np.float64(351.5773413878766))"
31,"([2, 10, 16, 21, 26, 27, 42, 49], np.float64(77.2523780474542))","([], np.float64(367.7937262826326))"
32,"([7, 14, 15, 20, 28, 31, 33, 43, 45, 47], np.float64(8.823252014053692))","([], np.float64(344.0527496095522))"
33,"([6, 7, 14, 16, 35, 36, 48], np.float64(169.9864218128471))","([], np.float64(338.2135677098424))"
34,"([2, 4, 12, 18, 23, 26, 33, 39], np.float64(85.7963259047321))","([], np.float64(359.8411391799392))"
35,"([1, 6, 15, 18, 29, 33, 41, 48, 49], np.float64(192.29722243900562))","([], np.float64(374.65687671957363))"
