run_id,harderLASSO ANN,LASSO ANN
0,"([3, 6, 9, 11, 15, 26, 38, 41, 49], np.float64(604.0007292333979))","([15], np.float64(764.7853843819069))"
1,"([3, 4, 5, 7, 8, 12, 16, 18, 25, 26], np.float64(627.357774288275))","([], np.float64(727.7618932728111))"
2,"([0, 4, 5, 13, 24, 41, 49], np.float64(619.288488233051))","([], np.float64(734.6649922689704))"
3,"([3, 12, 16, 18, 27, 30, 33, 42, 48], np.float64(615.3325032719197))","([], np.float64(802.732733366152))"
4,"([1, 14, 17, 18, 20, 24, 28, 31, 32], np.float64(536.7083492789046))","([], np.float64(711.5659698072229))"
5,"([6, 24, 48], np.float64(682.1094952995335))","([], np.float64(740.6354941219424))"
6,"([13, 15, 18, 21, 23, 27, 30, 31, 33, 36, 41], np.float64(600.5033258216989))","([], np.float64(709.3907179845897))"
7,"([6, 19, 20, 21, 32, 45], np.float64(673.9218948139074))","([], np.float64(768.0171548749768))"
8,"([15, 27, 28, 29, 47, 49], np.float64(528.3656374996851))","([], np.float64(720.7101874589517))"
9,"([3, 10, 19, 25, 27, 34, 35, 43, 44], np.float64(594.5767181773836))","([], np.float64(736.1380034459813))"
10,"([8, 14, 16, 19, 21, 25, 27, 34, 41, 49], np.float64(659.4671793402233))","([], np.float64(688.7373622168963))"
11,"([1, 3, 9, 19, 27, 28, 37, 38], np.float64(726.8613083104395))","([], np.float64(745.5841032635756))"
12,"([13, 22, 28, 43, 45, 48], np.float64(588.1815292869185))","([], np.float64(722.6802592569011))"
13,"([2, 8, 21, 34], np.float64(705.8619018761254))","([], np.float64(742.740382977931))"
14,"([2, 8, 19, 20, 27, 30, 41, 43, 44], np.float64(543.3587369161877))","([], np.float64(763.5386891165892))"
15,"([7, 16, 27, 31, 36, 39, 44], np.float64(573.045979354157))","([], np.float64(765.0416983798913))"
16,"([0, 8, 11, 12, 25, 29, 33, 35, 40, 42, 47], np.float64(541.7255900029684))","([], np.float64(752.848742577368))"
17,"([1, 8, 14, 17, 18, 35, 38, 40], np.float64(442.1296542867889))","([], np.float64(651.4493261781761))"
18,"([1, 28, 31, 43, 44, 49], np.float64(642.55738305854))","([], np.float64(730.503409279761))"
19,"([11, 14, 15, 18, 20, 28, 38, 45, 47], np.float64(693.8306159290916))","([], np.float64(688.3990715527989))"
20,"([0, 8, 10, 13, 16, 17, 27, 28, 47], np.float64(606.2785652791689))","([], np.float64(738.9713823685344))"
21,"([0, 1, 2, 8, 9, 14, 16, 18, 19, 23, 30, 32, 40, 47, 48], np.float64(664.8079255058699))","([16], np.float64(825.9311206359475))"
22,"([1, 2, 3, 4, 5, 9, 33, 38, 43], np.float64(545.8485384392272))","([], np.float64(723.043165637273))"
23,"([10, 11, 13, 16, 20, 30], np.float64(578.7171872351112))","([], np.float64(696.9157543250849))"
24,"([9, 29, 34, 37, 43, 44, 45], np.float64(660.9819866668779))","([], np.float64(734.1014058465385))"
25,"([0, 14, 15, 16, 18, 20, 25, 29, 30, 32, 38, 49], np.float64(533.635119357402))","([], np.float64(714.8699341964042))"
26,"([1, 6, 7, 16, 23, 25, 27, 29, 30, 31, 33, 39, 44, 49], np.float64(487.88720090042347))","([], np.float64(675.8363530116557))"
27,"([2, 10, 17, 37, 43], np.float64(578.5136004848592))","([], np.float64(737.0122720760418))"
28,"([0, 3, 4, 5, 8, 14, 18, 22, 23, 32, 41, 43], np.float64(629.2798200592209))","([], np.float64(675.5734923061068))"
29,"([2, 3, 4, 11, 15, 18, 19, 22, 38, 39, 40, 43, 47], np.float64(638.1029637790808))","([], np.float64(762.8535652644861))"
30,"([1, 4, 13, 23, 26, 27, 30, 40, 41], np.float64(625.0934637704552))","([], np.float64(760.0731375028294))"
31,"([2, 4, 12, 17, 18, 29, 31, 41, 43, 49], np.float64(532.5702169210994))","([], np.float64(748.0611473608432))"
32,"([14, 15, 16, 18, 19, 24, 31, 34, 39, 40, 41, 46, 47], np.float64(788.1481119828196))","([], np.float64(768.2419328037485))"
33,"([6, 7, 14, 18, 24, 27, 40, 41], np.float64(644.6971411195634))","([], np.float64(753.335650625048))"
34,"([0, 5, 10, 27, 33, 34, 43], np.float64(632.8211254401186))","([], np.float64(697.6332043499125))"
35,"([6, 13, 24, 26, 27, 43, 44], np.float64(641.1361256288671))","([], np.float64(721.3001880176641))"
36,"([14, 19, 23, 32, 33, 38, 40, 45, 49], np.float64(604.1983457515498))","([], np.float64(744.4305299484326))"
37,"([0, 1, 4, 15, 16, 21, 26, 28, 38, 41], np.float64(549.3352234686414))","([], np.float64(711.6058376573882))"
38,"([1, 4, 6, 7, 8, 10, 20, 32, 38, 41, 43], np.float64(508.753045465054))","([], np.float64(747.32886509738))"
39,"([6, 7, 8, 9, 14, 27, 29, 36, 42, 45, 48], np.float64(627.2270827110599))","([], np.float64(732.661041992377))"
40,"([5, 11, 16, 18, 20, 23, 36, 39, 45, 47], np.float64(612.2224013642557))","([], np.float64(702.8723009810636))"
41,"([2, 5, 8, 10, 11, 13, 20, 21, 31, 33, 35, 41], np.float64(591.6059126135343))","([], np.float64(711.6779980522094))"
42,"([2, 9, 16, 24, 30, 32, 42, 45, 48], np.float64(545.5665209611612))","([], np.float64(692.8620022750408))"
43,"([13, 16, 17, 23, 24, 31, 34, 44, 49], np.float64(650.6759109776923))","([], np.float64(721.8145049720118))"
44,"([0, 5, 8, 12, 15, 16, 17, 23, 29, 40], np.float64(540.5566423045872))","([], np.float64(681.2732563960566))"
45,"([6, 8, 10, 14, 26, 29, 37], np.float64(732.2388199879542))","([], np.float64(749.443057716091))"
46,"([0, 9, 19, 25, 32, 37, 42], np.float64(663.8405835473498))","([], np.float64(668.8434751064995))"
47,"([2, 13, 18, 21, 24, 28, 29, 34], np.float64(587.0335138985982))","([], np.float64(695.5539356208513))"
48,"([3, 11, 15, 16, 18, 26, 30, 41, 42], np.float64(549.3385798121486))","([], np.float64(725.2126964976709))"
49,"([7, 9, 11, 17, 23, 25, 36, 44], np.float64(567.4280324024145))","([], np.float64(722.6295430614128))"
50,"([10, 12, 13, 29, 32, 39, 42], np.float64(525.4616408552769))","([], np.float64(720.2568354384122))"
51,"([4, 13, 22, 28, 34, 36, 38, 43], np.float64(718.7568334023535))","([], np.float64(707.5972428211702))"
52,"([0, 1, 2, 4, 6, 11, 13, 16, 17, 29, 37, 43], np.float64(527.341061111205))","([], np.float64(727.8070459184811))"
53,"([1, 4, 12, 13, 15, 16, 18, 19, 25, 28, 36, 41, 43, 48], np.float64(565.3091692307806))","([18], np.float64(795.9708320011466))"
54,"([6, 26, 29, 30, 43, 48], np.float64(559.2132472718902))","([], np.float64(731.5762314190117))"
55,"([8, 10, 16, 18, 22, 23, 26, 27, 33, 42, 44, 47, 48], np.float64(503.6036293257288))","([], np.float64(718.2730141906482))"
56,"([3, 10, 23, 31, 32, 33, 34, 37, 44], np.float64(685.9661184672823))","([], np.float64(751.075846795921))"
57,"([5, 8, 9, 11, 16, 23, 26, 29, 30, 32, 34, 42, 48], np.float64(439.8385915354585))","([], np.float64(690.7452765333278))"
58,"([8, 14, 16, 20, 27, 31, 33, 37, 43], np.float64(737.8998089013523))","([], np.float64(699.4222632416238))"
59,"([0, 5, 7, 18, 21, 26, 27, 35, 37, 49], np.float64(564.0247870169787))","([], np.float64(673.7902882695278))"
60,"([1, 12, 13, 14, 16, 26, 32, 36, 43], np.float64(583.9656815205677))","([], np.float64(730.9026592985991))"
61,"([2, 7, 21, 24, 25, 31, 34, 45, 49], np.float64(493.1764494424801))","([], np.float64(717.8000854067304))"
62,"([3, 11, 13, 16, 17, 24, 25, 31, 41, 42, 45, 47], np.float64(544.5137590790811))","([], np.float64(731.9399141462932))"
63,"([5, 7, 15, 21, 30, 49], np.float64(603.6133170512188))","([], np.float64(686.4894167998634))"
64,"([3, 4, 11, 26, 27, 33, 37, 39], np.float64(535.5642725835994))","([], np.float64(720.11747018519))"
65,"([3, 18, 22, 32, 40, 45, 46], np.float64(681.787967591247))","([], np.float64(791.1017998529169))"
66,"([5, 6, 23, 27, 38, 41, 43], np.float64(655.2562309472864))","([], np.float64(767.2327299911952))"
67,"([1, 3, 9, 11, 18, 19, 25, 28, 34, 36, 39, 40, 43, 47, 49], np.float64(771.5162508991788))","([], np.float64(770.6204448118463))"
68,"([2, 3, 7, 10, 27, 29, 33, 40, 44], np.float64(577.4712916961872))","([], np.float64(741.1861134061911))"
69,"([1, 4, 9, 34], np.float64(563.653137297036))","([], np.float64(712.3913003920962))"
70,"([3, 8, 11, 17, 22, 29, 33], np.float64(632.4375906733394))","([], np.float64(765.788699353))"
71,"([17, 21, 23, 28, 29, 30, 36, 48], np.float64(531.9712320879834))","([], np.float64(681.4874764299298))"
72,"([2, 3, 16, 21, 23, 24, 28, 35, 37, 41, 43], np.float64(594.0902402107647))","([], np.float64(750.5616133599635))"
73,"([5, 14, 27, 40, 44, 49], np.float64(587.6209076825278))","([], np.float64(702.2289308722487))"
74,"([11, 14, 20, 32, 33, 37, 41], np.float64(536.785965576473))","([], np.float64(731.7071712133873))"
75,"([0, 7, 11, 14, 17, 18, 19, 23, 29, 35, 41, 48], np.float64(505.137978379088))","([], np.float64(692.1677768454539))"
76,"([0, 13, 19, 20, 22, 30, 34, 41, 44], np.float64(727.1459405542479))","([], np.float64(743.1187462720688))"
77,"([0, 3, 14, 19, 24, 27, 33, 38, 40, 44, 47], np.float64(666.1659660448313))","([], np.float64(738.1827545208253))"
78,"([0, 1, 14, 17, 22, 30, 31, 33, 37, 38, 39, 44, 46, 47], np.float64(626.8956406538689))","([], np.float64(724.971385443318))"
79,"([1, 3, 4, 7, 14, 15, 24, 30, 33, 38], np.float64(649.8337610687958))","([], np.float64(668.726186943027))"
80,"([2, 5, 8, 16, 19, 21, 23, 28, 29, 34, 37, 41, 43, 44, 47], np.float64(626.865354338442))","([], np.float64(775.2979289400879))"
81,"([6, 7, 9, 15, 24, 36, 42, 43, 47], np.float64(641.2296411453178))","([], np.float64(730.4277758512998))"
82,"([3, 8, 9, 16, 21, 27, 37, 38, 45], np.float64(578.3196875201701))","([], np.float64(696.7633449959113))"
83,"([21, 22, 25, 26, 27, 30, 33, 34, 36, 39, 41], np.float64(502.9719234995096))","([], np.float64(743.2481357844915))"
84,"([3, 4, 10, 12, 13, 14, 15, 34, 39, 43], np.float64(676.3189066145549))","([], np.float64(765.5782999499559))"
85,"([6, 8, 10, 13, 30, 31, 36, 39, 47, 48], np.float64(597.3927558925772))","([], np.float64(680.5498389099871))"
86,"([22, 27, 28, 32, 33, 34, 40, 49], np.float64(604.5381820366728))","([], np.float64(731.032671119384))"
87,"([1, 2, 11, 13, 18, 19, 22, 32, 37], np.float64(719.4402942396232))","([], np.float64(766.4774144297188))"
88,"([10, 42], np.float64(746.2553929102417))","([], np.float64(818.8724376845742))"
89,"([3, 8, 13, 16, 22, 24, 30, 37, 38, 44, 49], np.float64(560.6884153352278))","([], np.float64(687.1391127543054))"
90,"([4, 7, 8, 15, 22, 29, 33, 40], np.float64(556.7106963102171))","([], np.float64(709.1340819887507))"
91,"([3, 5, 13, 30, 32, 36, 37, 38, 44], np.float64(711.116890537543))","([], np.float64(699.3635990573076))"
92,"([3, 4, 6, 15, 18, 20, 27, 30, 43, 48, 49], np.float64(522.4799043541703))","([], np.float64(755.4996930876373))"
93,"([2, 3, 4, 16, 22, 29, 35, 37, 38, 43], np.float64(566.4523155154408))","([], np.float64(747.842796190237))"
94,"([10, 20, 21, 35, 43, 49], np.float64(656.7557657935786))","([], np.float64(711.6524656124102))"
95,"([7, 15, 29, 31, 44, 46, 48, 49], np.float64(660.3380743025401))","([], np.float64(775.0258959734922))"
96,"([11, 14, 15, 20, 44, 47], np.float64(716.0648933110832))","([], np.float64(761.9822667980584))"
97,"([11, 13, 14, 17, 18, 19, 24, 27, 40, 43], np.float64(607.4390077203393))","([], np.float64(686.8555292146928))"
98,"([11, 14, 15, 17, 22, 29, 30, 37, 39, 44], np.float64(514.8577362757127))","([], np.float64(757.5975775501153))"
99,"([16, 20, 22, 26, 33, 37, 41, 42, 47], np.float64(587.3437891035546))","([], np.float64(734.9065294772261))"
