run_id,harderLASSO ANN,LASSO ANN
0,"([8, 9, 15, 18, 26, 27, 34], np.float64(409.96561105938287))","([], np.float64(554.6101768982725))"
1,"([2, 6, 10, 11, 13, 14, 18, 32, 40], np.float64(345.21240696350577))","([], np.float64(606.8242757874312))"
2,"([0, 6, 7, 8, 14, 23, 36, 38, 39, 43, 46], np.float64(278.92274927207023))","([], np.float64(592.492359138689))"
3,"([3, 5, 17, 25, 27, 29, 35, 38, 40, 44], np.float64(378.8628927097863))","([], np.float64(604.2348696235008))"
4,"([1, 5, 8, 11, 12, 13, 19, 26, 28, 41], np.float64(266.1320305628071))","([], np.float64(572.7697133490174))"
5,"([3, 6, 8, 18, 22, 34, 37, 39, 41, 43, 48], np.float64(303.26873043652483))","([], np.float64(595.185085451778))"
6,"([0, 9, 14, 15, 19, 32, 34, 46], np.float64(314.13644105106073))","([], np.float64(606.2478236713754))"
7,"([1, 5, 6, 7, 16, 27, 28, 30, 32, 35, 37, 42, 49], np.float64(351.0544033376751))","([], np.float64(603.1847166922526))"
8,"([0, 5, 8, 22, 35, 44, 45], np.float64(470.97830933069366))","([], np.float64(549.2196029930685))"
9,"([4, 5, 7, 10, 12, 19, 20, 32, 35, 47], np.float64(423.7372707495926))","([], np.float64(577.3559872253744))"
10,"([4, 6, 7, 8, 11, 12, 22, 24, 33, 36, 38], np.float64(346.8473316972628))","([], np.float64(554.3253959539942))"
11,"([4, 6, 15, 23, 24, 43], np.float64(472.9245800013131))","([], np.float64(571.1211823679181))"
12,"([3, 21, 31, 36], np.float64(447.69058254310136))","([], np.float64(555.7270624137254))"
13,"([5, 8, 16, 27, 33, 35, 41, 44, 46, 48], np.float64(399.9655708579839))","([], np.float64(572.70023978238))"
14,"([0, 2, 10, 11, 19, 30, 35], np.float64(364.7412530649145))","([], np.float64(586.0885191907736))"
15,"([5, 6, 7, 16, 22, 29, 32, 33, 44, 49], np.float64(347.64999949057903))","([], np.float64(542.7708093713536))"
16,"([6, 7, 11, 12, 20, 26, 27, 34, 42, 43], np.float64(397.3080689334199))","([], np.float64(569.9694587176109))"
17,"([1, 4, 7, 8, 20, 22, 27, 30, 31, 37, 43, 45, 49], np.float64(210.16360007466574))","([], np.float64(573.670429470977))"
18,"([3, 10, 14, 17, 20, 32, 37, 46, 47], np.float64(331.27292853289305))","([], np.float64(588.7321786481588))"
19,"([5, 13, 24, 25, 26, 30, 32, 39, 43, 45, 46], np.float64(330.51535782661455))","([], np.float64(545.6875989853428))"
20,"([17, 18, 25, 31, 34, 35, 39], np.float64(472.1943764974353))","([], np.float64(578.5752571806045))"
21,"([3, 16, 21, 22, 26, 30, 36, 41, 43, 48, 49], np.float64(380.3918791346034))","([], np.float64(584.5923246737947))"
22,"([10, 12, 14, 15, 20, 24, 29, 34, 37, 47], np.float64(272.97948143053026))","([], np.float64(600.8994540949263))"
