run_id,harderLASSO ANN,LASSO ANN,harderLASSO linear,LASSO linear
0,"([14, 67, 93, 105, 131, 168, 220, 229, 240], np.float64(2.005240538027697))","([67, 220], np.float64(57.464165785196805))","([14, 67, 93, 105, 131, 220, 229, 240], np.float64(0.10235229604359233))","([14, 67, 93, 131, 220], np.float64(30.14214876807016))"
1,"([12, 37, 87, 92, 186, 187, 208, 233], np.float64(0.6831537585469305))","([], np.float64(79.90799199723054))","([12, 37, 87, 92, 186, 187, 208, 233], np.float64(0.148299923507935))","([], np.float64(79.65486764607039))"
2,"([3, 9, 40, 45, 119, 133, 156, 216], np.float64(0.6616585387769255))","([], np.float64(75.37424167082476))","([3, 9, 40, 45, 119, 133, 156, 216], np.float64(0.12930487394358475))","([3, 45, 133], np.float64(50.21425952767418))"
3,"([8, 21, 23, 58, 103, 133, 140, 231], np.float64(0.4496376494595719))","([133], np.float64(66.24666712513392))","([8, 21, 23, 58, 103, 133, 140, 231], np.float64(0.1298758538876887))","([23, 133], np.float64(57.46842497455026))"
4,"([15, 31, 62, 132, 170, 203, 243, 247], np.float64(1.607127818819324))","([], np.float64(70.78531588700721))","([15, 31, 62, 132, 170, 203, 243, 247], np.float64(0.13966712821183638))","([], np.float64(70.82170685020142))"
5,"([5, 21, 94, 113, 145, 147, 214, 238], np.float64(0.9431359474119869))","([94], np.float64(63.70508478655423))","([5, 21, 94, 113, 145, 147, 214, 238], np.float64(0.02938410335898549))","([94], np.float64(63.343740964641434))"
6,"([20, 21, 75, 118, 131, 152, 175, 220], np.float64(0.2592634255494438))","([226], np.float64(82.82411908658788))","([20, 21, 75, 118, 131, 152, 175, 220], np.float64(0.08466165562964935))","([131, 226], np.float64(72.12556849438761))"
7,"([27, 41, 80, 126, 153, 195, 204, 231], np.float64(1.2597707788605095))","([231], np.float64(68.79029303271636))","([27, 41, 80, 126, 153, 190, 195, 204, 231], np.float64(0.2481390249035638))","([195, 231], np.float64(58.042188231270615))"
8,"([18, 68, 72, 74, 150, 172, 183, 216], np.float64(0.5086691802363198))","([18, 172], np.float64(62.23967646378551))","([18, 68, 72, 74, 150, 172, 183, 216], np.float64(0.12302939268831345))","([18, 172], np.float64(60.50471974083723))"
9,"([40, 103, 120, 138, 167, 170, 195, 246], np.float64(0.5713340997812513))","([120], np.float64(61.68122390889116))","([40, 103, 120, 138, 167, 170, 195, 198, 246], np.float64(0.5170954947315838))","([120], np.float64(61.62331786985642))"
