run_id,harderLASSO ANN,LASSO ANN,harderLASSO linear,LASSO linear
0,"([6, 9, 68, 71, 142, 155, 158, 166, 170, 210, 225, 226], np.float64(72.75806648103978))","([], np.float64(125.77210981752337))","([6, 9, 19, 22, 65, 68, 71, 83, 142, 158, 166, 170, 208, 210, 225], np.float64(0.34215484657999035))","([], np.float64(125.80294603722666))"
1,"([25, 30, 31, 33, 50, 86, 99, 109, 111, 123, 125, 135, 167, 188, 195, 222, 226, 238], np.float64(129.40660258637246))","([], np.float64(137.85658305889268))","([25, 27, 35, 50, 86, 91, 93, 108, 111, 134, 180, 222, 226, 238, 242], np.float64(0.18647375643421293))","([], np.float64(138.3113929948974))"
2,"([7, 26, 97, 111, 162, 165, 173, 188, 191, 194, 203, 211, 220, 235, 246], np.float64(2.0327660545437376))","([], np.float64(140.27655012573769))","([7, 26, 97, 111, 162, 165, 173, 188, 191, 194, 203, 211, 220, 235, 246], np.float64(0.30438806533363344))","([194, 203], np.float64(137.46694584551506))"
3,"([15, 40, 68, 73, 82, 119, 126, 154, 155, 169, 180, 189, 193, 212, 218, 248], np.float64(115.92679081430042))","([], np.float64(137.81432015329534))","([15, 16, 40, 52, 68, 73, 97, 103, 144, 154, 169, 205, 212, 231, 248], np.float64(0.32542083473940625))","([], np.float64(137.6135450536092))"
4,"([6, 25, 51, 67, 72, 73, 83, 98, 112, 176, 185, 194, 233, 243, 245], np.float64(1.3640495382599824))","([], np.float64(133.99248182409474))","([6, 25, 51, 67, 72, 73, 83, 98, 112, 176, 185, 194, 233, 243, 245], np.float64(0.18342869631702097))","([233], np.float64(131.5950138351237))"
5,"([14, 17, 31, 68, 89, 126, 134, 137, 147, 150, 151, 180, 185, 245, 246], np.float64(0.3125551968286313))","([68], np.float64(135.50637273628283))","([14, 17, 31, 68, 89, 126, 134, 137, 147, 150, 151, 180, 185, 245, 246], np.float64(0.21987357178550082))","([68, 180], np.float64(124.70407178205176))"
6,"([5, 8, 34, 43, 55, 82, 97, 104, 123, 124, 125, 127, 145, 165, 243], np.float64(3.874973655652317))","([], np.float64(140.44708152567532))","([5, 8, 34, 43, 55, 82, 97, 104, 123, 124, 125, 127, 145, 165, 243], np.float64(0.13668168419037227))","([165], np.float64(131.55008680712388))"
7,"([25, 75, 80, 89, 131, 142, 144, 160, 161, 168, 188, 205, 231, 240, 245], np.float64(0.7899641850650828))","([], np.float64(129.50584447378733))","([25, 75, 80, 89, 131, 142, 144, 160, 161, 168, 188, 205, 231, 240, 245], np.float64(0.3169235761646747))","([], np.float64(130.0306484052465))"
8,"([46, 47, 61, 83, 94, 95, 110, 142, 221, 241, 247], np.float64(54.1486165550038))","([], np.float64(132.6712710212294))","([9, 22, 42, 46, 47, 61, 83, 94, 95, 110, 122, 142, 221, 230, 241, 247], np.float64(44.30859428335403))","([46], np.float64(130.20286944095182))"
9,"([13, 17, 23, 36, 78, 136, 137, 143, 159, 189, 208, 214, 223, 232, 234], np.float64(91.83964620820858))","([143], np.float64(129.415796018295))","([13, 23, 25, 68, 106, 143, 159, 177, 189, 214, 223, 232, 234, 237, 244], np.float64(0.4343186400849338))","([13, 143], np.float64(119.72201200913253))"
10,"([0, 57, 108, 134, 135, 138, 143, 157, 160, 179, 205, 207, 217, 229], np.float64(93.9959261678338))","([], np.float64(128.22656933940036))","([0, 5, 33, 41, 51, 58, 117, 124, 128, 130, 138, 157, 160, 179, 202, 205, 207, 214, 216, 217, 225], np.float64(135.4840100512504))","([179], np.float64(153.89643751512696))"
11,"([50, 55, 58, 99, 125, 133, 160, 169, 187, 190, 199, 230], np.float64(34.39394329596719))","([], np.float64(130.6142926629727))","([50, 55, 58, 99, 109, 125, 133, 160, 169, 184, 187, 190, 199, 230, 233], np.float64(0.21003136131091144))","([187], np.float64(133.66715531087183))"
12,"([3, 7, 26, 38, 42, 46, 47, 62, 99, 106, 112, 162, 217, 243, 246], np.float64(0.2971771914110645))","([], np.float64(130.21969071063364))","([3, 7, 26, 38, 42, 46, 47, 62, 99, 106, 112, 162, 217, 243, 246], np.float64(0.08812364103334917))","([], np.float64(129.91433641316786))"
13,"([0, 13, 48, 73, 82, 83, 106, 152, 161, 175, 201, 205, 212, 231], np.float64(72.67910117338918))","([83], np.float64(131.6660689394461))","([0, 7, 13, 49, 82, 83, 106, 122, 152, 165, 175, 201, 205, 212, 231], np.float64(0.25345962057219623))","([83], np.float64(131.31431790414064))"
14,"([3, 13, 14, 21, 28, 46, 115, 119, 139, 147, 166, 198, 217, 230, 238], np.float64(0.9662284653954867))","([], np.float64(134.34914126757502))","([3, 13, 14, 21, 28, 46, 115, 119, 139, 147, 166, 198, 217, 230, 233, 238], np.float64(0.6917769579523775))","([], np.float64(134.7770985173703))"
15,"([30, 65, 68, 84, 141, 158, 163, 172, 187, 190, 191, 193, 197, 236, 237], np.float64(2.489648958694906))","([], np.float64(140.32816559411447))","([30, 65, 68, 84, 141, 158, 163, 172, 187, 190, 191, 193, 197, 236, 237], np.float64(0.2744049491435171))","([], np.float64(140.09034047686498))"
16,"([3, 8, 33, 35, 56, 122, 178, 187, 205, 217, 242], np.float64(140.47692621398133))","([], np.float64(129.82935372104274))","([5, 17, 18, 30, 40, 43, 104, 152, 178, 187, 191, 193, 234, 242, 247], np.float64(0.36862881432372285))","([], np.float64(129.7528037927752))"
17,"([72, 86, 89, 122, 126, 128, 134, 141, 153, 172, 179, 189, 200, 235, 237], np.float64(4.040347210978407))","([172], np.float64(158.93590527948425))","([72, 86, 89, 122, 126, 128, 134, 141, 153, 172, 179, 189, 200, 235, 237], np.float64(0.3013930469673041))","([172, 189], np.float64(147.61001528556022))"
18,"([8, 30, 41, 64, 89, 95, 122, 211], np.float64(96.32264997477209))","([], np.float64(140.19180326671056))","([6, 8, 30, 50, 64, 89, 95, 122, 145, 175, 188, 200, 211], np.float64(46.44630872768066))","([8, 211], np.float64(139.10781622937847))"
19,"([3, 21, 39, 67, 71, 94, 108, 137, 191, 198, 239], np.float64(72.1690674329889))","([], np.float64(130.17946572451942))","([21, 39, 40, 63, 67, 94, 108, 137, 191, 198, 206, 207, 222, 228, 239], np.float64(0.24236768243246612))","([94], np.float64(134.30292187118084))"
20,"([4, 7, 19, 48, 50, 101, 105, 112, 118, 128, 140, 177, 181, 203, 228], np.float64(3.1348812197433973))","([], np.float64(140.2903666243671))","([4, 7, 19, 48, 50, 101, 105, 112, 118, 128, 140, 177, 181, 203, 228], np.float64(0.19777185638302688))","([], np.float64(140.8804646917504))"
21,"([1, 7, 25, 43, 92, 102, 104, 115, 188, 212, 231, 235, 239, 249], np.float64(24.74688255964803))","([115, 188], np.float64(140.83152384781627))","([1, 7, 25, 43, 92, 102, 104, 115, 188, 202, 212, 231, 235, 239, 249], np.float64(0.5485540406975622))","([115, 188], np.float64(132.92887499502817))"
22,"([10, 11, 30, 42, 100, 123, 132, 133, 176, 190, 191, 196, 199, 223, 238], np.float64(91.38910152342524))","([], np.float64(129.88677433884652))","([10, 11, 42, 59, 61, 92, 133, 165, 176, 189, 190, 196, 199, 223, 238], np.float64(0.2682840177934995))","([], np.float64(129.84323371100288))"
23,"([6, 20, 25, 30, 41, 46, 71, 94, 106, 144, 152, 181, 188, 212, 215], np.float64(1.227174204023607))","([], np.float64(147.16950002590585))","([6, 20, 25, 30, 41, 46, 71, 94, 106, 144, 152, 181, 188, 212, 215], np.float64(0.3572863123357366))","([212], np.float64(131.8258223146943))"
24,"([3, 29, 37, 70, 79, 82, 101, 129, 140, 172, 181, 198, 211, 216, 231], np.float64(4.624081466902827))","([], np.float64(137.28137151602172))","([3, 29, 37, 70, 79, 82, 101, 129, 140, 172, 181, 198, 211, 216, 231], np.float64(0.23432625802861165))","([], np.float64(137.7911295206882))"
25,"([9, 17, 34, 55, 73, 96, 102, 126, 151, 177, 180, 226, 229, 232, 247], np.float64(0.5707952003371941))","([73], np.float64(131.67034091779212))","([9, 17, 34, 55, 73, 96, 102, 126, 151, 177, 180, 226, 229, 232, 247], np.float64(0.32968858108782284))","([73], np.float64(131.65037408860434))"
26,"([9, 11, 41, 50, 53, 55, 94, 120, 134, 160, 181, 190, 198, 201, 226], np.float64(1.351419954987371))","([], np.float64(135.145101612262))","([9, 11, 41, 50, 53, 55, 94, 120, 134, 160, 181, 190, 198, 201, 226], np.float64(0.2991498067290333))","([], np.float64(134.69943882993527))"
27,"([3, 17, 24, 47, 106, 131, 135, 142, 146, 149, 150, 153, 157, 215, 235], np.float64(1.4464566660727327))","([], np.float64(150.35095211331588))","([3, 17, 24, 47, 106, 131, 135, 142, 146, 149, 150, 153, 157, 215, 235], np.float64(0.5164865802265654))","([], np.float64(151.18395992740022))"
28,"([33, 80, 89, 135, 145, 157, 192, 206, 212], np.float64(160.48578143952932))","([80], np.float64(145.93764265634633))","([24, 48, 75, 80, 83, 85, 89, 135, 141, 153, 167, 205, 212, 213, 221], np.float64(0.15182358144379174))","([80, 135, 212], np.float64(119.73065465675873))"
29,"([9, 70, 72, 95, 99, 112, 148, 169, 182, 208, 228], np.float64(94.43429994282813))","([], np.float64(134.8032168392432))","([9, 19, 68, 70, 72, 95, 99, 112, 142, 148, 162, 169, 182, 228, 240], np.float64(0.23506572863766836))","([], np.float64(135.04386614582842))"
30,"([20, 98, 100, 116, 142, 152, 153, 167, 171, 175, 187, 201, 206, 218, 248], np.float64(2.322723379369915))","([], np.float64(132.29781769449272))","([20, 98, 100, 116, 142, 152, 153, 167, 171, 175, 187, 201, 206, 218, 248], np.float64(0.17756897952437617))","([201], np.float64(127.00393686485812))"
31,"([23, 39, 51, 57, 63, 66, 121, 145, 154, 159, 188, 196, 199, 204], np.float64(96.65631400390781))","([], np.float64(128.76807813809984))","([6, 7, 51, 57, 98, 121, 145, 154, 159, 165, 174, 188, 196, 204, 205], np.float64(0.38218002328149553))","([], np.float64(128.73761755646115))"
32,"([16, 86, 94, 102, 132, 146, 152, 170, 191, 194, 199, 213, 245, 246], np.float64(73.27064208780261))","([], np.float64(135.69730488720685))","([16, 43, 93, 102, 103, 110, 132, 141, 146, 170, 194, 199, 213, 245, 246], np.float64(0.20483797527759973))","([86, 132], np.float64(157.73509179508312))"
33,"([19, 29, 55, 57, 69, 111, 112, 133, 139, 149, 169, 207, 212, 213, 221], np.float64(1.0691717718158222))","([], np.float64(146.40392616677693))","([19, 29, 55, 57, 69, 111, 112, 133, 139, 149, 169, 207, 212, 213, 221], np.float64(0.21948379880916172))","([], np.float64(146.3747482646383))"
34,"([12, 32, 40, 49, 58, 87, 146, 150, 170, 172, 209, 217, 224, 226, 243], np.float64(1.9882547727043867))","([217], np.float64(157.3628636001007))","([12, 32, 40, 49, 58, 87, 146, 150, 170, 172, 209, 217, 224, 226, 243], np.float64(0.5388040210010079))","([217], np.float64(154.83891821880806))"
35,"([54, 60, 81, 86, 94, 97, 103, 131, 152, 196, 202, 236, 239, 243], np.float64(115.06732209640164))","([], np.float64(129.1007423852747))","([44, 54, 60, 84, 97, 103, 146, 194, 196, 202, 216, 222, 236, 239, 245], np.float64(0.28045937159923745))","([], np.float64(129.04210484780373))"
36,"([4, 10, 29, 52, 75, 82, 99, 101, 105, 130, 149, 180, 205, 237, 240], np.float64(0.7645498956141796))","([], np.float64(156.48103494631252))","([4, 10, 29, 52, 75, 82, 99, 101, 105, 130, 149, 180, 205, 237, 240], np.float64(0.36826216308698795))","([], np.float64(155.64912943928223))"
37,"([20, 36, 50, 63, 90, 105, 111, 124, 126, 131, 136, 137, 176, 184, 229], np.float64(100.03596044343827))","([131], np.float64(147.88908365393144))","([20, 36, 37, 50, 54, 63, 90, 105, 111, 113, 123, 131, 161, 172, 221, 239], np.float64(0.5931351820423341))","([131], np.float64(144.51680210026208))"
38,"([16, 48, 60, 89, 99, 106, 124, 126, 130, 155, 207, 213, 224, 227], np.float64(92.17808757683026))","([126, 213], np.float64(139.6356742032335))","([16, 26, 46, 48, 60, 86, 96, 115, 124, 126, 130, 149, 155, 198, 207, 213, 224, 227], np.float64(56.384301948665495))","([126, 213, 224], np.float64(111.60831265849436))"
39,"([14, 19, 27, 41, 47, 68, 70, 72, 95, 144, 153, 162, 165, 168, 222, 236], np.float64(8.63413157338393))","([], np.float64(142.00390136968048))","([14, 19, 27, 41, 47, 68, 70, 72, 95, 144, 153, 162, 165, 222, 236], np.float64(0.3729176450081432))","([70], np.float64(137.96662116078946))"
40,"([4, 34, 60, 72, 76, 102, 112, 114, 115, 122, 130, 182, 185], np.float64(94.83803056192022))","([102], np.float64(149.49346757112946))","([4, 34, 52, 60, 73, 76, 102, 114, 115, 122, 130, 156, 159, 182, 185], np.float64(0.14538671858976568))","([102, 114], np.float64(130.54620152373954))"
41,"([14, 47, 70, 98, 120, 137, 138, 140, 183, 189, 196, 201, 206, 220, 230], np.float64(34.175633068634006))","([], np.float64(132.54525880921747))","([14, 47, 61, 70, 98, 120, 137, 138, 140, 189, 196, 201, 207, 220, 230], np.float64(0.26196706251440166))","([138], np.float64(129.31922990681383))"
42,"([4, 43, 62, 85, 89, 117, 147, 195, 222, 226], np.float64(101.58571406511986))","([4], np.float64(138.58796050727727))","([0, 4, 26, 34, 46, 62, 85, 100, 103, 131, 147, 176, 195, 222, 226], np.float64(0.5167747771570418))","([4, 85, 226], np.float64(119.82597062617587))"
43,"([9, 14, 24, 40, 57, 82, 84, 108, 113, 147, 166, 247], np.float64(91.02217156766778))","([247], np.float64(147.7280004514162))","([14, 24, 40, 57, 84, 108, 111, 113, 117, 118, 147, 166, 201, 217, 247], np.float64(0.2436660551985091))","([14, 247], np.float64(126.89140247783217))"
