run_id,harderLASSO ANN,LASSO ANN,harderLASSO linear,LASSO linear
29,"([4, 24, 37, 67], np.float64(0.21512450527579827))","([4, 37, 67], np.float64(9.500850231324101))","([4, 24, 37, 67], np.float64(0.04428873201567414))","([4, 24, 37, 67], np.float64(0.04505151342240517))"
30,"([160, 210, 238, 245], np.float64(0.5246982116907722))","([160, 238, 245], np.float64(8.374624991242715))","([160, 210, 238, 245], np.float64(0.13261195509750218))","([160, 210, 238, 245], np.float64(0.13549391684895393))"
31,"([38, 55, 135, 203], np.float64(0.34330370637918245))","([38, 55, 203], np.float64(9.571610394300242))","([38, 55, 135, 203], np.float64(0.04204371715107309))","([38, 55, 135, 203], np.float64(0.04100511936210823))"
32,"([40, 68, 147, 159], np.float64(0.2941660369952234))","([40, 68, 147, 159], np.float64(0.13654120271770814))","([40, 68, 147, 159], np.float64(0.0583345325019402))","([40, 68, 147, 159], np.float64(0.06011864579330029))"
33,"([10, 103, 180, 249], np.float64(0.6899293194799495))","([10, 103, 180, 249], np.float64(0.29658929349769414))","([10, 103, 180, 249], np.float64(0.11136366384270785))","([10, 103, 180, 249], np.float64(0.10916050530508231))"
34,"([11, 41, 70, 233], np.float64(0.29458398706774847))","([70], np.float64(29.444749205107847))","([11, 41, 70, 233], np.float64(0.11168029180633346))","([11, 41, 70, 233], np.float64(0.11184766681654779))"
35,"([49, 63, 124, 125], np.float64(0.19484605690641055))","([63], np.float64(28.234740211543837))","([49, 63, 124, 125], np.float64(0.05066441752368088))","([49, 63, 124, 125], np.float64(0.05082113531986388))"
36,"([23, 51, 198, 248], np.float64(0.46941702308194905))","([23, 51, 198, 248], np.float64(0.10088889754740722))","([23, 51, 198, 248], np.float64(0.03131212936082103))","([23, 51, 198, 248], np.float64(0.030943190004865548))"
37,"([3, 21, 82, 217], np.float64(0.22375844364386244))","([3, 21, 82], np.float64(9.860760997488335))","([3, 21, 82, 217], np.float64(0.03857428737438664))","([3, 21, 82, 217], np.float64(0.038173630498947335))"
38,"([38, 56, 145, 162], np.float64(0.5758251519460059))","([38, 56, 145, 162], np.float64(0.16613127519683668))","([38, 56, 145, 162], np.float64(0.10542420189266073))","([38, 56, 145, 162], np.float64(0.10303731206463064))"
39,"([39, 134, 159, 181], np.float64(0.5589791478422617))","([159, 181], np.float64(19.4259350659877))","([39, 134, 159, 181], np.float64(0.18600646071827565))","([39, 134, 159, 181], np.float64(0.18014970465634025))"
40,"([138, 164, 188, 215], np.float64(0.3698623981364925))","([164, 188], np.float64(18.732626110911202))","([138, 164, 188, 215], np.float64(0.004845783400494769))","([138, 164, 188, 215], np.float64(0.004051088200556391))"
