run_id,harderLASSO ANN,LASSO ANN,harderLASSO linear,LASSO linear
0,"([243], np.float64(0.083836078104142))","([243], np.float64(0.1350393219274085))","([243], np.float64(0.021349424419933264))","([243], np.float64(0.020589023414321124))"
1,"([55], np.float64(0.049585283054089706))","([55], np.float64(0.11585700145232436))","([55], np.float64(0.016115285867212174))","([55], np.float64(0.01659938792219952))"
2,"([182], np.float64(0.024889238986031764))","([182], np.float64(0.08876108916509146))","([182], np.float64(0.0025253554405218815))","([182], np.float64(0.0028889074170721694))"
3,"([203], np.float64(0.050404845008259785))","([203], np.float64(0.0247991358843968))","([203], np.float64(0.003800601527367952))","([203], np.float64(0.0036978619176360897))"
4,"([122], np.float64(0.04503735278548978))","([122], np.float64(0.02335385269571642))","([122, 248], np.float64(0.17667391872182953))","([122], np.float64(0.010372934647233273))"
5,"([34], np.float64(0.16295455448483925))","([34], np.float64(0.27684093365019785))","([34], np.float64(0.0018360913390568134))","([34, 192], np.float64(0.16438451315846653))"
6,"([21], np.float64(0.09317234682640485))","([21], np.float64(0.12522340047216604))","([21], np.float64(0.0302360883828815))","([21], np.float64(0.029803657553103532))"
7,"([180], np.float64(0.015484348129763131))","([180], np.float64(0.0018639517704548262))","([180], np.float64(0.0020104229701609273))","([180], np.float64(0.001899503466676968))"
8,"([69], np.float64(0.04336260434050977))","([69], np.float64(0.09345876893770053))","([69], np.float64(0.02750646470215925))","([69], np.float64(0.02858467236106282))"
9,"([116], np.float64(0.057584648756396566))","([116], np.float64(0.044830680869978934))","([116, 198], np.float64(0.41654964994371163))","([116, 198], np.float64(0.41665889962613856))"
10,"([131], np.float64(0.08462787333588813))","([131], np.float64(0.03879608516262011))","([131, 223], np.float64(0.17537520479902186))","([131], np.float64(0.03211822292726662))"
11,"([4], np.float64(0.10537971037493847))","([4], np.float64(0.11052756964018866))","([4], np.float64(0.009325078604579182))","([4], np.float64(0.010294831149671812))"
12,"([43], np.float64(0.006305690888276749))","([43], np.float64(0.004180672711511479))","([43], np.float64(0.002181307682002987))","([43], np.float64(0.0024369050965621962))"
13,"([207], np.float64(0.04696114074792299))","([207], np.float64(0.09876961023797537))","([207], np.float64(0.023675112082790956))","([207], np.float64(0.024959524418048155))"
14,"([122], np.float64(0.0347163568088607))","([122], np.float64(0.030403384480818096))","([122, 233], np.float64(0.3051490901047271))","([122], np.float64(0.029536066541577265))"
15,"([237], np.float64(0.0519411192831951))","([237], np.float64(0.29522727632773843))","([237], np.float64(0.014630194428736717))","([237], np.float64(0.014822247829473749))"
16,"([154], np.float64(0.0657650923579315))","([154], np.float64(0.04471270180717827))","([154], np.float64(0.026650564243115172))","([154], np.float64(0.027881154311072926))"
17,"([58], np.float64(0.25164768265269116))","([58], np.float64(0.2512561426049488))","([58], np.float64(0.0054068971435601585))","([58], np.float64(0.004892857658273491))"
18,"([102], np.float64(0.12542585235500614))","([102], np.float64(0.0737058264804676))","([102, 205], np.float64(0.33485706888206196))","([102], np.float64(0.06984585951517505))"
19,"([40], np.float64(0.051467635951485895))","([40], np.float64(0.09474280704081027))","([40], np.float64(0.039071314048721204))","([40], np.float64(0.03891168935125313))"
20,"([127], np.float64(0.056903732597693976))","([127], np.float64(0.04668109356267697))","([127], np.float64(0.02735129171388345))","([127], np.float64(0.027625957042729625))"
21,"([238], np.float64(0.10084427816561442))","([238], np.float64(0.05397916157540993))","([238], np.float64(0.030536892163213605))","([238], np.float64(0.031936430370757746))"
22,"([2], np.float64(0.0586931727942862))","([2], np.float64(0.0756821860519287))","([2], np.float64(0.005018271220885344))","([2], np.float64(0.005679264100753766))"
23,"([10], np.float64(0.02250833795762529))","([10], np.float64(0.024883851400310634))","([10], np.float64(0.005889701474910272))","([10], np.float64(0.006384819579733815))"
24,"([134], np.float64(0.047659831246887635))","([134], np.float64(0.09066421661386388))","([134], np.float64(0.004442960769069969))","([134], np.float64(0.004052740236996351))"
