run_id,harderLASSO ANN,LASSO ANN,harderLASSO linear,LASSO linear
0,"([34, 35, 73, 77, 112, 125, 127, 171, 183, 205, 245], np.float64(120.63269439630136))","([], np.float64(163.3215596058249))","([1, 25, 34, 77, 112, 127, 138, 145, 166, 171, 183, 191, 205, 238, 243, 245], np.float64(104.32645893587365))","([], np.float64(163.08597008902248))"
1,"([6, 7, 9, 61, 78, 124, 154, 164, 167, 177, 178, 203, 205, 213, 230, 235, 240, 246], np.float64(139.3188928122446))","([], np.float64(165.62373587205735))","([7, 28, 37, 78, 84, 124, 129, 140, 144, 164, 167, 177, 178, 199, 203, 205, 213, 230, 240], np.float64(0.44758009430610324))","([203, 240], np.float64(160.53526186606305))"
2,"([5, 13, 61, 63, 68, 80, 123, 145, 159, 197, 210, 211, 217, 225, 232, 239], np.float64(161.0894951720183))","([], np.float64(160.84921112545283))","([5, 10, 13, 23, 24, 28, 38, 46, 47, 61, 63, 65, 77, 79, 94, 104, 114, 122, 124, 135, 145, 158, 160, 180, 197, 199, 208, 210, 211, 217, 225, 232, 235, 239], np.float64(164.13365144146596))","([], np.float64(160.26584430369897))"
3,"([6, 10, 23, 30, 34, 52, 78, 107, 130, 132, 142, 154, 177, 189, 230, 243], np.float64(185.23858297340266))","([], np.float64(178.31423245690792))","([6, 23, 25, 28, 30, 43, 48, 67, 78, 91, 99, 128, 130, 152, 163, 177, 195, 209, 230], np.float64(0.30036033649099636))","([], np.float64(178.9353426277359))"
4,"([4, 24, 25, 55, 64, 73, 77, 98, 107, 119, 136, 147, 150, 172, 220], np.float64(57.75723113208827))","([], np.float64(177.97337584715595))","([4, 17, 24, 25, 55, 64, 73, 77, 98, 107, 119, 136, 147, 150, 151, 172, 179, 220, 243], np.float64(0.42759682019904144))","([], np.float64(177.89312414426954))"
5,"([0, 42, 80, 81, 87, 89, 93, 107, 117, 124, 143, 150, 152, 209, 221, 226, 229, 233, 236], np.float64(128.4238039203323))","([], np.float64(173.6008580270147))","([0, 73, 89, 93, 94, 107, 124, 143, 152, 154, 185, 193, 198, 209, 221, 226, 229, 233, 236], np.float64(0.4272745362074128))","([], np.float64(173.19108212744376))"
6,"([17, 45, 90, 111, 112, 113, 119, 132, 162, 190, 201, 207, 221, 230], np.float64(141.0669914604672))","([119], np.float64(171.88817497048603))","([17, 45, 90, 111, 112, 113, 119, 132, 162, 190, 201, 207, 218, 221, 230], np.float64(134.65571902191107))","([119, 162], np.float64(192.70229970975623))"
7,"([22, 31, 40, 52, 53, 70, 94, 95, 127, 131, 133, 155, 169, 171, 177, 222, 225, 232], np.float64(173.04911009353847))","([], np.float64(174.41265778194008))","([22, 52, 64, 90, 122, 127, 131, 133, 146, 158, 160, 162, 164, 169, 171, 177, 194, 222, 224], np.float64(0.27664644172514863))","([], np.float64(174.4325693090178))"
8,"([5, 18, 35, 46, 67, 76, 77, 80, 114, 142, 177, 180, 182, 205, 214, 223, 243, 246], np.float64(210.06074502850905))","([], np.float64(166.83099876016627))","([18, 22, 46, 51, 67, 73, 76, 77, 109, 114, 129, 131, 151, 164, 182, 185, 201, 231, 246], np.float64(0.342070015066541))","([], np.float64(166.95934513536574))"
9,"([10, 33, 60, 75, 79, 87, 102, 104, 128, 141, 146, 162, 197, 236, 242], np.float64(103.45492206394393))","([], np.float64(183.00878728178958))","([10, 32, 33, 60, 70, 75, 76, 79, 82, 85, 87, 102, 104, 128, 141, 146, 150, 162, 197, 201], np.float64(0.8160728557033505))","([], np.float64(182.16538684442648))"
