run_id,harderLASSO ANN,LASSO ANN,harderLASSO linear,LASSO linear
0,"([2, 5, 13, 24, 43, 49, 89, 134, 225, 226], np.float64(2.16384584338235))","([], np.float64(96.47701677345142))","([2, 5, 13, 24, 43, 49, 89, 134, 225, 226], np.float64(0.23255351963923368))","([], np.float64(96.68436263741278))"
1,"([46, 52, 56, 94, 96, 114, 127, 144, 218, 245], np.float64(0.663350597259372))","([], np.float64(93.40074492993189))","([46, 52, 56, 94, 96, 114, 127, 144, 218, 245], np.float64(0.23888243882095359))","([], np.float64(93.15178291394459))"
2,"([52, 57, 74, 84, 139, 142, 159, 187, 206, 241], np.float64(1.3576315257183023))","([57], np.float64(85.6016891882669))","([52, 57, 74, 84, 139, 142, 159, 187, 206, 239, 241], np.float64(0.4616899402428363))","([57, 139, 239, 241], np.float64(72.17769936732158))"
3,"([11, 51, 75, 117, 155, 156, 164, 197, 229, 230], np.float64(2.3457244847725627))","([], np.float64(90.9252221621302))","([11, 51, 75, 117, 155, 156, 164, 197, 229, 230], np.float64(0.09406312777249597))","([51, 117], np.float64(70.33668967854867))"
4,"([24, 55, 74, 96, 108, 144, 154, 184, 187, 212], np.float64(2.246997955156991))","([], np.float64(90.89871625164908))","([24, 55, 74, 96, 108, 144, 154, 184, 187, 212], np.float64(0.3229875939210685))","([], np.float64(91.05346546165974))"
5,"([45, 77, 103, 134, 139, 155, 160, 161, 209, 222], np.float64(2.057640899336801))","([161], np.float64(92.09998158826167))","([45, 77, 103, 134, 139, 155, 160, 161, 209, 222], np.float64(0.14839810197006512))","([161], np.float64(92.15691734623013))"
6,"([23, 24, 33, 67, 73, 76, 124, 130, 149, 164], np.float64(0.22783564958934907))","([130], np.float64(84.30867247013144))","([23, 24, 33, 67, 73, 76, 124, 130, 149, 164], np.float64(0.1337254729351244))","([124, 130], np.float64(72.23315782215529))"
7,"([23, 35, 47, 50, 54, 83, 88, 114, 132, 157], np.float64(0.8720136664320627))","([], np.float64(88.77952144058597))","([23, 35, 47, 50, 54, 83, 88, 114, 132, 157], np.float64(0.3113515355891041))","([50], np.float64(82.31712134528166))"
8,"([17, 22, 77, 95, 101, 120, 178, 179, 209, 240], np.float64(0.40792344263786245))","([101], np.float64(83.89440059657188))","([17, 22, 77, 95, 101, 120, 178, 179, 209, 240], np.float64(0.13907924607830696))","([44, 101, 120], np.float64(90.26181778888025))"
9,"([2, 8, 31, 110, 190, 193, 229, 231, 232, 239], np.float64(1.7961903546036384))","([], np.float64(94.15990003048523))","([2, 8, 31, 110, 150, 190, 193, 229, 231, 232, 239], np.float64(0.5788023491215724))","([190, 239], np.float64(77.42599563102009))"
10,"([24, 28, 30, 53, 59, 111, 115, 161, 197, 242], np.float64(3.80336411922209))","([28], np.float64(90.24702070585508))","([24, 28, 30, 53, 59, 111, 115, 161, 197, 242], np.float64(0.19149435345491173))","([28], np.float64(87.40252269581751))"
11,"([20, 60, 65, 80, 84, 116, 121, 125, 157, 215], np.float64(1.836173933678184))","([], np.float64(89.61466009665932))","([20, 60, 65, 80, 84, 116, 121, 125, 157, 215], np.float64(0.19679794636960615))","([], np.float64(89.44138710273639))"
12,"([22, 55, 97, 125, 151, 166, 199, 208, 210, 211], np.float64(0.2790004411579544))","([55], np.float64(80.8013602164447))","([22, 55, 97, 125, 151, 166, 199, 208, 210, 211], np.float64(0.13012836190811983))","([55, 211], np.float64(72.04818124719536))"
13,"([31, 66, 102, 119, 169, 170, 180, 191, 223, 247], np.float64(0.6280704348560614))","([31], np.float64(91.45038761622206))","([31, 66, 102, 119, 169, 170, 180, 191, 223, 247], np.float64(0.3002812977482988))","([31], np.float64(90.91388208914236))"
14,"([10, 21, 50, 73, 114, 136, 157, 199, 223, 229], np.float64(0.21543601707507054))","([], np.float64(93.59739842890893))","([10, 21, 50, 73, 114, 136, 157, 199, 223, 229, 233], np.float64(0.3822560684835732))","([], np.float64(93.47654231136603))"
15,"([17, 70, 80, 84, 163, 175, 206, 209, 226, 241], np.float64(1.8725177647253688))","([], np.float64(95.93257034323484))","([17, 70, 80, 84, 163, 175, 206, 209, 226, 241], np.float64(0.10752598080211176))","([209, 241], np.float64(79.69393233114859))"
16,"([26, 34, 50, 79, 86, 104, 124, 136, 143, 167], np.float64(0.5936661802772583))","([], np.float64(87.10581062813758))","([26, 34, 50, 79, 86, 104, 124, 136, 143, 167], np.float64(0.2963868124033671))","([], np.float64(87.03921340914563))"
17,"([4, 36, 68, 80, 97, 192, 210, 211, 232, 238, 249], np.float64(1.5870761296715086))","([], np.float64(92.5598226903153))","([4, 36, 68, 80, 97, 192, 210, 211, 238, 249], np.float64(0.1466235793605073))","([4, 68, 80, 211], np.float64(54.76753019287949))"
18,"([3, 37, 87, 91, 131, 138, 166, 205, 208, 241], np.float64(0.5771783059148404))","([], np.float64(89.5685454338441))","([3, 37, 87, 91, 131, 138, 166, 205, 208, 241], np.float64(0.5049923277403215))","([3, 91], np.float64(71.21904019581096))"
19,"([9, 15, 63, 101, 102, 105, 121, 146, 159, 200], np.float64(0.7719723118050353))","([63, 146, 159], np.float64(74.13007962987953))","([9, 15, 63, 101, 102, 105, 121, 146, 159, 200], np.float64(0.19884015242643283))","([63, 146, 159], np.float64(72.87283247381818))"
20,"([1, 7, 20, 22, 61, 116, 174, 211, 221, 227], np.float64(1.4604387467433697))","([61], np.float64(81.59626446746064))","([1, 7, 20, 22, 61, 116, 174, 211, 221, 227], np.float64(0.20843732085379924))","([7, 61, 221], np.float64(63.524569712000314))"
21,"([5, 30, 32, 49, 92, 102, 136, 192, 193, 249], np.float64(1.4377007181401513))","([], np.float64(95.07014502269887))","([5, 30, 32, 49, 92, 102, 136, 192, 193, 249], np.float64(0.25309738319259023))","([], np.float64(94.91579270873734))"
22,"([11, 45, 63, 64, 98, 161, 177, 233, 234, 248], np.float64(2.6804996054062813))","([], np.float64(89.2839391910239))","([11, 45, 63, 64, 98, 161, 177, 233, 234, 248], np.float64(0.06989991160613283))","([123], np.float64(107.38450758616334))"
23,"([60, 66, 73, 129, 158, 168, 169, 224, 227, 246], np.float64(0.3723009281832678))","([], np.float64(98.40599609685626))","([60, 66, 73, 129, 158, 168, 169, 224, 227, 246], np.float64(0.11376299954565856))","([246], np.float64(89.36948693057944))"
24,"([45, 104, 128, 154, 157, 163, 180, 191, 233, 237], np.float64(2.15256569068903))","([], np.float64(91.6068502574798))","([45, 104, 128, 154, 157, 163, 180, 191, 233, 237], np.float64(0.12718502599003823))","([], np.float64(91.15740744505098))"
25,"([0, 3, 18, 52, 92, 94, 125, 171, 188, 210], np.float64(1.9812925069251663))","([], np.float64(87.09021417812085))","([0, 3, 18, 52, 92, 94, 125, 171, 188, 210], np.float64(0.1083981161652598))","([], np.float64(86.81410203822423))"
26,"([26, 34, 38, 48, 50, 51, 53, 120, 195, 206], np.float64(0.2587282792736484))","([53, 120], np.float64(82.16759438633292))","([26, 34, 38, 48, 50, 51, 53, 120, 195, 206], np.float64(0.10935100849252631))","([26, 53, 120], np.float64(73.25571019483006))"
27,"([10, 27, 41, 67, 131, 154, 159, 170, 199, 207], np.float64(0.6633575476928959))","([], np.float64(92.01057792461884))","([10, 27, 41, 67, 131, 154, 159, 170, 199, 207], np.float64(0.23079913764166388))","([154], np.float64(84.78424024528172))"
28,"([19, 89, 121, 141, 154, 190, 196, 208, 222, 226], np.float64(0.7423470187485398))","([89, 190], np.float64(70.86583817628657))","([19, 89, 121, 141, 154, 190, 196, 208, 222, 226], np.float64(0.19214656304017455))","([89, 190, 222], np.float64(62.95812209503282))"
