run_id,harderLASSO ANN,LASSO ANN,harderLASSO linear,LASSO linear
0,"([91, 101, 162], np.float64(0.726173786679695))","([91, 101], np.float64(9.813009781986231))","([91, 101, 162], np.float64(0.04897624009655756))","([91, 101, 162], np.float64(0.050441719170238604))"
1,"([8, 75, 113], np.float64(0.19013707910097088))","([8, 75, 113], np.float64(0.05408609887597981))","([8, 75, 113], np.float64(0.025819415171523603))","([8, 75, 113], np.float64(0.02578628810357065))"
2,"([23, 78, 210], np.float64(0.19053744843331571))","([23, 78, 210], np.float64(0.06853743134827252))","([23, 78, 210], np.float64(0.03348860419125016))","([23, 78, 210], np.float64(0.03414106531292563))"
3,"([110, 173, 227], np.float64(0.5358543415802396))","([110, 173, 227], np.float64(0.07506772150216559))","([110, 173, 227], np.float64(0.01606101600892862))","([110, 173, 227], np.float64(0.014883348104543642))"
4,"([17, 70, 240], np.float64(0.16792395154033385))","([17, 70, 240], np.float64(0.06758449816900591))","([17, 70, 240, 248], np.float64(0.22176446264262162))","([17, 70, 240], np.float64(0.052732522730447484))"
5,"([143, 198, 206], np.float64(0.5331278924442123))","([143, 198, 206], np.float64(0.515867397698983))","([143, 198, 206], np.float64(0.019110897920751695))","([143, 198, 206], np.float64(0.019058247856117653))"
6,"([13, 82, 209], np.float64(0.08830694642917897))","([13, 82, 209], np.float64(0.12622117565107957))","([13, 82, 209], np.float64(0.03042737561919263))","([13, 82, 209], np.float64(0.030115254964970226))"
7,"([94, 158, 178], np.float64(0.12443581794544172))","([94], np.float64(19.583229394153967))","([94, 158, 178], np.float64(0.05401011448634053))","([94, 158, 178], np.float64(0.052100848054598956))"
8,"([67, 81, 128], np.float64(0.60532610483581))","([67, 81, 128], np.float64(0.6767403413784857))","([67, 81, 128], np.float64(0.00829389385101306))","([67, 81, 128], np.float64(0.009176168662980164))"
9,"([17, 107, 175], np.float64(0.4513643513599071))","([17, 175], np.float64(9.988195131575015))","([17, 107, 175, 198], np.float64(0.49011537747561923))","([17, 107, 175], np.float64(0.11833353136127393))"
10,"([80, 87, 233], np.float64(0.06333001272608747))","([80, 87, 233], np.float64(0.10640100783475916))","([80, 87, 223, 233], np.float64(0.20308678956601559))","([80, 87, 92, 233], np.float64(0.15950865585372603))"
11,"([8, 23, 169], np.float64(0.08610918771997643))","([8, 23, 169], np.float64(0.0860599535085528))","([8, 23, 169], np.float64(0.010759555611761574))","([8, 23, 169], np.float64(0.01008732385997488))"
12,"([63, 64, 65], np.float64(0.05204724393554688))","([65], np.float64(21.031583133100074))","([63, 64, 65], np.float64(0.025699222829849017))","([63, 64, 65], np.float64(0.026917495858832213))"
13,"([71, 90, 101], np.float64(0.11939672986554427))","([71, 90, 101], np.float64(0.04722932162332107))","([71, 90, 101], np.float64(0.013728151548688205))","([71, 90, 101], np.float64(0.014337541673926655))"
