run_id,LassoNet,XGBoost,RF
63,"([], np.float64(0.0008620513841641753))","([], np.float64(0.004671737473154187))","([np.int64(39)], np.float64(0.4742314071604019))"
64,"([], np.float64(0.0018907353497275015))","([], np.float64(2.137515459818571e-05))","([], np.float64(2.137515459818571e-05))"
65,"([], np.float64(0.00039211936633254396))","([], np.float64(7.537526964347879e-05))","([np.int64(16), np.int64(37)], np.float64(0.2548563280275437))"
66,"([], np.float64(0.0022183777231222224))","([], np.float64(1.3080032193576911e-05))","([np.int64(29)], np.float64(0.5257871312456235))"
67,"([], np.float64(0.0003387978405712394))","([], np.float64(0.0001800017253440174))","([np.int64(38), np.int64(41), np.int64(42)], np.float64(0.17526774857791094))"
68,"([], np.float64(0.000566721296592354))","([], np.float64(0.005244018414944883))","([np.int64(7), np.int64(13)], np.float64(0.20456500399858715))"
69,"([], np.float64(0.00244504265266543))","([], np.float64(0.00022501197951346026))","([np.int64(19)], np.float64(0.4550884462743591))"
70,"([], np.float64(0.01240738233772043))","([], np.float64(0.009540416495346008))","([], np.float64(0.009540416495346008))"
71,"([], np.float64(0.001181184581718675))","([], np.float64(0.003096958874551077))","([np.int64(25), np.int64(42)], np.float64(0.2153680584607734))"
72,"([], np.float64(0.0005038009673225124))","([], np.float64(0.0005864999408379055))","([np.int64(18)], np.float64(0.45087487420136757))"
73,"([], np.float64(0.0016468897513766678))","([], np.float64(0.0004656356031397844))","([np.int64(3), np.int64(20), np.int64(23)], np.float64(0.16774871931243496))"
74,"([], np.float64(0.0020195562579081727))","([], np.float64(0.0017401134817841826))","([np.int64(35)], np.float64(0.5025295335819692))"
75,"([], np.float64(0.0076133103926281365))","([], np.float64(0.004341026347658138))","([np.int64(6), np.int64(42)], np.float64(0.2417027488718348))"
76,"([], np.float64(0.0031256034629641026))","([], np.float64(0.005037090773297878))","([np.int64(3)], np.float64(0.5683522877087812))"
77,"([], np.float64(0.0003828631784914688))","([], np.float64(0.0010606023818539052))","([], np.float64(0.0010606023818539052))"
78,"([], np.float64(0.001974655127427463))","([], np.float64(0.0002821723014014062))","([np.int64(11)], np.float64(0.4451620123692023))"
79,"([], np.float64(0.00020990150858503365))","([], np.float64(1.3050925613421461e-05))","([], np.float64(1.3050925613421461e-05))"
80,"([], np.float64(1.0620320802789962e-06))","([], np.float64(0.0005959599683623486))","([], np.float64(0.0005959599683623486))"
81,"([], np.float64(0.011266892718651889))","([], np.float64(0.010604891328533286))","([np.int64(7)], np.float64(0.5098784925599135))"
82,"([], np.float64(0.0017764138345324754))","([], np.float64(0.0007346554197009179))","([np.int64(23), np.int64(32)], np.float64(0.1844650660214831))"
83,"([], np.float64(0.0002837064284202384))","([], np.float64(0.002059515234132302))","([np.int64(31)], np.float64(0.4715001238010211))"
84,"([], np.float64(0.0021091985872981334))","([], np.float64(0.002719715043735444))","([], np.float64(0.002719715043735444))"
85,"([], np.float64(9.285198956611451e-05))","([], np.float64(2.9366552609994236e-05))","([], np.float64(2.9366552609994236e-05))"
86,"([], np.float64(0.003856864450576758))","([], np.float64(0.002158117200247015))","([], np.float64(0.002158117200247015))"
87,"([], np.float64(0.0010456819687809785))","([], np.float64(1.870455107814078e-05))","([np.int64(1), np.int64(11), np.int64(34), np.int64(49)], np.float64(0.11582431710294841))"
88,"([], np.float64(0.0022595456250502776))","([], np.float64(0.0003078624371106563))","([], np.float64(0.0003078624371106563))"
89,"([], np.float64(0.00017559559335779407))","([], np.float64(0.0008631809667782116))","([], np.float64(0.0008631809667782116))"
90,"([], np.float64(0.012698408471561118))","([], np.float64(0.0027606671876065224))","([np.int64(7)], np.float64(0.4521914615310615))"
91,"([], np.float64(0.0066717002683027715))","([], np.float64(0.0067808624487812))","([], np.float64(0.0067808624487812))"
92,"([], np.float64(0.016316311146088225))","([], np.float64(0.0034010088228140357))","([np.int64(24)], np.float64(0.4793797788368687))"
93,"([], np.float64(8.051604841533e-06))","([], np.float64(3.3257798102799413e-07))","([np.int64(0), np.int64(20), np.int64(22), np.int64(24)], np.float64(0.17503605696648925))"
94,"([], np.float64(0.0007817787134865342))","([], np.float64(0.0022779492755626808))","([np.int64(2), np.int64(17), np.int64(23), np.int64(49)], np.float64(0.1561514083910969))"
95,"([], np.float64(0.0003529506814656802))","([], np.float64(1.1974291116626266e-05))","([np.int64(24), np.int64(42), np.int64(47)], np.float64(0.16019160175127395))"
96,"([], np.float64(0.011598849783446554))","([], np.float64(0.003572361250151085))","([np.int64(1), np.int64(41)], np.float64(0.21668974737426783))"
97,"([], np.float64(0.0002214902838917343))","([], np.float64(0.0005393569570769956))","([np.int64(7)], np.float64(0.4676352587991411))"
98,"([], np.float64(3.7044167138788886e-06))","([], np.float64(0.000718213211468171))","([np.int64(14), np.int64(33), np.int64(39)], np.float64(0.15483170580934943))"
99,"([], np.float64(6.873677435237369e-06))","([], np.float64(6.047235718415925e-06))","([], np.float64(6.047235718415925e-06))"
