run_id,"harderLASSO ANN - (20,)","harderLASSO ANN - (20, 10)","harderLASSO ANN - (20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(14.627220451514532))","([2, 3, 13, 15], np.float64(20.993038479960017))","([2, 3, 13, 15], np.float64(1.0934513070105598))"
2,"([10, 22, 30, 39], np.float64(23.176755074898516))","([10, 22, 30, 39], np.float64(5.450871522443794))","([10, 22, 30, 39], np.float64(13.0510917560726))"
3,"([0, 4, 5, 27], np.float64(38.23384116526907))","([0, 4, 5, 27], np.float64(0.7370348372274232))","([0, 4, 5, 27], np.float64(6.891155611191631))"
4,"([14, 34, 38, 49], np.float64(13.874543402430744))","([14, 34, 38, 49], np.float64(11.149524167038546))","([14, 34, 38, 49], np.float64(12.142423470651753))"
5,"([2, 11, 15, 36], np.float64(23.53821286465694))","([2, 11, 15, 36], np.float64(0.03347137495826294))","([2, 11, 15, 36], np.float64(5.721279650176961))"
6,"([5, 17, 41, 44], np.float64(13.61736803974842))","([5, 17, 41, 44], np.float64(0.8545394126143845))","([5, 17, 41, 44], np.float64(0.07295228635950454))"
7,"([13, 17, 29, 45], np.float64(26.133801199320807))","([13, 17, 29, 45], np.float64(0.04920005160164389))","([13, 17, 29, 45], np.float64(10.67233640140908))"
8,"([10, 19, 37, 48], np.float64(21.328135549774526))","([10, 19, 37, 48], np.float64(0.08573589682307829))","([10, 19], np.float64(56.980517203976994))"
9,"([11, 36, 38, 44], np.float64(23.314553279674154))","([11, 36, 38, 44], np.float64(0.037476650369521865))","([11, 36, 38, 44], np.float64(0.08139190741301247))"
10,"([27, 29, 41, 42], np.float64(14.176431244952354))","([27, 29, 41, 42], np.float64(11.509746497763881))","([27, 29, 41, 42], np.float64(22.468770961941914))"
11,"([19, 31, 46, 49], np.float64(13.620575608938202))","([19, 31, 46, 49], np.float64(4.866294257489707))","([19, 31, 46, 49], np.float64(0.11950920924683038))"
12,"([7, 15, 38, 43], np.float64(24.190968725706522))","([7, 15, 38, 43], np.float64(0.7729133566915891))","([7, 15, 38, 43], np.float64(7.739108830784564))"
13,"([8, 10, 31, 41], np.float64(21.612311730974))","([8, 10, 31, 41], np.float64(0.030191597061224207))","([8, 10, 31, 41], np.float64(0.023523868106669996))"
14,"([16, 21, 40, 42], np.float64(13.782578584019447))","([16, 21, 40, 42], np.float64(0.1557689318898332))","([21, 40], np.float64(42.06241775058507))"
15,"([11, 19, 21, 41], np.float64(21.384720714825733))","([11, 19, 21, 41], np.float64(4.973188363675723))","([11, 19, 21, 41], np.float64(0.07065318205610101))"
16,"([4, 9, 19, 40], np.float64(22.74443617034137))","([4, 9, 19, 40], np.float64(0.019751979377803833))","([4, 9, 19, 40], np.float64(10.833258454780163))"
17,"([8, 18, 26, 27], np.float64(25.078691386526828))","([8, 18, 26, 27], np.float64(40.962941051067915))","([8, 18, 26, 27], np.float64(0.2083506156599915))"
18,"([6, 31, 39, 48], np.float64(24.037854322206964))","([6, 31, 39, 48], np.float64(38.18106665435512))","([], np.float64(62.032714635844314))"
19,"([0, 2, 19, 32], np.float64(22.29204692315761))","([0, 2, 19, 32], np.float64(0.7121815614710637))","([], np.float64(55.48912021992034))"
20,"([4, 7, 15, 28], np.float64(23.690604674157367))","([4, 7, 15, 28], np.float64(15.122993886792806))","([4, 7, 15, 28], np.float64(0.2878284731008613))"
21,"([13, 15, 30, 41], np.float64(20.05870911807527))","([13, 15, 30, 41], np.float64(32.69759958136375))","([13, 15, 30, 41], np.float64(0.11215903379516354))"
22,"([4, 6, 11, 46], np.float64(14.299873029581233))","([4, 6, 11, 46], np.float64(0.020589497687658834))","([4, 46], np.float64(39.16806679600817))"
23,"([0, 6, 31, 42], np.float64(20.847993654599936))","([0, 6, 31, 42], np.float64(0.019296016862195002))","([0, 6, 31, 42], np.float64(14.787907913452768))"
24,"([1, 8, 14, 37], np.float64(0.03844627189122598))","([1, 8, 14, 37], np.float64(0.030770287222396903))","([1, 8, 14, 37], np.float64(0.057340651330307704))"
25,"([2, 13, 20, 26], np.float64(23.556521685339714))","([2, 13, 20, 26], np.float64(40.62720838645395))","([2, 13, 20, 26], np.float64(0.05745716356049858))"
26,"([25, 38, 47, 48], np.float64(14.691433527417857))","([25, 38, 47, 48], np.float64(39.96200124594683))","([25, 38, 47, 48], np.float64(0.06708196937536458))"
27,"([6, 9, 19, 44], np.float64(14.04650220549309))","([6, 9, 19, 44], np.float64(3.061656740400107))","([6, 9, 19, 44], np.float64(17.821538713470787))"
28,"([19, 35, 38, 44], np.float64(15.292006582884751))","([19, 35, 38, 44], np.float64(11.092562808722107))","([19, 35], np.float64(46.12686691889023))"
29,"([8, 14, 38, 41], np.float64(23.117992279029615))","([8, 14, 38, 41], np.float64(0.28575281165262384))","([8, 14, 38, 41], np.float64(0.08789357214428845))"
30,"([20, 21, 34, 35], np.float64(14.342947674371))","([20, 21, 34, 35], np.float64(0.022545981640779162))","([20, 21, 34, 35], np.float64(12.434444978733797))"
31,"([13, 26, 28, 37], np.float64(16.270481217965308))","([13, 26, 28, 37], np.float64(0.02952066015243966))","([13, 26, 28, 37], np.float64(2.123853864858529))"
32,"([8, 9, 26, 37], np.float64(23.074542791088554))","([8, 9, 26, 37], np.float64(4.302652072810078))","([8, 9, 26, 37], np.float64(1.8968780990567047))"
33,"([5, 23, 44, 45], np.float64(0.10717845130379777))","([5, 23, 44, 45], np.float64(0.5950979966185485))","([], np.float64(57.090046894991424))"
34,"([2, 11, 21, 24], np.float64(12.630430682653401))","([2, 11, 21, 24], np.float64(15.051384230405514))","([2, 11, 21, 24], np.float64(7.054309382341404))"
35,"([7, 30, 47, 49], np.float64(24.949500796447012))","([7, 30, 47, 49], np.float64(19.95622082406289))","([7, 30, 47, 49], np.float64(6.891699447031289))"
36,"([11, 17, 35, 41], np.float64(14.139125425321303))","([11, 17, 35, 41], np.float64(0.026526764065552995))","([11, 17, 35, 41], np.float64(13.777093402143917))"
37,"([4, 15, 24, 44], np.float64(14.104654960595221))","([4, 15, 24, 44], np.float64(22.531214484262694))","([], np.float64(51.93201823444052))"
