run_id,"harderLASSO ANN - (20,)","harderLASSO ANN - (20, 10)","harderLASSO ANN - (20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(21.654734259506935))","([2, 3, 13, 15], np.float64(12.087861091311206))","([], np.float64(60.23835609320263))"
2,"([10, 22, 30, 39], np.float64(15.368548583307405))","([10, 22, 30, 39], np.float64(21.926123926001445))","([30], np.float64(60.741538990842976))"
3,"([0, 4, 5, 27], np.float64(21.892965672521417))","([0, 4, 5, 27], np.float64(9.414958730456554))","([0, 4, 5, 27], np.float64(11.274566735203248))"
4,"([14, 34, 38, 49], np.float64(22.260653195112194))","([34, 38], np.float64(48.67018321351899))","([14, 34, 38, 49], np.float64(9.570790714587192))"
5,"([2, 11, 15, 36], np.float64(14.513079126278349))","([2, 11, 15, 36], np.float64(19.207092597761694))","([2, 11, 15], np.float64(39.93458276925835))"
6,"([5, 17, 41, 44], np.float64(21.062597486968915))","([5, 17, 41, 44], np.float64(0.08615947048216924))","([], np.float64(58.98497193351008))"
7,"([13, 17, 29, 45], np.float64(26.33893154795953))","([13, 17, 29, 45], np.float64(18.44019394415249))","([13, 17, 29, 45], np.float64(22.05981205308771))"
8,"([10, 19, 37, 48], np.float64(22.5250011470076))","([10, 19, 37, 48], np.float64(16.49217680867091))","([10, 19, 37, 48], np.float64(0.6801276747712593))"
9,"([11, 36, 38, 44], np.float64(20.712035355890876))","([11, 36, 38, 44], np.float64(1.5185894431495233))","([38, 44], np.float64(44.43707393403021))"
10,"([27, 29, 41, 42], np.float64(22.701174186051926))","([27, 29, 41, 42], np.float64(9.608131147968393))","([27, 29, 41, 42], np.float64(14.809021907785471))"
11,"([19, 31, 46, 49], np.float64(13.442244511600947))","([19, 31, 46, 49], np.float64(11.25114617160404))","([], np.float64(53.13420548818789))"
12,"([7, 15, 38, 43], np.float64(23.39062583561254))","([7, 15, 38, 43], np.float64(19.0040943460926))","([7, 15, 38, 43], np.float64(5.839119396613227))"
13,"([8, 10, 31, 41], np.float64(12.645733324733584))","([8, 10, 31, 41], np.float64(4.8950236077829725))","([], np.float64(58.26122993674793))"
14,"([16, 21, 40, 42], np.float64(21.86952993107608))","([16, 21, 40, 42], np.float64(11.615298793314865))","([21, 40], np.float64(41.95986752984141))"
15,"([11, 19, 21, 41], np.float64(14.273872194106191))","([11, 19, 21, 41], np.float64(10.882555811258637))","([], np.float64(59.281958685993104))"
16,"([4, 9, 19, 40], np.float64(22.730479252880357))","([4, 9, 19, 40], np.float64(16.70121408243152))","([], np.float64(54.5978836445144))"
17,"([8, 18, 26, 27], np.float64(15.487544499310413))","([8, 18, 26, 27], np.float64(17.988563629249093))","([18], np.float64(65.94179533162067))"
18,"([6, 31, 39, 48], np.float64(13.803092564053129))","([6, 31, 39, 48], np.float64(38.28906460062731))","([6, 31, 39, 48], np.float64(0.052457273590926064))"
19,"([0, 2, 19, 32], np.float64(22.466165562201617))","([0, 2, 19, 32], np.float64(10.97680508228213))","([0, 2, 19, 32], np.float64(14.654633249190967))"
20,"([4, 7, 15, 28], np.float64(23.73836636660316))","([4, 7, 15, 28], np.float64(38.007142413636224))","([4, 7, 15, 28], np.float64(18.203562462025275))"
21,"([13, 15, 30, 41], np.float64(19.97538148138221))","([], np.float64(53.143798260476935))","([13, 15, 30, 41], np.float64(17.748142747254562))"
22,"([4, 6, 11, 46], np.float64(14.535271475596213))","([4, 6, 11, 46], np.float64(17.759099176601566))","([6, 11], np.float64(46.944911218558815))"
