run_id,"harderLASSO ANN - (20,)","harderLASSO ANN - (20, 10)","harderLASSO ANN - (20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(21.727035728355556))","([2, 3, 13, 15], np.float64(0.07729108441758438))","([3, 15], np.float64(50.85084420254003))"
2,"([10, 22, 30, 39], np.float64(15.55434297608169))","([10, 22, 30, 39], np.float64(0.01957735014119681))","([10, 22, 30, 39], np.float64(0.039558969555925715))"
3,"([0, 4, 5, 27], np.float64(15.129423591239046))","([0, 4, 5, 27], np.float64(11.022981606759226))","([0, 4, 5, 27], np.float64(21.912532926052926))"
4,"([14, 34, 38, 49], np.float64(22.465964926920854))","([14, 34, 38, 49], np.float64(0.02949376971134533))","([14, 34, 38, 49], np.float64(11.48833933741967))"
5,"([2, 11, 15, 36], np.float64(23.459574774490974))","([2, 11, 15, 36], np.float64(6.149960580497252))","([2, 11, 15, 36], np.float64(23.59166617650962))"
6,"([5, 17, 41, 44], np.float64(0.019421991476493376))","([5, 17, 41, 44], np.float64(3.311055771978826))","([5, 17, 41, 44], np.float64(0.034707140415122024))"
7,"([13, 17, 29, 45], np.float64(17.85566774477014))","([13, 17, 29, 45], np.float64(0.030466974946112203))","([13, 17, 29, 45], np.float64(0.13991899681888764))"
8,"([10, 19, 37, 48], np.float64(22.532311039401073))","([10, 19, 37, 48], np.float64(0.017669013633994746))","([10, 19, 37, 48], np.float64(17.017491322014482))"
9,"([11, 36, 38, 44], np.float64(15.234844886579186))","([11, 36, 38, 44], np.float64(0.034495221934637034))","([11, 36, 38, 44], np.float64(10.978142195725198))"
10,"([27, 29, 41, 42], np.float64(22.649447691804788))","([27, 29, 41, 42], np.float64(35.73169023318965))","([27, 29, 41, 42], np.float64(13.326166183065297))"
11,"([19, 31, 46, 49], np.float64(21.071379365541492))","([19, 31, 46, 49], np.float64(0.029784597269934626))","([19, 31, 46, 49], np.float64(14.900924139506605))"
12,"([7, 15, 38, 43], np.float64(22.87771232403697))","([7, 15, 38, 43], np.float64(0.023787156458213242))","([7, 43], np.float64(44.259118920644866))"
13,"([8, 10, 31, 41], np.float64(21.652371935031304))","([8, 10, 31, 41], np.float64(0.057279806271108395))","([], np.float64(58.27460097892496))"
14,"([16, 21, 40, 42], np.float64(22.273874916506223))","([16, 21, 40, 42], np.float64(6.005674219170956))","([16, 21, 40, 42], np.float64(10.088276690443816))"
15,"([11, 19, 21, 41], np.float64(38.66731123472059))","([11, 19, 21, 41], np.float64(1.642866515563283))","([11, 21], np.float64(52.63389496094083))"
16,"([4, 9, 19, 40], np.float64(22.765504169078614))","([4, 9, 19, 40], np.float64(0.02328719269486036))","([19, 40], np.float64(49.222733317501536))"
17,"([8, 18, 26, 27], np.float64(1.5923871186710181))","([8, 18, 26, 27], np.float64(0.846718708704482))","([8, 18, 26, 27], np.float64(13.407201874110132))"
18,"([6, 31, 39, 48], np.float64(13.696866571323342))","([6, 31, 39, 48], np.float64(0.02233113321711208))","([6, 31, 39, 48], np.float64(0.043587756820016484))"
19,"([0, 2, 19, 32], np.float64(22.67406500044022))","([0, 2, 19, 32], np.float64(0.03516577582059701))","([0, 2, 19, 32], np.float64(0.03390375680747529))"
20,"([4, 7, 15, 28], np.float64(23.506812288951927))","([4, 7, 15, 28], np.float64(38.80343745304634))","([4, 7, 15, 28], np.float64(4.30200175653984))"
21,"([13, 15, 30, 41], np.float64(20.054613585647342))","([13, 15, 30, 41], np.float64(0.03030496577507972))","([13, 15, 30, 41], np.float64(5.284127841208776))"
22,"([4, 6, 11, 46], np.float64(22.13482283706138))","([4, 6, 11, 46], np.float64(0.032637531930215374))","([4, 6, 11, 46], np.float64(1.0669440953998917))"
23,"([0, 6, 31, 42], np.float64(12.998722589476431))","([0, 6, 31, 42], np.float64(0.031144359889357383))","([0, 6, 31, 42], np.float64(13.306976450804626))"
24,"([1, 8, 14, 37], np.float64(0.38023998373646384))","([1, 8, 14, 37], np.float64(0.02280139912408933))","([1, 8, 14, 37], np.float64(4.037782011726823))"
25,"([2, 13, 20, 26], np.float64(23.231723824154916))","([2, 13, 20, 26], np.float64(18.05282571129573))","([2, 13, 20, 26], np.float64(0.3216878592270697))"
26,"([25, 38, 47, 48], np.float64(0.12014145046401664))","([25, 38, 47, 48], np.float64(0.2798520442444309))","([25, 38, 47, 48], np.float64(4.307670051443587))"
27,"([6, 9, 19, 44], np.float64(23.094121778182423))","([6, 9, 19, 44], np.float64(0.024558293792273034))","([9, 44], np.float64(39.00739864927722))"
28,"([19, 35, 38, 44], np.float64(15.011930067215866))","([19, 35, 38, 44], np.float64(5.60784771060996))","([19, 35, 38, 44], np.float64(0.061490902382266004))"
29,"([8, 14, 38, 41], np.float64(23.43482487173959))","([8, 14, 38, 41], np.float64(2.2468845585472033))","([35], np.float64(57.06269755244019))"
30,"([20, 21, 34, 35], np.float64(14.13607713685846))","([20, 21, 34, 35], np.float64(1.7233634371124786))","([20, 21, 34, 35], np.float64(11.658381948285424))"
31,"([13, 26, 28, 37], np.float64(24.743555670213))","([13, 26, 28, 37], np.float64(2.590233804428668))","([13, 26, 28, 37], np.float64(0.10813637882168156))"
32,"([8, 9, 26, 37], np.float64(42.87393637861512))","([8, 9, 26, 37], np.float64(0.02644824345605006))","([8, 9, 26, 37], np.float64(12.600694936534008))"
33,"([5, 23, 44, 45], np.float64(0.3782803139926545))","([5, 23, 44, 45], np.float64(0.028952766704683264))","([5, 23, 44, 45], np.float64(12.31830267322528))"
34,"([2, 11, 21, 24], np.float64(20.17499228592522))","([2, 11, 21, 24], np.float64(6.029595061682216))","([2, 11, 21, 24], np.float64(8.446959162683466))"
35,"([7, 30, 47, 49], np.float64(16.12055685059682))","([7, 30, 47, 49], np.float64(0.04262544245101291))","([7, 30, 47, 49], np.float64(14.437711372326365))"
36,"([11, 17, 35, 41], np.float64(14.80116803907347))","([11, 17, 35, 41], np.float64(17.407208129646516))","([11, 17, 35, 41], np.float64(10.128199110334474))"
37,"([4, 15, 24, 44], np.float64(20.146869113633183))","([4, 15, 24, 44], np.float64(0.026633471839693768))","([4, 15, 24, 44], np.float64(16.225060371900533))"
38,"([20, 25, 26, 28], np.float64(14.443301107221997))","([20, 25, 26, 28], np.float64(0.032395342880358724))","([20, 25, 26, 28], np.float64(12.036368319998635))"
39,"([5, 21, 25, 43], np.float64(20.63236403669476))","([5, 21, 25, 43], np.float64(0.051455342636446175))","([5, 21, 25, 43], np.float64(0.13350108829386606))"
40,"([29, 33, 35, 44], np.float64(0.07714972374354807))","([29, 33, 35, 44], np.float64(0.030930991623131496))","([29, 33, 35, 44], np.float64(10.849998133645222))"
41,"([3, 6, 11, 14], np.float64(14.636976314659478))","([3, 6, 11, 14], np.float64(15.796208829212349))","([], np.float64(58.54231652034989))"
42,"([6, 15, 43, 49], np.float64(21.801264538627315))","([6, 15, 43, 49], np.float64(10.934040241284771))","([6, 15, 43, 49], np.float64(0.03442913836035519))"
43,"([24, 30, 35, 45], np.float64(23.946012308834174))","([24, 30, 35, 45], np.float64(0.03147974555346112))","([24, 30, 35, 45], np.float64(0.7550622161804355))"
44,"([16, 22, 38, 46], np.float64(22.24876745956288))","([16, 22, 38, 46], np.float64(0.0206675135733676))","([16, 22, 38, 46], np.float64(13.089663900614804))"
45,"([8, 19, 26, 45], np.float64(23.309313493828654))","([8, 19, 26, 45], np.float64(6.223299254831821))","([8, 19, 26, 45], np.float64(14.583265210047333))"
46,"([0, 10, 15, 16], np.float64(22.562901086709907))","([0, 10, 15, 16], np.float64(0.21980303545944707))","([0, 10, 15, 16], np.float64(7.300990670067371))"
47,"([1, 10, 13, 48], np.float64(22.802640719053464))","([1, 10, 13, 48], np.float64(13.691457416169293))","([1, 10, 13, 48], np.float64(9.862229348888349))"
48,"([0, 20, 24, 42], np.float64(21.457642993012556))","([0, 20, 24, 42], np.float64(0.019478957711997865))","([0, 20, 24, 42], np.float64(12.869263966874156))"
49,"([0, 21, 26, 30], np.float64(23.023254822343695))","([0, 21, 26, 30], np.float64(1.02857358254671))","([0, 21, 26, 30], np.float64(10.621840044280649))"
