run_id,"harderLASSO ANN - (20,)","harderLASSO ANN - (20, 10)","harderLASSO ANN - (20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(21.58383209454312))","([2, 3, 13, 15], np.float64(0.030182223217253338))","([], np.float64(60.190628055336795))"
2,"([10, 22, 30, 39], np.float64(23.09598400878482))","([10, 22, 30, 39], np.float64(9.956255328105543))","([], np.float64(64.28970766127071))"
3,"([0, 4, 5, 27], np.float64(21.74729829923885))","([0, 4, 5, 27], np.float64(0.028266715419827046))","([], np.float64(54.42406946370288))"
4,"([14, 34, 38, 49], np.float64(22.553146627105296))","([14, 34, 38, 49], np.float64(14.011562320037166))","([14, 34, 38, 49], np.float64(8.404690001843559))"
5,"([2, 11, 15, 36], np.float64(23.632459398892685))","([2, 11, 15, 36], np.float64(17.354769689055455))","([], np.float64(57.96514662593621))"
6,"([5, 17, 41, 44], np.float64(20.88355962782738))","([5, 17, 41, 44], np.float64(0.04543484440456985))","([], np.float64(58.984153771679935))"
7,"([13, 17, 29, 45], np.float64(26.45213365086026))","([13, 17, 29, 45], np.float64(13.592406275330903))","([13, 17, 29, 45], np.float64(22.930006040345347))"
8,"([10, 19, 37, 48], np.float64(22.020321255011584))","([10, 19, 37, 48], np.float64(0.20347548844289978))","([10, 19, 37, 48], np.float64(14.120719131875102))"
9,"([11, 36, 38, 44], np.float64(23.367534163735375))","([11, 36, 38, 44], np.float64(0.15981388404890529))","([], np.float64(52.43538350529861))"
10,"([27, 29, 41, 42], np.float64(22.679694426143477))","([27, 29, 41, 42], np.float64(22.72250736953495))","([27, 29, 41, 42], np.float64(11.495611882146042))"
11,"([19, 31, 46, 49], np.float64(21.07070799672573))","([19, 31, 46, 49], np.float64(0.03923746343223871))","([], np.float64(53.1166921627489))"
12,"([7, 15, 38, 43], np.float64(15.950681469360138))","([7, 15, 38, 43], np.float64(0.1585891342462292))","([7, 15, 38, 43], np.float64(15.83671402568082))"
13,"([8, 10, 31, 41], np.float64(12.65191579467579))","([8, 10, 31, 41], np.float64(0.13039702269936215))","([], np.float64(58.267314221675434))"
14,"([16, 21, 40, 42], np.float64(22.17001295696781))","([16, 21, 40, 42], np.float64(16.777243789850917))","([16, 21, 40, 42], np.float64(13.946029566705514))"
15,"([11, 19, 21, 41], np.float64(21.95844415144033))","([11, 19, 21, 41], np.float64(0.2915504188615307))","([], np.float64(59.247512945084054))"
16,"([4, 9, 19, 40], np.float64(22.531259438017926))","([4, 9, 19, 40], np.float64(7.308718896193039))","([], np.float64(54.573775278352876))"
17,"([8, 18, 26, 27], np.float64(25.05933046048551))","([8, 18, 26, 27], np.float64(0.04574582163967089))","([], np.float64(67.53785807996779))"
18,"([6, 31, 39, 48], np.float64(24.50120985660435))","([6, 31, 39, 48], np.float64(0.6853007389617259))","([6, 31, 39, 48], np.float64(12.76735248485241))"
19,"([0, 2, 19, 32], np.float64(21.959382559748253))","([0, 2, 19, 32], np.float64(0.2391413613156541))","([0, 2], np.float64(38.3011616610632))"
20,"([4, 7, 15, 28], np.float64(23.689665979150398))","([4, 7, 15, 28], np.float64(2.7039438511660183))","([4, 7, 15, 28], np.float64(0.34560869957387297))"
21,"([13, 15, 30, 41], np.float64(19.810960024187647))","([13, 15, 30, 41], np.float64(5.960559613659764))","([13, 15, 30, 41], np.float64(12.964331597079804))"
22,"([4, 6, 11, 46], np.float64(13.883084993175146))","([4, 6, 11, 46], np.float64(0.13165218452571698))","([4, 6, 11, 46], np.float64(13.633126444726662))"
23,"([0, 6, 31, 42], np.float64(20.98992595449848))","([], np.float64(55.51460047953511))","([], np.float64(55.51563618422915))"
24,"([1, 8, 14, 37], np.float64(22.457706433173872))","([1, 8, 14, 37], np.float64(36.88073467018402))","([], np.float64(57.949538790985464))"
25,"([2, 13, 20, 26], np.float64(23.360777541482495))","([2, 13, 20, 26], np.float64(0.08325756679554212))","([2, 13, 20, 26], np.float64(13.96844542431096))"
26,"([25, 38, 47, 48], np.float64(22.088482472020456))","([25, 38, 47, 48], np.float64(2.040789843090582))","([25, 38, 47, 48], np.float64(18.70829249933378))"
27,"([6, 9, 19, 44], np.float64(15.107250505488311))","([6, 9, 19, 44], np.float64(13.4973400487868))","([], np.float64(52.52886951108736))"
28,"([19, 35, 38, 44], np.float64(15.055943953918552))","([19, 35, 38, 44], np.float64(0.1969657765114882))","([44], np.float64(54.58823543395595))"
29,"([8, 14, 38, 41], np.float64(23.451258164370525))","([8, 14, 38, 41], np.float64(0.03250351200331099))","([], np.float64(56.709197977958596))"
30,"([20, 21, 34, 35], np.float64(21.58986266225175))","([20, 21, 34, 35], np.float64(4.372320276457882))","([], np.float64(54.79137239791296))"
31,"([13, 26, 28, 37], np.float64(24.98731025067978))","([], np.float64(65.74235311429848))","([], np.float64(65.72775751910315))"
32,"([8, 9, 26, 37], np.float64(14.039986844287675))","([8, 9, 26, 37], np.float64(8.221915220506034))","([8, 9, 26, 37], np.float64(1.1324781896288487))"
33,"([5, 23, 44, 45], np.float64(15.443222854546297))","([5, 23, 44, 45], np.float64(0.052453026511333795))","([5, 23, 44, 45], np.float64(6.515527439306867))"
34,"([2, 11, 21, 24], np.float64(20.37879593231203))","([2, 11, 21, 24], np.float64(11.028785563450883))","([2, 11, 21, 24], np.float64(10.529817534575454))"
35,"([7, 30, 47, 49], np.float64(24.94712880345812))","([7, 30, 47, 49], np.float64(0.07539386456527887))","([], np.float64(61.27978430375192))"
36,"([11, 17, 35, 41], np.float64(22.325493058596862))","([11, 17, 35, 41], np.float64(12.276801245804362))","([11, 17, 35, 41], np.float64(5.362405166422655))"
37,"([4, 15, 24, 44], np.float64(22.615104956291127))","([4, 15, 24, 44], np.float64(0.13630807902200268))","([], np.float64(51.94267745675439))"
38,"([20, 25, 26, 28], np.float64(22.434389882775278))","([20, 25, 26, 28], np.float64(37.09576807423096))","([], np.float64(58.081666242038004))"
39,"([5, 21, 25, 43], np.float64(13.210309164373985))","([5, 21, 25, 43], np.float64(8.970514093173005))","([21, 25], np.float64(44.448134701838484))"
40,"([29, 33, 35, 44], np.float64(22.4947603335991))","([29, 33, 35, 44], np.float64(0.04670533117622583))","([29, 33, 35, 44], np.float64(0.4765011313342951))"
41,"([3, 6, 11, 14], np.float64(14.807681600110424))","([6, 11], np.float64(45.736647559962535))","([3, 6, 11, 14], np.float64(0.0522633849930408))"
42,"([6, 15, 43, 49], np.float64(14.355619425794243))","([6, 15, 43, 49], np.float64(1.6325745571721555))","([6, 15, 43, 49], np.float64(16.71738084478328))"
43,"([24, 30, 35, 45], np.float64(23.904687291131477))","([24, 30, 35, 45], np.float64(16.768372921255775))","([], np.float64(55.37482746303969))"
44,"([16, 22, 38, 46], np.float64(22.002453315252612))","([16, 22, 38, 46], np.float64(16.974200525091252))","([16, 22, 38, 46], np.float64(12.379845850176604))"
45,"([8, 19, 26, 45], np.float64(14.614189919099841))","([8, 19, 26, 45], np.float64(0.35156027638527837))","([], np.float64(61.300095252416256))"
46,"([0, 10, 15, 16], np.float64(22.577831563717588))","([0, 10, 15, 16], np.float64(17.382717411568954))","([0, 10, 15, 16], np.float64(8.155640260364365))"
47,"([1, 10, 13, 48], np.float64(22.56023115353883))","([1, 10, 13, 48], np.float64(0.1077613277704029))","([48], np.float64(55.57710584229919))"
48,"([0, 20, 24, 42], np.float64(41.44716035981699))","([], np.float64(62.26309810828981))","([], np.float64(62.26250804671604))"
49,"([0, 21, 26, 30], np.float64(23.06197102659029))","([0, 21, 26, 30], np.float64(37.21910041516019))","([], np.float64(55.279933954146586))"
