run_id,"harderLASSO ANN - (20,)","harderLASSO ANN - (20, 10)","harderLASSO ANN - (20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(13.404517608162813))","([2, 3, 13, 15], np.float64(21.69880058908315))","([2, 3, 13, 15], np.float64(19.44966592988521))"
2,"([10, 22, 30, 39], np.float64(14.408669508239186))","([10, 22, 30, 39], np.float64(1.9067153043061935))","([10, 22, 30, 39], np.float64(0.15566222152364514))"
3,"([0, 4, 5, 27], np.float64(12.661071655844598))","([0, 4, 5, 27], np.float64(0.06637752616497283))","([0, 4, 5, 27], np.float64(0.053381678877975895))"
4,"([14, 34, 38, 49], np.float64(13.702820442286328))","([14, 34, 38, 49], np.float64(0.026393770852204148))","([14, 49], np.float64(39.03621632763765))"
5,"([2, 11, 15, 36], np.float64(14.459684958184882))","([], np.float64(57.92622318861439))","([2, 11, 15, 36], np.float64(25.03063118822008))"
6,"([5, 17, 41, 44], np.float64(21.012048138882363))","([5, 17, 41, 44], np.float64(6.765439538666441))","([5, 17, 41, 44], np.float64(0.07225956994830107))"
7,"([13, 17, 29, 45], np.float64(17.380383770774493))","([13, 17, 29, 45], np.float64(0.021536801361864987))","([], np.float64(62.30399421016322))"
8,"([10, 19, 37, 48], np.float64(22.030895672456968))","([10, 19, 37, 48], np.float64(7.57298661895999))","([48], np.float64(58.66268018139534))"
9,"([11, 36, 38, 44], np.float64(15.383129851008103))","([11, 36, 38, 44], np.float64(34.55134628368418))","([11, 36, 38, 44], np.float64(0.038649433227894145))"
10,"([27, 29, 41, 42], np.float64(22.61551811144623))","([27, 29, 41, 42], np.float64(0.024242188067364202))","([27, 29, 41, 42], np.float64(0.22639894662419618))"
11,"([19, 31, 46, 49], np.float64(20.553097772176887))","([19, 31, 46, 49], np.float64(0.02108697371139285))","([19, 31, 46, 49], np.float64(11.617536664687519))"
12,"([7, 15, 38, 43], np.float64(24.09236701603752))","([7, 15, 38, 43], np.float64(0.019059179839108927))","([7, 15, 38, 43], np.float64(0.055006481045233854))"
13,"([8, 10, 31, 41], np.float64(0.14037889444259286))","([8, 10, 31, 41], np.float64(0.032315869314178784))","([8, 10, 31, 41], np.float64(6.778329142624165))"
14,"([16, 21, 40, 42], np.float64(22.305486203249774))","([16, 21, 40, 42], np.float64(0.033723503478443134))","([16, 21, 40, 42], np.float64(20.887449520010524))"
15,"([11, 19, 21, 41], np.float64(21.046527384502223))","([11, 19, 21, 41], np.float64(0.14811776888765912))","([11, 19, 21, 41], np.float64(0.020412123970568616))"
16,"([4, 9, 19, 40], np.float64(22.635296341190504))","([4, 9], np.float64(49.20135254824952))","([19, 40], np.float64(42.18066720447429))"
17,"([8, 18, 26, 27], np.float64(25.137797910748244))","([8, 18, 26, 27], np.float64(0.023960684358250838))","([8, 18, 26, 27], np.float64(17.351225585590633))"
18,"([6, 31, 39, 48], np.float64(23.91219438904923))","([6, 31, 39, 48], np.float64(0.0519110987351992))","([], np.float64(62.03130888274807))"
19,"([0, 2, 19, 32], np.float64(16.443717838160776))","([0, 2, 19, 32], np.float64(4.104760551699614))","([0, 2, 19, 32], np.float64(11.434275998584866))"
20,"([4, 7, 15, 28], np.float64(15.09712748770511))","([4, 7, 15, 28], np.float64(0.027588186706842977))","([4, 7, 15, 28], np.float64(0.04328095395694708))"
21,"([13, 15, 30, 41], np.float64(20.0509050758765))","([13, 15, 30, 41], np.float64(0.019553994062825247))","([13, 15, 30, 41], np.float64(0.12552992529237242))"
22,"([4, 6, 11, 46], np.float64(13.724933009885794))","([4, 6, 11, 46], np.float64(0.025153220019299673))","([4, 6, 11, 46], np.float64(0.05386202392812132))"
23,"([0, 6, 31, 42], np.float64(20.972456567852397))","([0, 6, 31, 42], np.float64(0.014601186960589527))","([0, 6, 31, 42], np.float64(0.03957376763625406))"
24,"([1, 8, 14, 37], np.float64(0.026122539702528775))","([1, 8, 14, 37], np.float64(0.027428536079151928))","([], np.float64(57.943175347305846))"
25,"([2, 13, 20, 26], np.float64(14.96383235182954))","([2, 13, 20, 26], np.float64(0.024018989794215604))","([2, 13, 20, 26], np.float64(0.07808080327043913))"
26,"([25, 38, 47, 48], np.float64(13.509751366708752))","([25, 38, 47, 48], np.float64(40.00287033670278))","([25, 48], np.float64(45.56635565031473))"
27,"([6, 9, 19, 44], np.float64(14.361100281624934))","([6, 9, 19, 44], np.float64(0.01800354927545456))","([6, 9, 19, 44], np.float64(1.202017696440786))"
28,"([19, 35, 38, 44], np.float64(22.68806583148998))","([19, 35, 38, 44], np.float64(0.024466122131238655))","([19, 35, 38, 44], np.float64(0.9513470361444981))"
29,"([8, 14, 38, 41], np.float64(15.200479817403274))","([8, 14, 38, 41], np.float64(0.025936227486371897))","([8, 14, 38, 41], np.float64(36.729244683799415))"
30,"([20, 21, 34, 35], np.float64(21.52893285844372))","([20, 21, 34, 35], np.float64(15.700968125123907))","([20, 21, 34, 35], np.float64(0.0465843019004781))"
31,"([13, 26, 28, 37], np.float64(24.740032590576973))","([13, 26, 28, 37], np.float64(0.02179155940601488))","([], np.float64(65.93660833316686))"
32,"([8, 9, 26, 37], np.float64(14.917096529282434))","([8, 9, 26, 37], np.float64(0.020608592493780113))","([8, 9, 26, 37], np.float64(7.87561233156586))"
33,"([5, 23, 44, 45], np.float64(0.11889425785691603))","([5, 23, 44, 45], np.float64(0.02707233889323538))","([5, 23, 44, 45], np.float64(37.35418198111188))"
34,"([2, 11, 21, 24], np.float64(20.061632830468255))","([2, 11, 21, 24], np.float64(0.019196958692583258))","([2, 11, 21, 24], np.float64(32.20492160671327))"
35,"([7, 30, 47, 49], np.float64(15.484381925000752))","([7, 30, 47, 49], np.float64(0.026724215058332734))","([7, 30, 47, 49], np.float64(0.03720575181575225))"
36,"([11, 17, 35, 41], np.float64(14.717579161178215))","([11, 17, 35, 41], np.float64(0.025273404661783454))","([], np.float64(52.977945139392176))"
37,"([4, 15, 24, 44], np.float64(22.81921685343556))","([4, 15, 24, 44], np.float64(22.81011910948001))","([4, 15, 24, 44], np.float64(0.056041116377677606))"
38,"([20, 25, 26, 28], np.float64(22.253526651597813))","([20, 25, 26, 28], np.float64(0.014861020840624985))","([20, 25, 26, 28], np.float64(4.21670296929424))"
39,"([5, 21, 25, 43], np.float64(13.85005316037748))","([5, 21, 25, 43], np.float64(0.020690541582679543))","([], np.float64(60.88276326714069))"
40,"([29, 33, 35, 44], np.float64(13.987739654401878))","([29, 33, 35, 44], np.float64(11.148934951567824))","([29, 33, 35, 44], np.float64(2.8045635585766484))"
41,"([3, 6, 11, 14], np.float64(14.801022608260933))","([3, 6, 11, 14], np.float64(6.4905243817757485))","([3, 6, 11, 14], np.float64(0.06396545877430962))"
42,"([6, 15, 43, 49], np.float64(13.261822849247169))","([6, 15, 43, 49], np.float64(0.01924727201346601))","([6, 15, 43, 49], np.float64(8.807360068828213))"
43,"([24, 30, 35, 45], np.float64(14.948371765144476))","([24, 30, 35, 45], np.float64(0.029051957481908402))","([24, 30, 35, 45], np.float64(7.219992578167604))"
44,"([16, 22, 38, 46], np.float64(22.164969183084395))","([16, 22, 38, 46], np.float64(7.4996129049176234))","([16, 22, 38, 46], np.float64(9.93435093957224))"
45,"([8, 19, 26, 45], np.float64(23.516327273234353))","([8, 19, 26, 45], np.float64(0.061039867953706375))","([8, 19, 26, 45], np.float64(7.075733802593914))"
46,"([0, 10, 15, 16], np.float64(39.62646287824377))","([0, 10, 15, 16], np.float64(15.190132928162058))","([], np.float64(59.738577883647125))"
47,"([1, 10, 13, 48], np.float64(22.522622726761313))","([10, 48], np.float64(52.12433641889012))","([1, 10, 13, 48], np.float64(0.058254094184325325))"
48,"([0, 20, 24, 42], np.float64(20.444060227347794))","([0, 20, 24, 42], np.float64(0.03186739643012371))","([0, 20, 24, 42], np.float64(0.04610587452200062))"
49,"([0, 21, 26, 30], np.float64(21.057989547049814))","([0, 21, 26, 30], np.float64(0.0293023197942614))","([0, 21, 26, 30], np.float64(19.01613655005471))"
