run_id,"harderLASSO ANN - (20,)","harderLASSO ANN - (20, 10)","harderLASSO ANN - (20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(22.04229300275155))","([2, 3, 13, 15], np.float64(0.04772607747022408))","([], np.float64(60.13313837083388))"
2,"([10, 22, 30, 39], np.float64(23.43279931002893))","([10, 22, 30, 39], np.float64(39.89047324132165))","([], np.float64(64.2042185461059))"
3,"([0, 4, 5, 27], np.float64(22.044573901289912))","([], np.float64(54.41476599761282))","([], np.float64(54.411060661549506))"
4,"([14, 34, 38, 49], np.float64(22.694095778944707))","([14, 34, 38, 49], np.float64(33.31804279105635))","([], np.float64(53.9878816212675))"
5,"([2, 11, 15, 36], np.float64(23.64995280926346))","([2, 15], np.float64(43.796906906494975))","([], np.float64(57.94086922094825))"
6,"([5, 17, 41, 44], np.float64(21.032561660967833))","([17, 41], np.float64(53.4835075535916))","([], np.float64(59.0215095630326))"
7,"([13, 17, 29, 45], np.float64(46.719984317739375))","([13, 17, 29, 45], np.float64(41.42594925343455))","([], np.float64(62.301598206126144))"
8,"([10, 19, 37, 48], np.float64(22.28817212388966))","([], np.float64(62.354164782232715))","([], np.float64(62.35659676086187))"
9,"([11, 36, 38, 44], np.float64(23.84064679981152))","([38, 44], np.float64(44.66235787293776))","([], np.float64(52.496074523941104))"
10,"([27, 29, 41, 42], np.float64(22.79431988684489))","([27], np.float64(52.651344236417756))","([], np.float64(55.57115032528038))"
11,"([19, 31, 46, 49], np.float64(21.22965997723707))","([19, 31, 46, 49], np.float64(10.769396604049625))","([], np.float64(53.15749638758881))"
12,"([7, 15, 38, 43], np.float64(24.05408599043351))","([7, 15, 38, 43], np.float64(40.760515090235785))","([], np.float64(59.57953918066435))"
13,"([8, 10, 31, 41], np.float64(21.761903663832992))","([], np.float64(58.28502251008246))","([], np.float64(58.28394149768913))"
14,"([16, 21, 40, 42], np.float64(22.26585773304563))","([16, 21, 40, 42], np.float64(13.265219432668735))","([21, 40], np.float64(42.09459354737937))"
15,"([11, 19, 21, 41], np.float64(38.89369640208269))","([], np.float64(59.38081234442316))","([], np.float64(59.370724947710286))"
16,"([4, 9, 19, 40], np.float64(40.92010143186492))","([], np.float64(54.693034370659305))","([], np.float64(54.68712990827008))"
17,"([8, 18, 26, 27], np.float64(25.466335549780855))","([8, 18, 26, 27], np.float64(20.50081759361728))","([], np.float64(67.6086526996167))"
18,"([6, 31, 39, 48], np.float64(24.638740076168826))","([6, 31], np.float64(51.596210794111464))","([], np.float64(62.032298351818746))"
19,"([0, 2, 19, 32], np.float64(22.382282631858406))","([0, 2], np.float64(39.37421465119872))","([], np.float64(55.61738392112956))"
20,"([4, 7, 15, 28], np.float64(23.314960287226437))","([4, 7, 15, 28], np.float64(37.679821678987466))","([], np.float64(59.8425527557831))"
21,"([13, 15, 30, 41], np.float64(20.391217283702346))","([13, 15, 30, 41], np.float64(18.586361182434192))","([], np.float64(53.14965146216089))"
22,"([4, 6, 11, 46], np.float64(23.07950353474397))","([4, 6, 11, 46], np.float64(0.14321255250800255))","([], np.float64(54.50533575861658))"
23,"([0, 6, 31, 42], np.float64(21.629541275120683))","([6, 42], np.float64(44.29162387902835))","([], np.float64(55.515666220275484))"
24,"([1, 8, 14, 37], np.float64(22.335658502382138))","([], np.float64(57.97503472063082))","([], np.float64(57.966940962336395))"
