run_id,harderLASSO ANN,LASSO ANN,baseline error
23,"([4, 8, 13, 19, 30, 31, 33], 0.9296435272045028)","([4, 8, 13, 19, 30, 31, 33], 0.9540337711069419)",0.5262664165103189
24,"([4, 8, 13, 19, 30, 31, 33], 0.9380281690140845)","([4, 8, 13, 19, 30, 31, 33], 0.9615023474178404)",0.532394366197183
25,"([4, 8, 19, 30, 31, 33], 0.9390243902439024)","([4, 8, 12, 19, 27, 30, 31, 33], 0.9418386491557224)",0.5150093808630394
26,"([4, 8, 13, 19, 30, 31, 33], 0.964319248826291)","([4, 8, 13, 19, 30, 31, 33], 0.9408450704225352)",0.5051643192488263
27,"([4, 8, 13, 19, 30, 31, 33], 0.9559099437148217)","([4, 8, 13, 19, 30, 31], 0.9305816135084428)",0.524390243902439
28,"([4, 8, 13, 19, 30, 31, 33], 0.964319248826291)","([8, 13, 19, 30, 31], 0.9427230046948357)",0.5023474178403756
29,"([4, 8, 13, 19, 30, 31, 33], 0.9568075117370892)","([4, 8, 13, 19, 30, 31, 33], 0.9389671361502347)",0.5286384976525822
30,"([4, 8, 13, 19, 30, 31, 33], 0.9624765478424016)","([4, 8, 13, 19, 30, 31, 33], 0.9474671669793621)",0.5393996247654784
31,"([4, 8, 19, 30, 31, 33], 0.9315196998123827)","([4, 8, 19, 30, 31, 33], 0.9315196998123827)",0.5150093808630394
32,"([4, 8, 13, 19, 30, 31, 33], 0.9586854460093897)","([4, 8, 13, 16, 19, 30, 31, 33], 0.9539906103286385)",0.5276995305164319
33,"([4, 8, 12, 13, 19, 30, 31, 33], 0.9417840375586854)","([4, 8, 13, 19, 30, 31, 33], 0.9530516431924883)",0.5154929577464789
34,"([4, 8, 13, 19, 30, 31, 33], 0.9549295774647887)","([4, 8, 13, 16, 19, 30, 31, 33], 0.9474178403755869)",0.5201877934272301
35,"([4, 8, 13, 19, 30, 31, 33], 0.9380281690140845)","([4, 8, 13, 19, 30, 31, 33], 0.9380281690140845)",0.523943661971831
36,"([8, 19, 30, 31], 0.9409005628517824)","([4, 8, 13, 19, 30, 31, 33], 0.9606003752345216)",0.5309568480300187
37,"([4, 8, 13, 19, 30, 31, 33], 0.9709193245778611)","([8, 13, 19, 30, 31], 0.9437148217636022)",0.5112570356472795
38,"([4, 8, 13, 19, 30, 31, 33], 0.9605633802816902)","([8, 13, 19, 30, 31], 0.9464788732394366)",0.5427230046948357
39,"([4, 8, 13, 19, 30, 31, 33], 0.9615023474178404)","([4, 8, 13, 19, 30, 31, 33], 0.9464788732394366)",0.5183098591549296
40,"([4, 8, 13, 19, 30, 31, 33], 0.9343339587242027)","([4, 8, 13, 19, 30, 31, 33], 0.9549718574108818)",0.5196998123827392
41,"([8, 19, 30, 31], 0.9333333333333333)","([4, 8, 13, 14, 19, 30, 31, 33], 0.9314553990610329)",0.49953051643192486
42,"([4, 8, 13, 19, 30, 31, 33], 0.9549718574108818)","([4, 8, 13, 19, 30, 31, 33], 0.9371482176360225)",0.5140712945590994
43,"([4, 8, 13, 19, 30, 31, 33], 0.9540337711069419)","([4, 8, 13, 14, 19, 27, 30, 31, 33], 0.9455909943714822)",0.5328330206378987
44,"([8, 19, 30, 31, 33], 0.9417840375586854)","([4, 8, 13, 19, 27, 30, 31, 33], 0.9370892018779343)",0.5342723004694836
45,"([4, 8, 13, 19, 30, 31, 33], 0.955868544600939)","([4, 8, 13, 19, 30, 31, 33], 0.955868544600939)",0.5408450704225352
46,"([4, 8, 13, 19, 30, 31, 33], 0.9417840375586854)","([4, 8, 13, 19, 30, 31, 33], 0.9577464788732394)",0.5154929577464789
47,"([4, 8, 13, 19, 30, 31, 33], 0.9568075117370892)","([4, 8, 13, 19, 30, 31, 33], 0.9568075117370892)",0.5098591549295775
48,"([4, 8, 19, 30, 31, 33], 0.9324577861163227)","([4, 8, 13, 19, 30, 31, 33], 0.9333958724202627)",0.5281425891181989
49,"([4, 8, 13, 19, 30, 31, 33], 0.9315196998123827)","([4, 8, 13, 19, 30, 31], 0.9380863039399625)",0.5272045028142589
