run_id,harderLASSO ANN - 0.7lambda,harderLASSO ANN - lambda,harderLASSO ANN - 1.3lambda
69,"[47, 71, 103, 146, 151, 186, 223, 269]","[47, 103, 146, 151, 186, 269]",[151]
70,"[15, 31, 42, 57, 158]","[15, 158]","[57, 158]"
71,"[76, 147, 187, 221, 224, 260, 262]","[94, 124, 162, 274]","[76, 162, 214]"
72,"[4, 15, 103, 121, 223]","[4, 15, 121, 223]","[4, 15, 121, 223]"
73,"[15, 141, 190, 262, 264, 274, 282]","[125, 194, 209, 241, 280, 282]","[194, 209, 282]"
74,"[51, 86, 103, 107, 117, 157, 220, 279]","[50, 51, 103, 107]","[71, 86, 103, 126, 173]"
75,"[10, 132, 162, 189, 192, 216, 236, 242, 279]","[102, 131, 175, 231, 275, 279]","[159, 175]"
76,"[9, 144, 160, 198, 223, 240, 295]","[31, 97, 216, 223, 258, 272]","[9, 154]"
77,"[118, 188, 192, 193, 224, 297]","[188, 193, 297]","[188, 193, 297]"
78,"[53, 75, 77, 104, 169, 180, 228, 270]","[169, 180, 270]","[53, 180, 270]"
79,"[31, 119, 190, 220]","[46, 93, 119, 190, 239]","[3, 119, 190, 220]"
80,"[3, 75, 85, 193, 264, 268, 287, 293]","[193, 198, 200, 203, 208, 268, 293]","[93, 293]"
81,"[31, 111, 180, 217]","[13, 39, 192]",[192]
82,"[15, 28, 56, 63, 69, 70, 95, 165, 190, 257]","[15, 49, 71, 100, 133]","[18, 83, 148]"
83,"[84, 119, 134]","[51, 119, 134]","[51, 119, 134]"
84,"[20, 28, 77, 115, 211, 214, 297, 299]","[77, 89, 108, 214]","[31, 77, 108, 235]"
85,"[37, 95, 115, 123, 147, 171, 177, 184, 232, 252, 274]","[147, 177, 232, 248, 252]","[147, 248, 252]"
86,"[0, 69, 108, 109, 216, 287]","[0, 108, 109, 146, 216, 280]","[146, 216]"
87,"[23, 34, 40, 43, 176, 206, 292]","[19, 23, 34, 171]","[23, 292]"
88,"[40, 106, 130, 219, 220, 269, 277, 278, 279]","[130, 141, 219, 247, 279]","[40, 130, 141, 219]"
89,"[43, 110, 119, 192, 248, 272, 287]","[7, 192, 248, 249, 267, 287]","[110, 192, 287]"
90,"[1, 132, 154, 199, 209, 249]","[21, 77, 293]","[77, 293]"
91,"[95, 131, 166, 169, 243, 282, 290]","[60, 95, 124, 152, 282]","[243, 290]"
92,"[12, 19, 96, 139, 195]","[23, 117, 195, 257]","[0, 23, 163]"
93,"[27, 68, 97, 136, 147, 152]","[10, 50, 68, 118, 136, 152]",[118]
94,"[67, 75, 97, 114, 131, 141, 211, 257]","[75, 86, 97, 114, 138]","[75, 86, 97, 114, 138, 290]"
95,"[125, 130, 218, 235, 254]","[26, 90, 125, 130, 218, 296]","[90, 130, 218, 254, 296]"
96,"[21, 109, 115, 162, 175, 294]","[21, 109, 115, 162, 294]","[116, 162]"
97,"[45, 73, 79, 86, 220, 278]","[51, 119, 142, 196, 229]","[51, 84, 119]"
98,"[15, 93, 122, 155, 162, 223, 299]","[15, 43, 72, 122, 223, 299]","[43, 223, 299]"
99,"[7, 30, 53, 132, 245]","[9, 30, 219, 234]","[9, 30, 219, 234]"
