run_id,harderLASSO ANN - 0.7lambda,harderLASSO ANN - lambda,harderLASSO ANN - 1.3lambda
0,[176],[176],[176]
1,[118],[118],[118]
2,[23],[23],[23]
3,[158],[158],[158]
4,[119],[119],[119]
5,[66],[66],[66]
6,[299],[299],[299]
7,[234],[234],[234]
8,[32],[32],[32]
9,[237],[237],[237]
10,"[207, 294]",[294],[294]
11,[215],[215],[215]
12,"[15, 184, 187]",[15],[15]
13,"[27, 255]",[255],[255]
14,"[155, 160]",[155],[155]
15,[278],[278],[278]
16,[36],[36],[36]
17,[49],[49],[49]
18,[67],[67],[67]
19,"[31, 138]",[31],[31]
20,[285],[285],[285]
21,[141],[141],[141]
22,[68],[68],[68]
23,"[180, 287]",[287],[287]
24,"[94, 247]","[94, 247]",[94]
25,"[184, 295]",[184],[184]
26,"[95, 242]",[95],[95]
27,[159],[159],[159]
28,"[152, 223]",[152],[152]
29,[194],[194],[194]
30,"[286, 288]",[286],[286]
31,"[151, 266]",[266],[266]
32,"[0, 196]",[196],[196]
33,[73],[73],[73]
34,[181],[181],[181]
35,[156],[156],[156]
36,[26],[26],[26]
37,"[43, 88, 109]",[109],[109]
38,[50],[50],[50]
39,[77],[77],[77]
40,[227],[227],[227]
41,[215],[215],[215]
42,[199],[199],[199]
43,[81],[81],[81]
44,[257],[257],[257]
45,"[13, 62, 284]","[62, 284]",[62]
46,"[39, 46]",[39],[39]
47,"[155, 174, 218]",[155],[155]
48,[149],[149],[149]
49,[152],[152],[152]
50,[174],[174],[174]
51,"[75, 129]",[75],[75]
52,"[1, 36, 242]",[242],[242]
53,[83],[83],[83]
54,[17],[17],[17]
55,[67],[67],[67]
56,[123],[123],[123]
57,"[69, 208]",[69],[69]
58,[66],[66],[66]
59,[26],"[17, 26]",[26]
60,[198],[198],[198]
61,[227],[227],[227]
62,[266],[266],[266]
63,[72],[72],[72]
64,"[223, 279]",[279],[279]
65,[244],[244],[244]
66,[31],[31],[31]
67,[258],[258],[258]
68,[100],[100],[100]
69,"[14, 28, 272]",[28],[28]
70,[29],[29],[29]
71,[104],[104],[104]
72,[15],[15],[15]
73,"[21, 43]",[21],[21]
74,[157],[157],[157]
75,[62],[62],[62]
76,[208],[208],[208]
77,[209],[209],[209]
78,"[49, 120]",[120],[120]
79,"[3, 31, 261]",[3],[3]
80,[130],[130],[130]
81,[174],[174],[174]
82,"[133, 223]",[133],[133]
83,[158],[158],[158]
84,[149],[149],[149]
85,"[180, 281]",[180],[180]
86,[10],[10],[10]
87,[31],[31],[31]
88,"[5, 257, 283]",[257],[257]
89,[145],[145],[145]
90,[184],[184],[184]
91,[286],[286],[286]
92,[117],[117],[117]
93,[157],[157],[157]
94,"[4, 115, 290]",[115],[115]
95,"[12, 248]",[248],[248]
96,"[100, 170]",[170],[170]
97,[296],[296],[296]
98,"[18, 127]",[18],[18]
99,[298],[298],[298]
