run_id,harderLASSO ANN - 0.7lambda,harderLASSO ANN - lambda,harderLASSO ANN - 1.3lambda
0,"[27, 34, 54, 101, 146, 255, 264, 275]","[27, 56, 101, 146, 264]","[27, 56, 101, 146]"
1,"[42, 58, 66, 109, 191, 213, 284]","[66, 98, 104, 191, 226]","[191, 208, 226]"
2,"[7, 41, 46, 180, 227, 228, 231]","[7, 61, 96, 127, 180, 228, 231]","[14, 41, 61, 234]"
3,"[3, 23, 43, 106, 119, 251, 282]","[24, 106, 119, 131, 134, 251]","[138, 288]"
4,"[19, 75, 81, 145, 153, 227, 229, 240, 278]","[35, 145, 206, 229, 234, 278]","[141, 229]"
5,"[22, 93, 96, 101, 140, 169, 211, 228, 262, 277, 289]","[101, 106, 113, 228, 289]","[125, 169, 228]"
6,"[21, 33, 183, 190, 255, 258, 267, 268]","[21, 33, 70, 205, 232, 258]","[21, 120, 245, 255]"
7,"[16, 81, 167, 168, 221, 244, 269, 273, 297]","[17, 50, 71, 149, 167]","[70, 71, 114, 161, 270]"
8,"[13, 49, 56, 87, 193]","[49, 56, 193]","[49, 193]"
9,"[26, 38, 103, 124, 131, 147, 175, 239, 252]","[24, 102, 131, 147, 194, 239]","[24, 38, 131, 220, 252]"
10,"[49, 54, 88, 129, 136, 152, 208, 228, 258]","[2, 86, 125]","[54, 125, 136]"
11,"[51, 69, 109, 147, 239, 248]","[51, 69, 92, 109, 268, 283]","[51, 69, 109, 147]"
12,"[15, 59, 79, 87, 168, 180, 219]","[44, 59, 90, 96]","[44, 59, 90]"
13,"[43, 97, 104, 160, 164, 183, 287]","[43, 63, 160, 164, 191, 282]","[187, 259]"
14,"[18, 38, 64, 84, 106, 171, 181, 204, 216, 241]","[18, 84, 106, 204, 216]","[38, 106, 204, 216]"
15,"[24, 29, 30, 34, 115, 161, 171, 209, 229]","[30, 91, 99, 115, 161, 191, 206]","[109, 117]"
16,"[7, 43, 62, 237, 254, 261, 272, 279, 286]","[64, 151, 237, 254, 279]","[237, 254, 272, 279]"
17,"[20, 21, 44, 62, 176, 192, 230, 298]","[44, 58, 92, 104, 176, 192, 236]","[8, 153, 298]"
18,"[51, 74, 144, 173, 217, 223, 288]","[40, 84, 103, 121, 223]","[103, 205, 223]"
19,"[30, 48, 135, 139, 159, 195, 205, 242, 269]","[0, 48, 171, 194, 205, 269]","[0, 16, 48, 159, 187, 205, 269]"
20,"[112, 119, 147, 152, 174, 197, 206, 243, 299]","[70, 206, 233]","[119, 147, 206, 210, 230, 243]"
21,"[0, 16, 156, 174, 175, 276, 285]","[0, 59, 156, 174, 182, 285]","[0, 214, 234]"
22,"[39, 46, 67, 117, 139, 190, 199, 251, 257]","[46, 86, 97, 139, 154, 253]","[27, 52, 121, 154, 209]"
23,"[14, 47, 89, 96, 165, 196]","[14, 63, 196, 288]","[7, 14, 63, 85]"
24,"[71, 88, 90, 136, 140, 195, 208, 268, 293]","[41, 71, 88, 136, 195, 229]","[88, 136, 195, 229]"
25,"[9, 53, 67, 82, 96, 186, 282]","[8, 11, 57, 82, 96, 230, 279]","[82, 96, 230, 279]"
