run_id,harderLASSO ANN - 0.7lambda,harderLASSO ANN - lambda,harderLASSO ANN - 1.3lambda
0,"[14, 18, 63, 85, 102, 116, 125, 174, 177, 192, 195, 240, 244]","[78, 79, 81, 102, 120, 174, 181, 192, 196]","[12, 45, 120, 174, 196]"
1,"[29, 53, 120, 125, 134, 146, 168, 170, 190, 208, 232]","[29, 99, 146, 190, 208, 219, 230, 262]","[20, 81, 109, 224, 230, 239, 252]"
2,"[3, 24, 29, 49, 77, 92, 152, 158, 166, 194, 196, 260, 262, 294]","[0, 20, 77, 141, 158, 160, 168, 209, 230]","[0, 20, 114, 141, 158, 168, 182]"
3,"[2, 32, 33, 39, 48, 127, 180, 193, 214, 245, 255, 260, 276]","[32, 48, 81, 96, 127, 138, 232, 260, 267, 276]","[2, 32, 33, 96, 115, 182, 267, 276]"
4,"[1, 6, 17, 57, 63, 100, 116, 139, 167, 181, 259, 266, 287]","[1, 8, 10, 21, 30, 51, 99, 165, 166, 181, 189, 196, 219, 234, 254]","[51, 103, 122, 192, 196, 254, 296]"
5,"[8, 52, 109, 111, 115, 141, 179, 202, 246, 259, 279, 289, 297]","[61, 81, 109, 116, 166, 221, 236, 259, 279]","[33, 95, 170, 259, 279, 289]"
6,"[6, 50, 139, 142, 153, 176, 192, 193, 209, 219]","[139, 142, 200, 245, 271]","[139, 142, 153, 209, 271]"
7,"[1, 24, 38, 120, 130, 140, 158, 214, 256, 258, 283]","[2, 11, 38, 136, 143, 158, 214, 256, 258]","[38, 94, 136, 182, 254, 258]"
8,"[14, 31, 150, 208, 210, 211, 226, 244, 247, 276, 288]","[20, 58, 66, 77, 88, 188, 212, 226, 227, 280]","[82, 148, 226]"
9,"[28, 54, 89, 166, 203, 210, 248]","[3, 27, 54, 97, 119, 166, 167, 196, 230, 247]","[37, 54, 121, 179, 209, 260]"
10,"[33, 69, 117, 125, 188, 192, 201, 273]","[72, 84, 125, 129, 182, 243, 292]","[117, 122, 125, 188, 292]"
11,"[33, 40, 75, 119, 121, 128, 161, 174, 221, 297]","[26, 40, 79, 121, 161, 221, 227, 244]","[41, 55, 92, 106, 135, 221, 297]"
12,"[48, 56, 74, 90, 138, 189, 195, 219, 254, 267, 272]","[26, 34, 56, 90, 165, 219, 234, 246, 280]","[155, 219, 220, 233, 254, 258]"
13,"[8, 40, 82, 114, 130, 141, 180, 190, 234, 262, 273, 277, 299]","[82, 141, 180, 234]","[18, 19, 132, 180]"
14,"[13, 28, 36, 65, 70, 80, 87, 107, 109, 130, 180, 206, 229, 231, 236, 238, 278]","[7, 39, 88, 97, 145, 187, 204, 234]","[88, 145, 231, 238, 298]"
