run_id,harderLASSO ANN - 0.7lambda,harderLASSO ANN - lambda,harderLASSO ANN - 1.3lambda
0,"[95, 196, 203]",[203],[203]
1,"[78, 85, 138, 255, 296, 298]","[78, 138, 255, 296, 298]","[255, 281]"
2,"[17, 219, 242, 254, 281]","[17, 219, 242, 254, 281]","[219, 242, 281]"
3,"[72, 118, 168, 169, 217]",[72],[]
4,"[32, 87, 103, 142, 178, 225, 243]","[30, 142, 184, 233, 278]","[8, 32, 142, 278]"
5,"[129, 144, 163, 228, 252, 284]","[24, 105, 141, 163, 284]","[121, 141, 181, 284]"
6,"[31, 76, 107, 114, 140, 261]","[76, 107, 133, 261]","[31, 76, 114, 261]"
7,"[16, 31, 32, 55, 108, 117, 142]","[31, 42, 142]","[31, 108, 142]"
8,"[8, 221, 229, 243]","[22, 243, 250, 269]","[8, 22, 153]"
9,"[15, 29, 105, 253, 299]","[15, 105, 112, 194, 238]","[105, 253]"
10,"[63, 72, 98, 105, 185, 196, 239]","[21, 38, 72, 185, 206, 239]","[21, 185, 239]"
11,"[44, 158, 182, 195, 263]","[182, 184, 195]","[181, 182, 195]"
12,"[198, 257, 293]","[83, 128, 257, 266]","[128, 257]"
13,"[44, 45, 140, 175, 238]","[197, 283]","[242, 291]"
14,"[4, 35, 119, 125, 179, 289]","[3, 5, 35, 289]","[54, 179, 255]"
15,"[48, 67, 136, 147, 194]","[31, 139, 161]",[136]
16,"[32, 75, 111, 152, 220, 228]","[75, 111, 220]","[75, 111]"
17,"[46, 134, 207]",[46],[46]
18,"[99, 163, 170, 207, 297]","[20, 109, 204]","[99, 204, 297]"
19,"[11, 32, 71, 158, 164, 247, 255, 273]","[11, 32, 130, 164, 247, 252]",[50]
20,"[3, 14, 18, 46, 121, 148, 190, 192]","[3, 14, 46, 115, 148, 190]",[3]
21,"[29, 71, 104, 109, 197, 266]","[29, 104, 109]","[14, 142, 197, 228]"
22,"[143, 154, 207, 210, 227, 228]","[132, 150, 207, 210, 227]",[150]
23,"[68, 79, 181, 182, 212, 215, 299]","[31, 68, 70, 122]","[31, 68]"
24,"[104, 140, 199, 211, 272, 278]","[40, 165, 278, 293]","[104, 293]"
25,"[75, 87, 91, 137, 175]","[75, 91, 113, 275, 280, 294]","[75, 175]"
26,"[132, 150, 200, 205, 268]","[123, 220, 273]",[19]
27,"[192, 216, 240, 264]","[108, 192, 216]","[216, 240, 264]"
28,"[15, 64, 81, 85, 89, 231, 259]","[4, 89, 187, 255]","[59, 187]"
29,"[22, 101, 146, 205, 228]","[22, 84, 228]","[6, 146, 205]"
30,"[46, 93, 162, 195, 257]","[46, 93, 195]","[46, 93, 195]"
31,"[15, 21, 211, 280, 287]","[3, 26, 27, 293]","[27, 287]"
32,"[50, 52, 167, 226, 293]","[52, 167, 169, 293]",[167]
33,"[6, 276, 284]","[6, 276, 284]","[6, 276, 284]"
34,"[14, 41, 80, 86, 101, 138, 181]","[12, 80, 127, 222]","[14, 101]"
