run_id,harderLASSO ANN - 0.7lambda,harderLASSO ANN - lambda,harderLASSO ANN - 1.3lambda
0,"[68, 75, 79, 86, 123, 130, 156, 162, 171, 206, 248, 292, 294]","[35, 67, 68, 79, 162, 171, 183, 206, 294]","[68, 162, 206, 290]"
1,"[8, 29, 65, 82, 99, 132, 179, 199, 273]","[3, 29, 65, 82, 117, 132, 179, 199, 230, 248, 273]","[29, 141, 199, 254, 273, 288]"
2,"[32, 49, 90, 94, 148, 152, 256]","[18, 32, 49, 149, 154, 225]","[49, 149, 208, 237]"
3,"[97, 107, 130, 159, 172, 201, 263, 266]","[97, 126, 130, 148, 161, 215, 281]","[87, 97, 215, 281]"
4,"[41, 114, 115, 141, 179, 196, 221, 222, 237, 255, 292, 297]","[28, 41, 115, 247]","[196, 221, 227, 244]"
5,"[49, 63, 81, 103, 119, 184, 194, 209, 253]","[5, 12, 103, 133, 194, 209, 243]","[49, 62, 63, 103, 124, 126, 194, 233, 255, 263]"
6,"[20, 104, 135, 179, 184, 191, 246, 273, 283]","[20, 77, 115, 132, 161, 191, 246, 251, 273, 289]","[16, 157, 274]"
7,"[9, 11, 37, 105, 142, 207, 242, 261, 266, 271, 280]","[37, 150, 213, 218, 262]","[57, 207, 262, 274, 294]"
8,"[37, 52, 172, 175, 188, 190, 206, 209, 231]","[52, 62, 175, 188, 190, 206, 209, 237]","[62, 139, 175, 182, 218]"
9,"[49, 59, 72, 85, 197, 205, 214, 227, 279]","[49, 59, 82, 89, 190, 211, 214, 227]","[49, 58, 59, 82, 180, 211, 214]"
10,"[7, 9, 10, 66, 97, 120, 151, 201, 214, 254]","[7, 9, 66, 99, 155, 196, 214, 216, 254, 279]","[9, 51, 99, 254, 292]"
11,"[10, 76, 111, 159, 189, 213, 229, 264, 289]","[76, 111, 159, 229, 264, 289]","[76, 229, 254]"
12,"[75, 107, 134, 158, 262, 270, 283, 288]","[6, 20, 58, 134, 151, 161]","[75, 107, 110, 134]"
13,"[10, 100, 120, 124, 132, 133, 137, 138, 157, 169, 195, 269, 296]","[10, 19, 23, 73, 120, 133, 169, 296]","[10, 45, 57, 99]"
14,"[59, 136, 145, 156, 167, 201, 218, 222, 233, 251, 299]","[89, 136, 145, 167, 177, 299]","[83, 97, 114, 140, 145, 148, 167, 170]"
