run_id,LassoNet,XGBoost,RF
0,"([14, 209], 12.233184858157914)","([14, 33, 209], 2.283218787701677)","([14, 18, 52, 73, 209], 2.8134554080180174)"
1,"([110, 235], 0.5223897714400579)","([110, 235], 1.9124140717999611)","([75, 110, 135, 177, 235], 3.084180175425031)"
2,"([], 18.05950842669725)","([84, 218], 1.7988403168687817)","([42, 46, 84, 148, 218], 3.742439305386049)"
3,"([], 19.388290895210424)","([94], 18.944057387137683)","([94, 107, 176], 2.4553148020859625)"
4,"([84, 85, 103, 109, 130, 155, 189, 230, 248], 0.5208954968740285)","([85, 111, 124, 130, 211], 3.5782929367997025)","([23, 85, 124, 130, 224], 3.2150425551797914)"
5,"([53, 192], 4.511724442305087)","([53, 179, 192], 2.966364984175813)","([53, 95, 192, 240], 2.84961821738466)"
6,"([3, 53], 1.9495969392953212)","([53], 21.699269848158647)","([3, 53, 67, 228], 2.4954467011799766)"
7,"([43, 172], 1.4218235043430476)","([43], 17.558086053191126)","([16, 43, 156, 160, 169, 172, 197], 3.0775986718907893)"
8,"([64, 202], 1.4889194097078502)","([64, 135, 145, 161, 195, 202], 3.633941857166977)","([64, 202, 228], 1.6281801909122173)"
9,"([32, 150, 195, 198, 235], 0.7890608472977092)","([32, 189, 219, 235, 242], 5.252296291668903)","([32, 172, 235], 3.523253317035069)"
10,"([3, 51], 1.3919162372750604)","([3, 146, 163], 14.436089940904687)","([3, 45, 51, 84, 135, 154, 212], 3.8155066342470483)"
11,"([52, 78], 9.004355019849722)","([52, 67, 78, 89], 3.6185460095064763)","([52, 78, 101, 155, 165], 3.0607699602576486)"
12,"([8, 19, 23, 24, 28, 32, 36, 61, 62, 67, 72, 75, 81, 83, 86, 89, 90, 94, 95, 98, 101, 110, 122, 123, 133, 145, 152, 157, 164, 167, 168, 174, 220, 222, 239], 0.2925302481947317)","([94], 21.689529724255166)","([32, 42, 47, 62, 94, 135, 220], 3.514919083227264)"
13,"([80, 136], 6.4366956520527525)","([136], 25.080734102615438)","([58, 80, 136, 219], 2.215817853211714)"
14,"([91, 203], 3.595743680681334)","([203], 15.828778226598386)","([91, 106, 203], 2.9451425559331255)"
15,"([], 18.726415983016377)","([2, 122, 177, 193, 206, 225], 3.010370899798018)","([2, 122, 140], 1.7028156479986254)"
16,"([3, 4, 10, 12, 15, 23, 45, 48, 50, 51, 56, 63, 77, 82, 94, 95, 116, 122, 123, 124, 125, 149, 154, 156, 167, 173, 198, 200, 201, 211, 218, 220, 234, 237, 242, 247, 248], 0.537576215450105)","([48, 192, 201, 247], 4.948998689335094)","([48, 148, 177, 192, 201, 224], 3.0620807507412056)"
17,"([25, 34, 46, 71, 99, 175, 203], 0.4418520466548448)","([46], 17.036025573928118)","([20, 25, 46, 223], 1.866687697328317)"
18,"([], 19.564863085453307)","([68, 109], 20.50216164660097)","([68, 98, 109, 191], 4.703942661081476)"
19,"([91, 200], 0.6227821217433055)","([91, 194, 200, 222, 243], 3.249578586747113)","([54, 91, 121, 200, 243, 247], 3.1364283928679253)"
20,"([112, 121], 10.189518062025712)","([112, 121, 200], 2.8777078176374995)","([112, 121, 200, 213], 3.2894538098254724)"
21,"([], 18.402984647879308)","([78, 198, 218], 3.1050496176830578)","([78, 79, 146, 198], 2.5693765188429984)"
22,"([217, 238], 7.614787467343524)","([217], 15.57525202482885)","([32, 46, 156, 217, 238], 2.7841745791306356)"
23,"([105, 218], 7.385348783498)","([105, 152, 218, 232], 3.0678761071899863)","([105, 152, 186, 218, 226], 2.7482651642947955)"
24,"([], 18.548451481957628)","([13, 20, 52], 2.204395900823929)","([13, 52, 223], 2.2098220785810274)"
25,"([8, 56, 226], 0.8747998923083423)","([56, 182, 188, 223, 226], 5.4670276361419425)","([28, 56, 188, 226], 2.805507551801973)"
26,"([], 18.40322402030482)","([65, 102, 123], 2.6026094668829183)","([46, 65, 85, 102, 149, 200], 3.1848128522849195)"
27,"([108, 246], 1.3275349197575588)","([108, 168, 246], 2.9810562143337784)","([44, 108, 246], 2.507075735801064)"
28,"([17, 87], 0.5955237651924938)","([87, 152], 14.661303491617506)","([17, 87, 152], 1.4608028475106096)"
29,"([], 18.794620785273136)","([30, 36, 149, 153, 209], 4.24802484174838)","([36, 96, 113, 153, 209], 3.6418105955424385)"
30,"([], 17.698913131023133)","([225], 17.097945429185188)","([2, 40, 82, 118, 225], 2.96290566195376)"
31,"([], 18.520847603199552)","([113, 115, 128, 160], 4.345261362240931)","([113, 115], 1.6688938592496747)"
32,"([162, 178], 13.031426601966274)","([62, 98, 162, 178], 3.91098798147389)","([62, 92, 119, 162, 178, 206], 4.612393937257359)"
33,"([201, 208], 0.8641004995280736)","([76, 201, 218, 249], 14.15113571649105)","([7, 76, 79, 201, 208, 232], 3.630156196311814)"
34,"([124, 142], 0.4754914594484455)","([124, 142], 2.1786485729915883)","([98, 121, 124, 142, 223, 236], 4.770520089385416)"
35,"([25, 113], 11.542399619918346)","([113], 20.248490064521633)","([25, 60, 113], 1.593233041881648)"
36,"([29, 199], 10.803091534300602)","([29, 161], 15.783942389191125)","([29, 73, 161, 199], 2.3595859148139353)"
37,"([126, 230], 9.079561488116596)","([126], 22.67317559869115)","([71, 126, 221, 224, 230], 4.961870164693772)"
38,"([31, 40], 0.6324989006868623)","([31, 40, 83, 150, 224, 230], 2.6870577466764267)","([31, 40, 89, 221], 2.4705135270453185)"
39,"([25, 30], 4.25266402997544)","([25, 30, 89], 2.3633084300083103)","([25, 30, 35, 51], 2.9228761579370186)"
40,"([40, 202], 0.5206908453904271)","([40, 150, 202], 2.3840555302514805)","([40, 150, 202], 2.029321824756255)"
41,"([], 17.89057507670037)","([110], 17.794191553266927)","([4, 106, 110, 171], 1.635023975080221)"
42,"([43, 189], 15.117798755764262)","([43, 56, 108, 179, 189], 3.2252534768616705)","([31, 43, 137, 189], 2.1876440697945214)"
43,"([66, 102], 6.904707259348645)","([66, 102], 1.6832426565733245)","([66, 102], 1.3033654296152486)"
44,"([37, 208], 6.663574302138168)","([37, 82, 84, 92, 208], 2.4804258232582614)","([13, 37, 84, 107, 208], 2.691110081533882)"
45,"([9, 156, 193], 0.5644238957132622)","([9, 20, 65, 84, 156, 165, 168], 4.706003750478564)","([9, 156, 168], 2.1770929852142427)"
46,"([], 17.388534558770758)","([210], 15.323872140293773)","([31, 88, 210], 1.7608781614102822)"
47,"([66, 108], 6.459947496666855)","([66], 15.41864210858244)","([66, 108], 1.944662877382306)"
48,"([190, 200], 12.180877198836646)","([74, 190, 200], 1.6665600871450925)","([55, 59, 190, 200], 1.7034913525031252)"
49,"([34, 76, 115, 130, 174], 0.19754911385071847)","([52, 76, 115, 126, 186, 224], 3.057352455180092)","([46, 76, 115, 123, 126, 215], 2.318779781309608)"
