run_id,"harderLASSO ANN - (20,)","harderLASSO ANN - (20, 10)","harderLASSO ANN - (20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(21.749589964184835))","([2, 3, 13, 15], np.float64(0.021485961423042165))","([2, 3, 13, 15], np.float64(0.026634858786472235))"
2,"([10, 22, 30, 39], np.float64(15.28618900016237))","([10, 22, 30, 39], np.float64(0.020357130946651633))","([10, 22, 30, 39], np.float64(3.560067574477934))"
3,"([0, 4, 5, 27], np.float64(0.04689096374704898))","([0, 4, 5, 27], np.float64(0.06767082511688603))","([0, 4, 5, 27], np.float64(16.52080392151237))"
4,"([14, 34, 38, 49], np.float64(22.423899277163734))","([14, 34, 38, 49], np.float64(0.07358795371028985))","([14, 34, 38, 49], np.float64(11.396955937113733))"
5,"([2, 11, 15, 36], np.float64(15.092757908033981))","([2, 11, 15, 36], np.float64(0.18334426820340258))","([2, 11, 15, 36], np.float64(0.09081293418632709))"
6,"([5, 17, 41, 44], np.float64(13.611798770107947))","([5, 17, 41, 44], np.float64(14.876428538120814))","([17, 41], np.float64(43.238814207225396))"
7,"([13, 17, 29, 45], np.float64(0.14641230578250491))","([13, 17, 29, 45], np.float64(11.775223851583815))","([29, 45], np.float64(54.05452188460817))"
8,"([10, 19, 37, 48], np.float64(22.072171824681018))","([10, 19, 37, 48], np.float64(0.03029280318179556))","([10, 19, 37, 48], np.float64(0.04955894896117263))"
9,"([11, 36, 38, 44], np.float64(15.204953966367826))","([11, 36, 38, 44], np.float64(0.03731640957474139))","([11, 36, 38, 44], np.float64(0.07584394296624637))"
10,"([41, 42], np.float64(47.79992037460058))","([27, 29, 41, 42], np.float64(1.0489238684203943))","([27, 29, 41, 42], np.float64(0.05605385238060657))"
11,"([19, 31, 46, 49], np.float64(0.05363022230797234))","([19, 31, 46, 49], np.float64(0.020922959261819123))","([19, 31, 46, 49], np.float64(10.660237805940111))"
12,"([7, 15, 38, 43], np.float64(14.848586590402377))","([7, 15, 38, 43], np.float64(0.2069835918800663))","([7, 15, 38, 43], np.float64(8.973629578146179))"
13,"([8, 10, 31, 41], np.float64(0.03368133964974405))","([8, 10, 31, 41], np.float64(0.05023321498247315))","([8, 10, 31, 41], np.float64(0.036861166374783594))"
14,"([16, 21, 40, 42], np.float64(22.204407095933952))","([16, 21, 40, 42], np.float64(7.509495259175882))","([16, 21, 40, 42], np.float64(0.02962559696476233))"
15,"([11, 19, 21, 41], np.float64(21.2935086481213))","([11, 19, 21, 41], np.float64(0.019132964407761886))","([11, 19, 21, 41], np.float64(0.05747466788873297))"
16,"([19, 40], np.float64(42.82855890177372))","([19, 40], np.float64(42.14066446433919))","([4, 9, 19, 40], np.float64(0.04278760014796151))"
17,"([8, 18, 26, 27], np.float64(0.10011930855457209))","([8, 18, 26, 27], np.float64(0.02736633708682407))","([8, 18, 26, 27], np.float64(41.526741938408776))"
18,"([6, 31, 39, 48], np.float64(23.247814992834414))","([6, 31, 39, 48], np.float64(0.9906454147850413))","([6, 31, 39, 48], np.float64(0.036737053466372356))"
19,"([0, 2, 19, 32], np.float64(0.0829677078566404))","([0, 2, 19, 32], np.float64(0.02052103302728217))","([0, 2, 19, 32], np.float64(36.2834573955246))"
20,"([4, 7, 15, 28], np.float64(15.042116974406534))","([4, 7, 15, 28], np.float64(0.019924869475939518))","([4, 28], np.float64(53.433488060730305))"
21,"([13, 15, 30, 41], np.float64(13.072506260559857))","([13, 15, 30, 41], np.float64(0.019618568802819984))","([13, 15, 30, 41], np.float64(9.279611752346808))"
22,"([4, 6, 11, 46], np.float64(14.296594314008786))","([4, 6, 11, 46], np.float64(0.8552695601924072))","([], np.float64(54.4365597589143))"
23,"([0, 6, 31, 42], np.float64(20.972037422789114))","([0, 6, 31, 42], np.float64(0.12978813853690213))","([0, 6, 31, 42], np.float64(34.82791040606774))"
24,"([1, 8, 14, 37], np.float64(22.066793110042912))","([1, 8, 14, 37], np.float64(0.3409053206459182))","([1, 8, 14, 37], np.float64(8.76234211761161))"
25,"([2, 13, 20, 26], np.float64(15.353375159415634))","([2, 13, 20, 26], np.float64(0.045896635995830395))","([2, 13, 20, 26], np.float64(41.0116017762847))"
26,"([25, 38, 47, 48], np.float64(22.075033092389297))","([38, 47], np.float64(45.24487233540151))","([25, 38, 47, 48], np.float64(0.12405794869529777))"
27,"([6, 9, 19, 44], np.float64(23.075302665222704))","([6, 9, 19, 44], np.float64(0.2984350985114088))","([6, 9, 19, 44], np.float64(0.09997554379352079))"
28,"([19, 35, 38, 44], np.float64(22.70512022949186))","([19, 35, 38, 44], np.float64(0.05573864068804917))","([19, 35, 38, 44], np.float64(1.4146875404691495))"
29,"([8, 14, 38, 41], np.float64(15.455564086951405))","([8, 14, 38, 41], np.float64(0.03332616283087185))","([8, 14, 38, 41], np.float64(0.055998941389789975))"
30,"([20, 21, 34, 35], np.float64(21.510740558322293))","([20, 21, 34, 35], np.float64(2.579749006884072))","([20, 21, 34, 35], np.float64(0.04471014027241261))"
31,"([13, 26, 28, 37], np.float64(15.628698980055361))","([13, 26, 28, 37], np.float64(4.113748068578154))","([13, 26, 28, 37], np.float64(12.778381286104402))"
32,"([8, 9, 26, 37], np.float64(14.774562075705198))","([8, 9, 26, 37], np.float64(0.020510411207694396))","([8, 9, 26, 37], np.float64(0.02467485898340394))"
33,"([5, 23, 44, 45], np.float64(0.032680896037541554))","([5, 23, 44, 45], np.float64(0.038777733464595246))","([5, 23, 44, 45], np.float64(0.27813759166525054))"
34,"([2, 11, 21, 24], np.float64(20.116190995954277))","([2, 11, 21, 24], np.float64(0.022947879268022577))","([2, 11, 21, 24], np.float64(5.229048341922524))"
35,"([7, 30, 47, 49], np.float64(24.809908060780838))","([7, 30, 47, 49], np.float64(0.021178161486646113))","([7, 30, 47, 49], np.float64(40.59617170424504))"
36,"([11, 17, 35, 41], np.float64(14.54357356046009))","([11, 17, 35, 41], np.float64(5.420019872263946))","([11, 17, 35, 41], np.float64(0.06032455677630144))"
37,"([4, 15, 24, 44], np.float64(22.889091700207334))","([4, 15, 24, 44], np.float64(0.017367751957537456))","([4, 15, 24, 44], np.float64(8.883511042083423))"
38,"([20, 25, 26, 28], np.float64(14.624326043113163))","([20, 25, 26, 28], np.float64(11.423852463735738))","([20, 25, 26, 28], np.float64(12.03626496998385))"
39,"([5, 21, 25, 43], np.float64(21.26043384470377))","([5, 21, 25, 43], np.float64(0.015986218758028352))","([5, 21, 25, 43], np.float64(9.684677566538939))"
40,"([29, 33, 35, 44], np.float64(22.211302941943956))","([29, 33, 35, 44], np.float64(0.22481392157028351))","([29, 33, 35, 44], np.float64(9.903138398226812))"
41,"([3, 6, 11, 14], np.float64(0.13310949597351657))","([3, 6, 11, 14], np.float64(6.753337900932835))","([3, 6, 11, 14], np.float64(0.0365983955000544))"
42,"([6, 15, 43, 49], np.float64(13.27600264469535))","([6, 15, 43, 49], np.float64(0.023872680914731582))","([6, 15, 43, 49], np.float64(18.37048638338303))"
43,"([24, 30, 35, 45], np.float64(23.77197599527574))","([24, 30, 35, 45], np.float64(0.036123144473138316))","([24, 30, 35, 45], np.float64(2.195841876099339))"
44,"([16, 22, 38, 46], np.float64(15.014455491098877))","([16, 22, 38, 46], np.float64(15.133125725842117))","([16, 22, 38, 46], np.float64(0.27018926910839364))"
45,"([8, 19, 26, 45], np.float64(23.295014007995874))","([8, 19, 26, 45], np.float64(0.029295859807405723))","([], np.float64(61.34547780762864))"
46,"([0, 10, 15, 16], np.float64(22.552473562170782))","([0, 10, 15, 16], np.float64(0.03166334837052885))","([0, 10, 15, 16], np.float64(4.269028292879849))"
47,"([1, 10, 13, 48], np.float64(21.098906736226994))","([1, 10, 13, 48], np.float64(8.232674227980588))","([1, 10, 13, 48], np.float64(0.0482029379672303))"
48,"([0, 20, 24, 42], np.float64(21.505147351846585))","([0, 20, 24, 42], np.float64(0.039849327013569))","([], np.float64(62.26460077282189))"
49,"([0, 21, 26, 30], np.float64(1.3765376475535778))","([0, 21, 26, 30], np.float64(0.029198786407661922))","([0, 21, 26, 30], np.float64(22.901056443779158))"
