run_id,"harderLASSO ANN - (20,)","harderLASSO ANN - (20, 10)","harderLASSO ANN - (20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(14.903196759488186))","([2, 3, 13, 15], np.float64(0.03359041267999188))","([], np.float64(60.20607298594636))"
2,"([10, 22, 30, 39], np.float64(23.111681623296224))","([10, 22, 30, 39], np.float64(10.012885156554075))","([], np.float64(64.26078683451355))"
3,"([0, 4, 5, 27], np.float64(21.859049160387258))","([0, 4, 5, 27], np.float64(0.03676822336920691))","([], np.float64(54.41262367002039))"
4,"([14, 34, 38, 49], np.float64(22.607216968746734))","([14, 34, 38, 49], np.float64(15.020031445806303))","([], np.float64(53.99878763966762))"
5,"([2, 11, 15, 36], np.float64(23.570921610559576))","([2, 11, 15, 36], np.float64(16.322361819846535))","([], np.float64(57.97151244413395))"
6,"([5, 17, 41, 44], np.float64(21.046895654352763))","([5, 17, 41, 44], np.float64(13.08632157618304))","([], np.float64(58.984137161278525))"
7,"([13, 17, 29, 45], np.float64(17.070860366480556))","([13, 17, 29, 45], np.float64(0.07560210404768128))","([29, 45], np.float64(46.005822144554124))"
8,"([10, 19, 37, 48], np.float64(15.774626022953047))","([10, 19, 37, 48], np.float64(22.056628236635753))","([10, 19, 37, 48], np.float64(15.254020349322396))"
9,"([11, 36, 38, 44], np.float64(15.493536852576577))","([11, 36, 38, 44], np.float64(3.8601325308969234))","([], np.float64(52.51469030465752))"
10,"([27, 29, 41, 42], np.float64(22.441897844629786))","([27, 29, 41, 42], np.float64(13.43376727252998))","([], np.float64(55.563702243696945))"
11,"([19, 31, 46, 49], np.float64(20.882276508878643))","([19, 31, 46, 49], np.float64(13.4826896278126))","([], np.float64(53.16686292518429))"
12,"([7, 15, 38, 43], np.float64(23.41821512628866))","([7, 15, 38, 43], np.float64(19.116843904256857))","([7, 15, 38, 43], np.float64(16.960498767022024))"
13,"([8, 10, 31, 41], np.float64(21.780316357265598))","([], np.float64(58.28117461399221))","([], np.float64(58.28768348863799))"
14,"([16, 21, 40, 42], np.float64(22.726057978331113))","([16, 21, 40, 42], np.float64(3.7767173913988628))","([16, 21, 40, 42], np.float64(21.588369364707454))"
15,"([11, 19, 21, 41], np.float64(21.847757871511895))","([11, 19, 21, 41], np.float64(15.583456216198465))","([11, 21], np.float64(44.29990030261525))"
16,"([4, 9, 19, 40], np.float64(22.677044987445285))","([4, 9, 19, 40], np.float64(33.924314209770394))","([], np.float64(54.605239094145))"
17,"([8, 18, 26, 27], np.float64(25.210600779120004))","([8, 18, 26, 27], np.float64(0.14757632492522213))","([], np.float64(67.58183986920872))"
18,"([6, 31, 39, 48], np.float64(24.123397718191825))","([6, 31, 39, 48], np.float64(15.282497611173712))","([], np.float64(62.03310386074003))"
19,"([0, 2, 19, 32], np.float64(22.494506815668398))","([0, 2, 19, 32], np.float64(12.861868543933488))","([], np.float64(55.68275050137502))"
20,"([4, 7, 15, 28], np.float64(23.73887584454067))","([4, 7, 15, 28], np.float64(11.242898574681446))","([], np.float64(59.667127279405776))"
21,"([13, 15, 30, 41], np.float64(20.088261640864374))","([13, 15, 30, 41], np.float64(13.130037771256754))","([], np.float64(53.10109398581016))"
