run_id,"harderLASSO ANN - (20,)","harderLASSO ANN - (20, 10)","harderLASSO ANN - (20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(12.951074558768013))","([2, 3, 13, 15], np.float64(0.025210318406742486))","([2, 3, 13, 15], np.float64(8.35220546664935))"
2,"([10, 22, 30, 39], np.float64(14.465042970662553))","([10, 22, 30, 39], np.float64(4.5654225597198455))","([10, 22, 30, 39], np.float64(11.461153016367714))"
3,"([0, 4, 5, 27], np.float64(14.982738450013276))","([0, 4, 5, 27], np.float64(0.03723093111934231))","([0, 4, 5, 27], np.float64(15.790926417171232))"
4,"([14, 34, 38, 49], np.float64(14.71036991329275))","([14, 34, 38, 49], np.float64(16.699152139192837))","([14, 34, 38, 49], np.float64(0.06848182866657414))"
5,"([2, 11, 15, 36], np.float64(23.509220804206528))","([2, 11, 15, 36], np.float64(0.048618046355133254))","([2, 11, 15, 36], np.float64(0.0960312797500985))"
6,"([5, 17, 41, 44], np.float64(20.761562636107666))","([5, 17, 41, 44], np.float64(0.052618897372247064))","([5, 17, 41, 44], np.float64(0.027876652709049436))"
7,"([13, 17, 29, 45], np.float64(17.397195504384165))","([13, 17, 29, 45], np.float64(40.68167578608615))","([13, 17, 29, 45], np.float64(0.043187011591443725))"
8,"([10, 19, 37, 48], np.float64(21.413240031536))","([10, 19, 37, 48], np.float64(0.21241097361544797))","([10, 19, 37, 48], np.float64(11.746702039589804))"
9,"([11, 36, 38, 44], np.float64(22.971059528211473))","([11, 36, 38, 44], np.float64(0.022860847603765742))","([11, 36, 38, 44], np.float64(23.818848163277472))"
10,"([27, 29, 41, 42], np.float64(39.28974535287078))","([27, 29, 41, 42], np.float64(0.021293804679165737))","([27, 29, 41, 42], np.float64(0.5102965916293323))"
11,"([19, 31, 46, 49], np.float64(20.92930252672706))","([19, 31, 46, 49], np.float64(0.0217408483550554))","([], np.float64(53.03925582099382))"
12,"([7, 15, 38, 43], np.float64(14.451338651877188))","([7, 15, 38, 43], np.float64(13.506732609525711))","([7, 15, 38, 43], np.float64(9.1075827036805))"
13,"([8, 10, 31, 41], np.float64(39.42384314684541))","([8, 10, 31, 41], np.float64(0.017053333845524755))","([8, 10, 31, 41], np.float64(4.749242956372374))"
14,"([16, 21, 40, 42], np.float64(22.23669271936631))","([16, 21, 40, 42], np.float64(18.758991868507124))","([16, 21, 40, 42], np.float64(6.664952624493574))"
