run_id,"harderLASSO ANN - (20,)","harderLASSO ANN - (20, 10)","harderLASSO ANN - (20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(21.89111330792825))","([2, 3, 13, 15], np.float64(0.029015378151083425))","([15], np.float64(57.36500090784917))"
2,"([10, 22, 30, 39], np.float64(22.541081625605013))","([10, 22, 30, 39], np.float64(2.3568684240975015))","([10, 22, 30, 39], np.float64(11.878830183382796))"
3,"([0, 4, 5, 27], np.float64(14.905990009271555))","([0, 4, 5, 27], np.float64(0.028661343026815805))","([0, 4, 5, 27], np.float64(14.020993379736503))"
4,"([14, 34, 38, 49], np.float64(13.702908196419834))","([], np.float64(53.974390864136))","([], np.float64(53.968050736773364))"
5,"([2, 11, 15, 36], np.float64(23.677807102389274))","([2, 11, 15, 36], np.float64(0.04094564832897801))","([], np.float64(57.96883708877754))"
6,"([5, 17, 41, 44], np.float64(20.96662466683395))","([5, 17, 41, 44], np.float64(0.2328214159949187))","([], np.float64(59.000668640792924))"
7,"([13, 17, 29, 45], np.float64(16.934376014089516))","([13, 17, 29, 45], np.float64(0.6579026935168146))","([], np.float64(62.28471285213916))"
8,"([10, 19, 37, 48], np.float64(22.462328978388605))","([10, 19, 37, 48], np.float64(0.02404195151186572))","([], np.float64(62.35146791209454))"
9,"([11, 36, 38, 44], np.float64(23.50740288513182))","([11, 36, 38, 44], np.float64(0.025816973973623213))","([11, 36, 38, 44], np.float64(13.428904956433733))"
10,"([27, 29, 41, 42], np.float64(15.924288035728736))","([27, 29, 41, 42], np.float64(0.02629122222692775))","([27], np.float64(52.2623939136773))"
11,"([19, 31, 46, 49], np.float64(20.79966616318564))","([19, 31, 46, 49], np.float64(11.72894780724499))","([31, 49], np.float64(38.3571267390544))"
12,"([7, 15, 38, 43], np.float64(24.162449118770446))","([7, 15, 38, 43], np.float64(38.23965275879866))","([], np.float64(59.42094452746648))"
13,"([8, 10, 31, 41], np.float64(21.613773136842916))","([10, 31], np.float64(43.35176851192288))","([8, 10, 31, 41], np.float64(18.091689479175862))"
14,"([16, 21, 40, 42], np.float64(21.87003371215884))","([16, 21, 40, 42], np.float64(0.11168094635427828))","([16, 21, 40, 42], np.float64(0.12776777412990628))"
15,"([11, 19, 21, 41], np.float64(21.366726318188267))","([11, 19, 21, 41], np.float64(0.3418914916830366))","([11, 19, 21, 41], np.float64(0.08077494561048798))"
16,"([4, 9, 19, 40], np.float64(22.721769239227953))","([4, 9, 19, 40], np.float64(0.026326278014219596))","([], np.float64(54.5870440836154))"
17,"([8, 18, 26, 27], np.float64(25.205380823040503))","([8, 18, 26, 27], np.float64(0.07593332798489894))","([8, 18, 26, 27], np.float64(17.933716923976153))"
18,"([6, 31, 39, 48], np.float64(24.161003097802073))","([6, 31, 39, 48], np.float64(14.108501397175223))","([6, 31, 39, 48], np.float64(38.53179661217389))"
19,"([0, 2, 19, 32], np.float64(21.86578857748256))","([0, 2, 19, 32], np.float64(0.019978046866091528))","([], np.float64(55.436301197380054))"
20,"([4, 7, 15, 28], np.float64(23.72145532831994))","([4, 7, 15, 28], np.float64(0.05736574345455337))","([4, 7, 15, 28], np.float64(0.4225702279309547))"
21,"([13, 15, 30, 41], np.float64(19.87676230021447))","([13, 15, 30, 41], np.float64(0.040537327026367524))","([], np.float64(53.12724971913042))"
22,"([4, 6, 11, 46], np.float64(22.42948847029538))","([4, 6, 11, 46], np.float64(9.429027857842541))","([4, 6, 11, 46], np.float64(0.1687789717687946))"
23,"([0, 6, 31, 42], np.float64(13.887988642872841))","([0, 6, 31, 42], np.float64(3.869005593491626))","([], np.float64(55.51840494293682))"
24,"([1, 8, 14, 37], np.float64(22.159137343045934))","([1, 8, 14, 37], np.float64(0.06718145411659844))","([], np.float64(57.9602562106679))"
25,"([2, 13, 20, 26], np.float64(23.5162940669378))","([2, 13, 20, 26], np.float64(0.5898805254296593))","([2, 13, 20, 26], np.float64(11.936939720065242))"
26,"([25, 38, 47, 48], np.float64(22.09352845946835))","([25, 38, 47, 48], np.float64(5.74345621300253))","([25, 38, 47, 48], np.float64(13.377452062909388))"
27,"([6, 9, 19, 44], np.float64(23.06247936095979))","([6, 9, 19, 44], np.float64(6.31840203547869))","([], np.float64(52.55035098392355))"
28,"([19, 35, 38, 44], np.float64(15.057224901119305))","([19, 35, 38, 44], np.float64(0.030489019523703427))","([19, 35, 38, 44], np.float64(36.4590450809866))"
29,"([8, 14, 38, 41], np.float64(23.09732704183326))","([8, 14, 38, 41], np.float64(15.604053930369922))","([8, 38], np.float64(43.696554842185925))"
30,"([20, 21, 34, 35], np.float64(13.889160070742676))","([20, 21, 34, 35], np.float64(0.023316478551285533))","([20, 21, 34, 35], np.float64(6.936209540324863))"
31,"([13, 26, 28, 37], np.float64(16.088463254676945))","([13, 26, 28, 37], np.float64(17.422777824016855))","([], np.float64(65.9023439474357))"
32,"([8, 9, 26, 37], np.float64(22.791510782791804))","([8, 9, 26, 37], np.float64(7.8399063951676355))","([8, 9, 26, 37], np.float64(10.371364217984242))"
33,"([5, 23, 44, 45], np.float64(23.798312208877995))","([5, 23, 44, 45], np.float64(12.286272660444599))","([5, 23, 44, 45], np.float64(5.631335793759036))"
34,"([2, 11, 21, 24], np.float64(13.205260358999553))","([2, 11, 21, 24], np.float64(9.288631473542845))","([2, 11, 21, 24], np.float64(0.2699355707062141))"
35,"([7, 30, 47, 49], np.float64(16.01682887064934))","([7, 30, 47, 49], np.float64(0.10616072564122081))","([30, 49], np.float64(48.74903089787216))"
36,"([11, 17, 35, 41], np.float64(14.223908951913728))","([11, 17, 35, 41], np.float64(0.02766469837688539))","([11, 17, 35, 41], np.float64(0.5602106753920842))"
37,"([4, 15, 24, 44], np.float64(22.744402061678507))","([4, 15, 24, 44], np.float64(22.689394088830284))","([], np.float64(51.958575758351095))"
38,"([20, 25, 26, 28], np.float64(22.060658495390708))","([20, 25, 26, 28], np.float64(0.5036055922745444))","([20, 25, 26, 28], np.float64(13.180570053791973))"
39,"([5, 21, 25, 43], np.float64(13.112693468563974))","([5, 21, 25, 43], np.float64(14.675263226277151))","([5, 21, 25, 43], np.float64(0.03794237458680938))"
40,"([29, 33, 35, 44], np.float64(22.678010429336435))","([29, 33, 35, 44], np.float64(0.6662109114514214))","([35], np.float64(50.83509480142529))"
41,"([3, 6, 11, 14], np.float64(22.252794390173253))","([3, 6, 11, 14], np.float64(13.82998146131843))","([3, 6, 11, 14], np.float64(0.10807339832253106))"
42,"([6, 15, 43, 49], np.float64(21.811041379783823))","([6, 15, 43, 49], np.float64(0.03781936298544374))","([6, 15, 43, 49], np.float64(0.02872644357141504))"
43,"([24, 30, 35, 45], np.float64(14.899534828016167))","([24, 30, 35, 45], np.float64(5.780871274272624))","([24, 30, 35, 45], np.float64(16.219488954573656))"
44,"([16, 22, 38, 46], np.float64(21.9847804120543))","([16, 22, 38, 46], np.float64(8.990168159231231))","([16, 22, 38, 46], np.float64(0.07239180433914734))"
45,"([8, 19, 26, 45], np.float64(14.129824750670377))","([8, 19, 26, 45], np.float64(0.02427445290732358))","([8, 19, 26, 45], np.float64(15.395519719107583))"
46,"([0, 10, 15, 16], np.float64(22.463772275467367))","([0, 10, 15, 16], np.float64(0.05386056661211801))","([0, 10, 15, 16], np.float64(11.444329946510964))"
47,"([1, 10, 13, 48], np.float64(14.585391117702867))","([1, 10, 13, 48], np.float64(8.953993297964749))","([1, 10, 13, 48], np.float64(12.395395846836117))"
48,"([0, 20, 24, 42], np.float64(21.551668244770166))","([0, 20, 24, 42], np.float64(38.29359854213761))","([0, 20, 24, 42], np.float64(17.67819526601264))"
49,"([0, 21, 26, 30], np.float64(14.7180080079268))","([0, 21, 26, 30], np.float64(0.02769117669271091))","([0, 21, 26, 30], np.float64(12.003399346058004))"
