run_id,"harderLASSO ANN - (20,)","harderLASSO ANN - (20, 10)","harderLASSO ANN - (20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(21.809723447185917))","([2, 3, 13, 15], np.float64(5.922833674187212))","([2, 3, 13, 15], np.float64(18.959112238426272))"
2,"([10, 22, 30, 39], np.float64(14.595605048403199))","([10, 22, 30, 39], np.float64(0.023132737857871188))","([10, 22, 30, 39], np.float64(0.054055905594636626))"
3,"([0, 4, 5, 27], np.float64(14.85436237117669))","([0, 4, 5, 27], np.float64(0.029521780959303943))","([0, 4, 5, 27], np.float64(0.5716401619068205))"
4,"([14, 34, 38, 49], np.float64(22.372825391688355))","([14, 34, 38, 49], np.float64(0.034732633151913536))","([14, 34, 38, 49], np.float64(0.0570133034559477))"
5,"([2, 11, 15, 36], np.float64(14.448096965900067))","([2, 11, 15, 36], np.float64(0.033814497119452044))","([2, 11, 15, 36], np.float64(11.976358877027339))"
6,"([5, 17, 41, 44], np.float64(21.021350606995174))","([5, 17, 41, 44], np.float64(1.3419062167970688))","([5, 17, 41, 44], np.float64(3.513458550797103))"
7,"([13, 17, 29, 45], np.float64(26.61875610229459))","([13, 17], np.float64(52.6875898472888))","([13, 17, 29, 45], np.float64(8.971979359518967))"
8,"([10, 19, 37, 48], np.float64(0.07467262405930396))","([10, 19, 37, 48], np.float64(37.92615131173739))","([10, 19, 37, 48], np.float64(7.8929267761592445))"
9,"([11, 36, 38, 44], np.float64(23.475993466684674))","([11, 36, 38, 44], np.float64(0.030919600209491273))","([11, 36, 38, 44], np.float64(9.310897552077591))"
10,"([27, 29, 41, 42], np.float64(13.900351182368341))","([27, 29, 41, 42], np.float64(33.71593288104145))","([27, 29, 41, 42], np.float64(0.05889923483945582))"
11,"([19, 31, 46, 49], np.float64(12.86114305418744))","([19, 31, 46, 49], np.float64(0.033051904065692785))","([], np.float64(53.04410320934959))"
12,"([7, 15, 38, 43], np.float64(23.711216076957513))","([7, 15, 38, 43], np.float64(0.01859817526008458))","([7, 15, 38, 43], np.float64(7.348775729881077))"
13,"([8, 10, 31, 41], np.float64(14.21288419553985))","([8, 10, 31, 41], np.float64(3.4683616259023164))","([8, 10, 31, 41], np.float64(0.13388114068625362))"
14,"([16, 21, 40, 42], np.float64(14.762714100459249))","([16, 21, 40, 42], np.float64(0.014789690948121532))","([16, 21, 40, 42], np.float64(22.582566413145834))"
15,"([11, 19, 21, 41], np.float64(21.65895064131313))","([11, 19, 21, 41], np.float64(0.02247254793493085))","([11, 19, 21, 41], np.float64(8.600739771302282))"
16,"([4, 9, 19, 40], np.float64(13.712373771147796))","([4, 9, 19, 40], np.float64(15.394316472205569))","([4, 9, 19, 40], np.float64(0.06678287993373848))"
17,"([8, 18, 26, 27], np.float64(24.77125407388182))","([8, 18, 26, 27], np.float64(0.04033508082482042))","([8, 18, 26, 27], np.float64(9.98907138983693))"
18,"([6, 31, 39, 48], np.float64(16.55982609949041))","([6, 31, 39, 48], np.float64(0.020408664731874856))","([6, 31, 39, 48], np.float64(0.06050924415790342))"
19,"([0, 2, 19, 32], np.float64(22.65777586978014))","([0, 2, 19, 32], np.float64(0.0347546281690712))","([0, 2, 19, 32], np.float64(11.382374656538591))"
20,"([4, 7, 15, 28], np.float64(0.03753264163517165))","([4, 7, 15, 28], np.float64(0.06837915647242275))","([4, 7, 15, 28], np.float64(37.619893224100615))"
21,"([13, 15, 30, 41], np.float64(19.856343333690077))","([13, 15, 30, 41], np.float64(5.260230270223309))","([13, 15, 30, 41], np.float64(6.579725409746821))"
22,"([4, 6, 11, 46], np.float64(22.148354455566093))","([4, 6, 11, 46], np.float64(0.02191594218798105))","([4, 6, 11, 46], np.float64(10.796073718362917))"
23,"([0, 6, 31, 42], np.float64(20.967899487559908))","([0, 6, 31, 42], np.float64(13.56343889847313))","([], np.float64(55.5129179366956))"
24,"([1, 8, 14, 37], np.float64(14.21979777019683))","([1, 8, 14, 37], np.float64(0.020865111729386297))","([1, 8, 14, 37], np.float64(0.060437488127383025))"
25,"([2, 13, 20, 26], np.float64(14.913389182529707))","([2, 13, 20, 26], np.float64(0.017082279146799252))","([2, 13, 20, 26], np.float64(18.39938177607672))"
26,"([25, 38, 47, 48], np.float64(22.043412667147823))","([25, 48], np.float64(45.899076515400154))","([25, 38, 47, 48], np.float64(8.92452786024997))"
27,"([6, 9, 19, 44], np.float64(14.433697933770942))","([6, 19], np.float64(43.43733290733851))","([6, 9, 19, 44], np.float64(4.344940340310415))"
28,"([19, 35, 38, 44], np.float64(22.723006144737226))","([19, 35, 38, 44], np.float64(1.844604207462042))","([19, 35, 38, 44], np.float64(0.5165022384519281))"
29,"([8, 14, 38, 41], np.float64(23.497883824108186))","([8, 14, 38, 41], np.float64(0.02707607274719213))","([8, 14, 38, 41], np.float64(16.824481408146895))"
30,"([20, 21, 34, 35], np.float64(21.52922785188427))","([20, 21, 34, 35], np.float64(0.01945877322739765))","([20, 21, 34, 35], np.float64(4.295323286999741))"
31,"([13, 26, 28, 37], np.float64(15.794740244795216))","([13, 26, 28, 37], np.float64(0.06205112285254494))","([13, 26, 28, 37], np.float64(13.94897438468907))"
32,"([8, 9, 26, 37], np.float64(14.72980350675979))","([8, 9, 26, 37], np.float64(1.1068521613926678))","([], np.float64(62.169680468638894))"
33,"([23, 44], np.float64(44.66192330061196))","([5, 23, 44, 45], np.float64(0.0286362563291599))","([5, 23, 44, 45], np.float64(6.093953386450707))"
34,"([2, 11, 21, 24], np.float64(12.559319575910834))","([2, 11, 21, 24], np.float64(0.014706757117950765))","([], np.float64(51.91549951487932))"
35,"([7, 30, 47, 49], np.float64(24.854909460478712))","([7, 30, 47, 49], np.float64(24.674007742155897))","([7, 30, 47, 49], np.float64(0.17115728025317778))"
36,"([11, 17, 35, 41], np.float64(14.050256303393493))","([11, 17, 35, 41], np.float64(34.913883706463444))","([11, 17, 35, 41], np.float64(0.06297919552912425))"
37,"([4, 15, 24, 44], np.float64(22.1963703640133))","([4, 15, 24, 44], np.float64(0.030895788875912926))","([4, 15, 24, 44], np.float64(10.834029406784444))"
38,"([20, 25, 26, 28], np.float64(14.909467666312947))","([20, 25, 26, 28], np.float64(1.0605483223978076))","([20, 25, 26, 28], np.float64(0.21552250150750632))"
39,"([5, 21, 25, 43], np.float64(38.76873824426523))","([5, 21, 25, 43], np.float64(18.14081195052943))","([5, 21, 25, 43], np.float64(18.151761952177825))"
40,"([29, 33, 35, 44], np.float64(22.610346230947147))","([29, 33, 35, 44], np.float64(0.024170546059948443))","([29, 33, 35, 44], np.float64(14.546172210677295))"
41,"([3, 6, 11, 14], np.float64(0.012922330503678216))","([3, 6, 11, 14], np.float64(0.024934519079152017))","([3, 6, 11, 14], np.float64(6.054473833406369))"
42,"([6, 15, 43, 49], np.float64(39.17277729278757))","([6, 15, 43, 49], np.float64(3.4317618298243926))","([6, 15, 43, 49], np.float64(0.26544150623137397))"
43,"([24, 30, 35, 45], np.float64(14.796281507089597))","([24, 30, 35, 45], np.float64(13.059582263562653))","([35, 45], np.float64(43.129187171376365))"
